Messstelle:                ;Ebreichsdorf (Steg)
HZB-Nummer:                ;214502
HD-Nummer:                 ;no521
DBMS-Nummer:               ;3003172
Gewässer:                  ;Piesting
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;323,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00195,46
   01.01.2014              ;00195,57
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2015              ;755487,70 - 314437,20
Exportzeitreihe:           ;(3003172,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[23.09.2015 00:00,01.01.2022 00:00]
Werte:
25.09.2015 11:50:00;   105
03.10.2015 23:20:00;   106
06.11.2015 13:15:00;   109
22.12.2015 10:35:00;   110
04.01.2016 14:20:00;   104
17.02.2016 11:05:00;   115
26.03.2016 11:05:00;   118
08.04.2016 07:50:00;   113
11.05.2016 21:40:00;   114
30.06.2016 13:55:00;   116
11.07.2016 12:00:00;   119
08.08.2016 08:25:00;   117
05.09.2016 13:05:00;   104
02.10.2016 00:25:00;   113
02.11.2016 17:30:00;   119
23.12.2016 18:25:00;   116
07.01.2017 04:50:00;   108
03.02.2017 10:25:00;   112
08.03.2017 08:20:00;   115
17.04.2017 08:40:00;   117
30.05.2017 18:30:00;   120
20.06.2017 13:20:00;   112
22.07.2017 18:40:00;   107
03.08.2017 15:25:00;   105
13.09.2017 01:20:00;   110
09.10.2017 04:35:00;   111
07.11.2017 16:00:00;   107
11.12.2017 07:50:00;   119
24.01.2018 08:00:00;   120
26.02.2018 10:05:00;   115
06.03.2018 06:35:00;   120
29.04.2018 16:10:00;   116
02.05.2018 06:10:00;   115
18.06.2018 12:20:00;   113
31.07.2018 13:05:00;   118
09.08.2018 10:00:00;   114
20.09.2018 01:00:00;   113
01.10.2018 09:45:00;   106
10.11.2018 16:35:00;   113
02.12.2018 07:15:00;   122
31.01.2019 13:05:00;   123
01.02.2019 21:15:00;   124
28.03.2019 22:05:00;   122
23.04.2019 08:35:00;   117
02.05.2019 21:50:00;   121
06.06.2019 10:45:00;   106
11.07.2019 17:30:00;   107
29.08.2019 11:40:00;   108
30.09.2019 14:15:00;   106
29.10.2019 12:30:00;   106
01.11.2019 17:10:00;   109
21.12.2019 09:55:00;   109
15.01.2020 10:50:00;   113
24.02.2020 09:40:00;   110
11.03.2020 09:25:00;   111
29.04.2020 11:10:00;   112
22.05.2020 15:40:00;   107
16.06.2020 09:35:00;   106
09.07.2020 11:20:00;   105
12.08.2020 07:15:00;   102
15.09.2020 14:20:00;   109
29.10.2020 23:30:00;   111
29.11.2020 20:10:00;   114
04.12.2020 08:35:00;   112
12.01.2021 21:10:00;   113
15.02.2021 14:30:00;   112
11.03.2021 11:10:00;   110
12.04.2021 13:55:00;   114
29.05.2021 08:20:00;   113
21.06.2021 10:35:00;   106
07.07.2021 10:10:00;   102
01.08.2021 01:00:00;   108
15.09.2021 09:25:00;   109
08.10.2021 11:50:00;   103
22.11.2021 14:55:00;   106
22.12.2021 17:30:00;   109
