Messstelle:                ;Lochau
HZB-Nummer:                ;200345
HD-Nummer:                 ;
DBMS-Nummer:               ;8001034
Gewässer:                  ;Ruggbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;6,79
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.03.1967              ;00409,47
   01.01.2001              ;00409,45
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.03.1967              ;105761,00 - 266553,00
Exportzeitreihe:           ;(8001034,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[28.02.1967 16:54:15,01.01.2022 00:00]
Werte:
28.02.1967 17:06:40;    25
17.03.1967 01:54:40;    24
21.04.1967 02:39:50;    21
23.05.1967 02:46:40;    19
27.06.1967 00:30:05;    20
31.07.1967 20:18:35;    16
28.08.1967 21:27:30;    15
28.09.1967 19:47:40;    13
16.10.1967 16:10:10;    11
17.11.1967 00:11:20;    11
09.12.1967 04:51:55;    14
31.01.1968 22:48:30;    16
07.02.1968 17:21:50;    15
13.03.1968 01:30:15;    15
14.04.1968 12:02:35;    18
25.05.1968 16:50:00;    13
20.06.1968 04:59:15;    12
14.07.1968 19:26:50;    10
29.08.1968 17:14:20;    16
03.09.1968 22:42:40;    17
31.10.1968 16:19:20;    16
22.11.1968 02:24:45;    14
05.12.1968 21:07:10;     8
18.01.1969 19:59:50;    10
08.02.1969 01:47:05;    14
07.03.1969 11:37:25;    18
15.04.1969 13:34:55;    20
27.05.1969 17:37:35;    14
17.06.1969 04:43:20;    14
29.07.1969 00:10:15;    15
12.08.1969 18:36:05;     7
30.09.1969 14:23:15;    12
20.10.1969 05:34:45;     4
04.11.1969 20:24:35;     7
27.12.1969 19:26:30;    10
24.01.1970 23:24:45;    18
18.02.1970 16:06:05;    19
09.03.1970 10:15:00;    18
07.04.1970 16:17:45;    21
29.05.1970 21:47:20;    19
27.06.1970 11:47:25;    15
14.07.1970 23:09:10;    14
08.08.1970 18:32:25;    16
30.09.1970 14:53:45;    11
13.10.1970 14:06:50;    12
12.11.1970 15:46:00;    15
20.12.1970 00:25:20;    13
11.01.1971 10:23:55;    13
03.02.1971 09:11:25;     8
01.03.1971 17:16:15;    12
24.04.1971 12:07:30;    10
22.05.1971 00:54:30;     8
05.06.1971 14:35:20;    12
12.07.1971 21:26:20;    11
04.08.1971 06:38:45;     2
27.09.1971 21:57:00;     5
31.10.1971 23:59:55;    10
08.11.1971 08:20:30;     4
10.12.1971 14:53:55;    14
30.01.1972 09:34:55;     4
01.02.1972 18:02:45;     4
27.03.1972 16:14:00;     2
01.04.1972 08:07:15;     4
30.05.1972 02:59:25;    12
08.06.1972 05:58:45;     7
26.07.1972 11:26:15;    16
31.08.1972 23:59:55;    16
30.09.1972 05:03:35;     7
01.10.1972 22:32:35;     6
10.11.1972 23:47:10;    15
31.12.1972 07:51:05;    15
15.01.1973 10:08:20;     0
21.02.1973 10:54:05;    15
17.03.1973 14:11:05;    18
11.04.1973 00:52:40;    19
29.05.1973 02:35:30;     8
03.06.1973 00:08:35;     7
05.07.1973 23:05:25;    15
28.08.1973 04:11:40;     6
19.09.1973 07:21:30;     8
06.10.1973 19:13:15;    13
25.11.1973 16:56:55;    16
31.12.1973 00:38:25;    16
06.01.1974 13:58:45;    14
23.02.1974 00:19:45;    16
09.03.1974 18:43:45;    16
29.04.1974 06:20:40;    10
22.05.1974 14:02:45;    14
05.06.1974 21:51:10;    14
12.07.1974 00:21:15;    11
26.08.1974 10:10:00;    10
24.09.1974 03:58:10;    10
17.10.1974 14:00:15;    14
26.11.1974 22:41:55;    20
24.12.1974 22:29:55;    19
25.01.1975 01:00:10;    19
17.02.1975 01:29:45;    14
02.03.1975 20:19:50;    15
02.04.1975 05:03:55;    12
28.05.1975 04:14:10;    16
16.06.1975 15:07:00;    13
31.07.1975 21:39:40;    12
10.08.1975 04:58:30;     4
30.09.1975 23:59:55;    14
