Messstelle:                ;St. Michael im Lungau
HZB-Nummer:                ;203752
HD-Nummer:                 ;
DBMS-Nummer:               ;5001070
Gewässer:                  ;Mur
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;289,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;01041,75
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1881              ;473080,00 - 217160,00
Exportzeitreihe:           ;(5001070,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
05.01.1976 08:00:00;    25
09.02.1976 08:00:00;    19
22.03.1976 08:00:00;    19
01.04.1976 00:00:00;    29
02.05.1976 08:00:00;    39
28.06.1976 08:00:00;    61
16.07.1976 08:00:00;    44
18.08.1976 08:00:00;    51
01.09.1976 00:00:00;    51
29.10.1976 08:00:00;    39
24.11.1976 08:00:00;    38
31.12.1976 10:00:00;    31
19.01.1977 08:00:00;    23
03.02.1977 08:00:00;    22
01.03.1977 00:00:00;    27
18.04.1977 08:00:00;    34
10.05.1977 08:00:00;    67
30.06.1977 08:00:00;    67
30.07.1977 08:00:00;    55
18.08.1977 08:00:00;    45
30.09.1977 02:00:00;    44
29.10.1977 02:00:00;    35
24.11.1977 08:00:00;    28
21.12.1977 10:00:00;    23
12.01.1978 08:00:00;    20
05.02.1978 08:00:00;    20
01.03.1978 00:00:00;    26
09.04.1978 08:00:00;    32
16.05.1978 08:00:00;    51
30.06.1978 08:00:00;    60
01.07.1978 00:00:00;    60
22.08.1978 08:00:00;    42
04.09.1978 08:00:00;    43
28.10.1978 08:00:00;    42
27.11.1978 08:00:00;    29
02.12.1978 08:00:00;    23
03.01.1979 08:00:00;    22
28.02.1979 23:59:55;    18
02.03.1979 10:00:00;    17
02.04.1979 08:00:00;    28
06.05.1979 08:00:00;    34
11.06.1979 08:00:00;    81
26.07.1979 08:00:00;    56
24.08.1979 08:00:00;    44
18.09.1979 08:00:00;    37
27.10.1979 10:00:00;    40
24.11.1979 08:00:00;    32
31.12.1979 08:00:00;    31
14.01.1980 08:00:00;    24
21.02.1980 08:00:00;    24
05.03.1980 08:00:00;    25
12.04.1980 08:00:00;    30
01.05.1980 00:00:00;    36
03.06.1980 08:00:00;    64
24.07.1980 08:00:00;    80
26.08.1980 08:00:00;    40
30.09.1980 08:00:00;    36
07.10.1980 08:00:00;    32
30.11.1980 08:00:00;    35
11.12.1980 10:00:00;    31
30.01.1981 08:00:00;    27
26.02.1981 08:00:00;    24
08.03.1981 08:00:00;    22
29.04.1981 08:00:00;    48
07.05.1981 08:00:00;    42
23.06.1981 08:00:00;    60
17.07.1981 08:00:00;    54
15.08.1981 08:00:00;    50
23.09.1981 08:00:00;    47
15.10.1981 08:00:00;    40
18.11.1981 08:00:00;    41
27.12.1981 08:00:00;    29
22.01.1982 08:00:00;    26
22.02.1982 08:00:00;    21
15.03.1982 08:00:00;    24
23.04.1982 08:00:00;    34
02.05.1982 08:00:00;    32
16.06.1982 08:00:00;    72
20.07.1982 10:00:00;    54
12.08.1982 08:00:00;    47
30.09.1982 08:00:00;    37
01.10.1982 00:00:00;    37
23.11.1982 08:00:00;    36
31.12.1982 08:00:00;    30
22.01.1983 02:00:00;    30
23.02.1983 05:00:00;    24
07.03.1983 10:00:00;    28
06.04.1983 07:30:00;    31
06.05.1983 10:00:00;    59
19.06.1983 14:00:00;    67
29.07.1983 03:00:00;    47
29.08.1983 11:30:00;    43
30.09.1983 23:00:00;    44
29.10.1983 08:00:00;    38
23.11.1983 08:30:00;    28
09.12.1983 08:00:00;    26
12.01.1984 08:30:00;    21
13.02.1984 07:00:00;    18
12.03.1984 07:00:00;    20
05.04.1984 10:00:00;    28
01.05.1984 13:30:00;    35
13.06.1984 10:30:00;    68
19.07.1984 12:30:00;    54
31.08.1984 10:00:00;    47
16.09.1984 02:00:00;    43
31.10.1984 23:59:55;    43
28.11.1984 07:00:00;    29
24.12.1984 03:30:00;    21
30.01.1985 08:45:00;    18
19.02.1985 07:00:00;    14
05.03.1985 03:45:00;    20
02.04.1985 07:45:00;    25
06.05.1985 13:45:00;    34
19.06.1985 10:30:00;    58
31.07.1985 03:30:00;    42
02.08.1985 07:45:00;    43
27.09.1985 06:45:00;    33
28.10.1985 15:15:00;    26
28.11.1985 10:15:00;    20
25.12.1985 11:30:00;    20
27.01.1986 04:30:00;    18
26.02.1986 06:45:00;    14
03.03.1986 00:45:00;    20
01.04.1986 12:30:00;    29
10.05.1986 08:45:00;    72
10.06.1986 03:00:00;    54
21.07.1986 09:00:00;    37
10.08.1986 13:00:00;    34
30.09.1986 19:15:00;    32
13.10.1986 16:15:00;    28
30.11.1986 14:45:00;    24
16.12.1986 12:00:00;    19
08.01.1987 08:15:00;    16
25.02.1987 06:45:00;    15
22.03.1987 08:15:00;    13
02.04.1987 14:15:00;    24
24.05.1987 10:15:00;    51
23.06.1987 15:30:00;    80
28.07.1987 18:15:00;    57
22.08.1987 18:15:00;    48
26.09.1987 22:15:00;    36
08.10.1987 17:30:00;    33
16.11.1987 10:00:00;    31
14.12.1987 00:00:00;    24
24.01.1988 07:00:00;    26
14.02.1988 07:45:00;    23
10.03.1988 03:45:00;    20
05.04.1988 11:45:00;    26
01.05.1988 10:00:00;    48
25.06.1988 17:00:00;    59
27.07.1988 06:00:00;    51
20.08.1988 09:30:00;    41
11.09.1988 22:00:00;    42
28.10.1988 21:00:00;    34
23.11.1988 05:15:00;    24
16.12.1988 05:00:00;    23
25.01.1989 07:15:00;    22
12.02.1989 06:15:00;    24
23.03.1989 19:30:00;    25
25.04.1989 12:00:00;    34
01.05.1989 17:00:00;    37
09.06.1989 03:45:00;    55
24.07.1989 18:15:00;    56
31.08.1989 03:00:00;    45
27.09.1989 11:30:00;    36
26.10.1989 15:15:00;    31
26.11.1989 10:00:00;    23
28.12.1989 09:00:00;    19
08.01.1990 07:45:00;    14
06.02.1990 08:30:00;    17
02.03.1990 20:45:00;    23
29.04.1990 18:45:00;    30
01.05.1990 08:15:00;    35
01.06.1990 06:30:00;    46
29.07.1990 19:15:00;    42
31.08.1990 04:00:00;    34
11.09.1990 18:45:00;    34
31.10.1990 09:00:00;    29
07.11.1990 08:00:00;    28
26.12.1990 01:00:00;    26
16.01.1991 12:30:00;    18
02.02.1991 07:30:00;    17
02.03.1991 02:15:00;    25
25.04.1991 13:00:00;    27
01.05.1991 09:45:00;    30
01.06.1991 05:00:00;    58
12.07.1991 16:45:00;    56
27.08.1991 10:15:00;    37
20.09.1991 05:30:00;    27
31.10.1991 05:45:00;    27
28.11.1991 09:00:00;    24
15.12.1991 04:45:00;    17
12.01.1992 03:15:00;    22
02.02.1992 07:00:00;    22
19.03.1992 20:45:00;    26
03.04.1992 10:00:00;    29
01.05.1992 11:30:00;    58
29.06.1992 03:00:00;    46
31.07.1992 04:30:00;    34
26.08.1992 05:00:00;    28
26.09.1992 16:30:00;    25
01.10.1992 00:00:00;    30
19.11.1992 08:00:00;    30
26.12.1992 10:30:00;    23
02.01.1993 08:30:00;    21
01.02.1993 08:45:00;    22
10.03.1993 11:15:00;    23
02.04.1993 15:45:00;    26
07.05.1993 05:15:00;    46
18.06.1993 05:45:00;    41
10.07.1993 06:15:00;    40
21.08.1993 18:30:00;    38
27.09.1993 05:45:00;    32
01.10.1993 05:30:00;    33
28.11.1993 10:45:00;    34
23.12.1993 07:45:00;    28
31.01.1994 01:45:00;    26
07.02.1994 08:15:00;    25
05.03.1994 10:30:00;    25
09.04.1994 06:15:00;    29
11.05.1994 07:15:00;    42
18.06.1994 02:30:00;    43
31.07.1994 20:00:00;    31
06.08.1994 16:15:00;    31
05.09.1994 19:30:00;    29
31.10.1994 10:00:00;    27
17.11.1994 13:30:00;    25
16.12.1994 08:45:00;    19
09.01.1995 01:15:00;    17
01.02.1995 11:00:00;    17
08.03.1995 09:45:00;    18
01.04.1995 10:45:00;    22
22.05.1995 04:45:00;    45
10.06.1995 14:45:00;    59
26.07.1995 07:30:00;    39
05.08.1995 22:45:00;    34
30.09.1995 20:30:00;    38
27.10.1995 06:45:00;    28
21.11.1995 07:30:00;    22
10.12.1995 07:15:00;    19
22.01.1996 01:00:00;    17
10.02.1996 04:15:00;    13
11.03.1996 06:30:00;    15
06.04.1996 13:00:00;    18
05.05.1996 07:00:00;    41
16.06.1996 20:00:00;    32
21.07.1996 22:00:00;    34
12.08.1996 16:15:00;    31
01.09.1996 11:15:00;    34
01.10.1996 06:30:00;    42
14.11.1996 19:30:00;    36
30.12.1996 10:00:00;    21
20.01.1997 09:34:25;    24
17.02.1997 07:53:05;    21
01.03.1997 12:24:10;    27
24.04.1997 11:40:10;    28
01.05.1997 15:09:40;    38
02.06.1997 06:23:55;    42
04.07.1997 07:04:45;    49
25.08.1997 08:29:30;    37
28.09.1997 04:08:30;    30
30.10.1997 10:41:00;    28
05.11.1997 11:38:40;    27
06.12.1997 22:28:10;    22
26.01.1998 07:31:45;    19
05.02.1998 01:18:05;    19
10.03.1998 08:49:45;    22
20.04.1998 11:27:05;    28
27.05.1998 05:49:50;    40
20.06.1998 17:10:25;    39
25.07.1998 06:36:00;    40
30.08.1998 23:58:35;    35
03.09.1998 13:16:20;    32
05.10.1998 06:30:00;    37
19.11.1998 07:30:00;    29
24.12.1998 08:38:20;    22
31.01.1999 23:59:55;    19
01.02.1999 01:15:00;    18
01.03.1999 09:45:00;    23
01.04.1999 08:41:25;    27
01.05.1999 08:32:20;    51
30.06.1999 06:39:50;    44
21.07.1999 07:25:15;    40
07.08.1999 08:48:10;    36
29.09.1999 06:02:30;    38
31.10.1999 03:00:00;    35
30.11.1999 05:15:00;    25
28.12.1999 10:30:00;    21
09.01.2000 08:45:00;    18
22.02.2000 08:15:00;    20
06.03.2000 09:45:00;    23
09.04.2000 10:12:50;    33
25.05.2000 04:22:10;    51
30.06.2000 02:28:00;    41
07.07.2000 07:15:00;    40
26.08.2000 05:30:00;    40
28.09.2000 05:45:00;    34
01.10.2000 09:15:00;    37
02.11.2000 22:00:00;    45
23.12.2000 08:45:00;    29
15.01.2001 11:30:00;    26
25.02.2001 08:00:00;    24
01.03.2001 11:15:00;    28
23.04.2001 08:32:35;    34
01.05.2001 09:36:30;    58
15.06.2001 05:13:30;    54
31.07.2001 03:15:00;    39
30.08.2001 08:30:00;    27
03.09.2001 05:45:00;    31
11.10.2001 05:45:00;    29
21.11.2001 11:45:00;    25
24.12.2001 09:45:00;    16
04.01.2002 09:00:00;    11
04.02.2002 07:15:00;    18
04.03.2002 10:45:00;    19
10.04.2002 05:30:00;    29
01.05.2002 10:00:00;    45
27.06.2002 15:41:35;    37
14.07.2002 12:00:00;    33
04.08.2002 18:45:00;    33
17.09.2002 07:15:00;    29
08.10.2002 07:30:00;    30
08.11.2002 09:30:00;    30
27.12.2002 13:45:00;    32
13.01.2003 00:45:00;    24
15.02.2003 07:00:00;    19
09.03.2003 03:45:00;    21
11.04.2003 07:30:00;    21
18.05.2003 04:15:00;    41
30.06.2003 03:00:00;    37
27.07.2003 01:00:00;    30
28.08.2003 08:45:00;    23
30.09.2003 22:30:00;    24
01.10.2003 02:45:00;    23
23.11.2003 10:00:00;    25
24.12.2003 09:30:00;    14
17.01.2004 05:00:00;    15
25.02.2004 02:30:00;    17
01.03.2004 08:30:00;    18
16.04.2004 12:30:00;    28
11.05.2004 14:45:00;    45
03.06.2004 07:00:00;    65
31.07.2004 09:30:00;    41
18.08.2004 08:00:00;    34
22.09.2004 08:30:00;    30
19.10.2004 23:30:00;    30
25.11.2004 09:30:00;    33
22.12.2004 16:08:55;    27
30.01.2005 09:00:00;    16
06.02.2005 08:00:00;    16
01.03.2005 08:00:00;    15
03.04.2005 10:00:00;    35
11.05.2005 19:00:00;    44
11.06.2005 12:30:00;    41
31.07.2005 11:00:00;    46
14.08.2005 15:30:00;    42
16.09.2005 05:45:00;    37
31.10.2005 09:15:00;    35
27.11.2005 21:30:00;    28
30.12.2005 19:00:00;    17
16.01.2006 09:45:00;    12
12.02.2006 07:30:00;    13
13.03.2006 03:30:00;     9
08.04.2006 05:30:00;    28
08.05.2006 06:45:00;    47
10.06.2006 11:30:00;    43
30.07.2006 23:45:00;    35
02.08.2006 15:15:00;    11
15.09.2006 08:00:00;    29
29.10.2006 04:45:00;    30
29.11.2006 09:45:00;    29
20.12.2006 09:00:00;    21
16.01.2007 06:06:00;    20
19.02.2007 08:08:30;    20
22.03.2007 07:45:00;    22
05.04.2007 11:30:00;    25
20.05.2007 12:05:10;    37
18.06.2007 07:25:50;    31
31.07.2007 08:00:00;    39
13.08.2007 23:45:00;    35
03.09.2007 04:15:00;    39
22.10.2007 02:30:00;    35
17.11.2007 03:30:00;    31
26.12.2007 10:30:00;    25
02.01.2008 23:15:00;    24
13.02.2008 08:32:05;    18
06.03.2008 09:50:55;    22
06.04.2008 09:30:00;    24
03.05.2008 07:30:00;    37
29.06.2008 08:45:00;    42
11.07.2008 08:15:00;    34
13.08.2008 07:30:00;    35
27.09.2008 12:45:00;    29
01.10.2008 19:30:00;    28
28.11.2008 08:00:00;    28
30.12.2008 10:15:00;    21
11.01.2009 06:00:00;    18
19.02.2009 06:45:00;    18
01.03.2009 02:45:00;    23
01.04.2009 04:15:00;    29
01.05.2009 14:45:00;    52
14.06.2009 07:15:00;    54
30.07.2009 04:15:00;    45
28.08.2009 10:00:00;    36
02.09.2009 09:45:00;    36
09.10.2009 08:30:00;    36
30.11.2009 13:45:00;    29
21.12.2009 09:15:00;    25
21.01.2010 08:15:00;    24
01.02.2010 09:45:00;    23
08.03.2010 08:30:00;    22
07.04.2010 09:00:00;    31
21.05.2010 20:00:00;    40
27.06.2010 16:00:00;    45
28.07.2010 08:15:00;    35
22.08.2010 01:30:00;    33
14.09.2010 18:45:00;    32
22.10.2010 11:00:00;    29
30.11.2010 09:15:00;    28
19.12.2010 10:00:00;    21
04.01.2011 07:30:00;    22
24.02.2011 08:30:00;    19
08.03.2011 09:15:00;    20
01.04.2011 09:30:00;    26
05.05.2011 15:30:00;    29
03.06.2011 04:30:00;    40
17.07.2011 23:30:00;    34
25.08.2011 10:30:00;    34
18.09.2011 11:15:00;    29
02.10.2011 13:00:00;    32
25.11.2011 15:15:00;    26
20.12.2011 08:45:00;    20
16.01.2012 09:30:00;    17
06.02.2012 08:08:10;    16
11.03.2012 14:30:00;    27
25.04.2012 12:00:00;    30
19.05.2012 13:45:00;    43
30.06.2012 22:00:00;    46
01.07.2012 17:15:00;    45
17.08.2012 19:30:00;    37
29.09.2012 04:30:00;    45
08.10.2012 17:00:00;    40
25.11.2012 19:00:00;    41
20.12.2012 10:00:00;    33
26.01.2013 11:15:00;    28
10.02.2013 09:00:00;    25
04.03.2013 07:45:00;    27
04.04.2013 15:45:00;    27
28.05.2013 13:30:00;    49
29.06.2013 00:15:00;    49
22.07.2013 19:30:00;    36
19.08.2013 10:30:00;    29
06.09.2013 16:45:00;    28
07.10.2013 20:15:00;    28
25.11.2013 22:45:00;    37
23.12.2013 23:30:00;    29
03.01.2014 00:15:00;    28
24.02.2014 20:15:00;    28
03.03.2014 13:45:00;    27
17.04.2014 12:45:00;    40
18.05.2014 07:15:00;    53
02.06.2014 15:45:00;    55
24.07.2014 07:45:00;    41
31.08.2014 12:00:00;    39
21.09.2014 08:15:00;    43
20.10.2014 16:45:00;    31
04.11.2014 09:15:00;    33
30.12.2014 19:00:00;    29
29.01.2015 19:00:00;    28
02.02.2015 19:15:00;    28
25.03.2015 10:00:00;    27
07.04.2015 08:00:00;    28
01.05.2015 00:45:00;    44
28.06.2015 09:00:00;    45
14.07.2015 03:45:00;    43
23.08.2015 15:45:00;    43
20.09.2015 12:00:00;    33
06.10.2015 16:30:00;    33
23.11.2015 11:00:00;    28
30.12.2015 10:00:00;    25
19.01.2016 04:30:00;    20
16.02.2016 09:45:00;    22
05.03.2016 07:15:00;    25
02.04.2016 07:15:00;    34
01.05.2016 00:00:00;    34
08.06.2016 16:45:00;    52
12.07.2016 00:45:00;    41
28.08.2016 17:15:00;    39
30.09.2016 17:30:00;    37
22.10.2016 16:15:00;    36
25.11.2016 04:00:00;    36
17.12.2016 13:00:00;    27
24.01.2017 11:00:00;    22
27.02.2017 09:45:00;    21
14.03.2017 13:15:00;    22
24.04.2017 09:00:00;    25
01.05.2017 06:30:00;    37
29.06.2017 08:45:00;    34
08.07.2017 20:15:00;    34
04.08.2017 10:45:00;    41
07.09.2017 18:00:00;    41
25.10.2017 05:00:00;    34
23.11.2017 09:45:00;    33
10.12.2017 11:45:00;    31
25.01.2018 09:30:00;    27
26.02.2018 05:00:00;    24
22.03.2018 18:30:00;    27
