Messstelle:                ;Alberndorf
HZB-Nummer:                ;209601
HD-Nummer:                 ;no610
DBMS-Nummer:               ;3001176
Gewässer:                  ;Mährische Thaya
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;621,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1988              ;00412,00
   01.01.1990              ;00409,21
   01.01.2007              ;00409,20
   01.01.2018              ;00409,22
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1988              ;686936,00 - 415830,00
Exportzeitreihe:           ;(3001176,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1988 00:15,01.01.2022 00:00]
Werte:
25.01.1988 07:00:00;   133
18.02.1988 23:30:00;   137
07.03.1988 17:45:00;   136
30.04.1988 23:59:55;   150
31.05.1988 23:59:55;   126
01.06.1988 07:15:00;   125
27.07.1988 20:00:00;   120
13.08.1988 05:45:00;   120
05.09.1988 08:30:00;   120
08.10.1988 00:00:00;   125
07.11.1988 21:00:00;   122
01.12.1988 00:00:00;   128
30.01.1989 11:30:00;   133
06.02.1989 10:00:00;   133
28.03.1989 07:45:00;   133
10.04.1989 18:45:00;   126
30.05.1989 17:15:00;   124
30.06.1989 20:15:00;   121
23.07.1989 22:00:00;   119
25.08.1989 23:30:00;   116
01.09.1989 04:30:00;   119
10.10.1989 05:30:00;   118
24.11.1989 15:30:00;   113
07.12.1989 14:45:00;   115
03.01.1990 14:00:00;   116
10.02.1990 09:00:00;   118
28.03.1990 21:15:00;   129
15.04.1990 19:00:00;   123
22.05.1990 11:30:00;   119
11.06.1990 23:45:00;   115
28.07.1990 15:45:00;   107
28.08.1990 05:15:00;   103
02.09.1990 13:00:00;   105
26.10.1990 09:00:00;   114
10.11.1990 16:30:00;   111
29.12.1990 11:15:00;   108
30.01.1991 05:00:00;   118
05.02.1991 21:15:00;   117
03.03.1991 22:45:00;   119
30.04.1991 23:59:55;   123
02.05.1991 14:00:00;   122
25.06.1991 13:45:00;   117
24.07.1991 06:15:00;   113
27.08.1991 07:00:00;   113
06.09.1991 04:00:00;   112
15.10.1991 15:45:00;   108
06.11.1991 00:00:00;   114
11.12.1991 23:15:00;   110
29.01.1992 09:30:00;   129
05.02.1992 10:30:00;   125
19.03.1992 09:15:00;   131
22.04.1992 23:15:00;   125
28.05.1992 09:15:00;   109
04.06.1992 16:15:00;   108
29.07.1992 05:00:00;   102
11.08.1992 11:45:00;   101
23.09.1992 21:15:00;   101
15.10.1992 04:15:00;   101
05.11.1992 19:00:00;   109
01.12.1992 11:30:00;   114
04.01.1993 09:15:00;   113
23.02.1993 08:30:00;   120
10.03.1993 14:30:00;   116
30.04.1993 15:00:00;   120
19.05.1993 19:15:00;   113
02.06.1993 11:45:00;   113
14.07.1993 17:30:00;   112
16.08.1993 09:45:00;   102
25.09.1993 14:30:00;   110
02.10.1993 15:15:00;   116
30.11.1993 11:45:00;   115
01.12.1993 11:15:00;   115
24.01.1994 00:15:00;   137
20.02.1994 05:15:00;   135
01.03.1994 16:00:00;   134
06.04.1994 09:15:00;   134
26.05.1994 09:30:00;   117
30.06.1994 20:45:00;   104
01.07.1994 00:00:00;   104
22.08.1994 22:15:00;   104
15.09.1994 03:30:00;   106
04.10.1994 04:15:00;   112
26.11.1994 14:15:00;   112
04.12.1994 08:45:00;   111
19.01.1995 10:00:00;   114
22.02.1995 09:15:00;   129
16.03.1995 10:45:00;   139
10.04.1995 16:30:00;   144
26.05.1995 08:15:00;   128
30.06.1995 22:45:00;   118
23.07.1995 08:30:00;   110
05.08.1995 10:30:00;   103
01.09.1995 10:45:00;   114
20.10.1995 23:15:00;   122
02.11.1995 11:30:00;   126
19.12.1995 23:00:00;   130
21.01.1996 09:00:00;   145
25.02.1996 09:30:00;   134
05.03.1996 15:45:00;   128
30.04.1996 14:45:00;   163
13.05.1996 12:45:00;   151
19.06.1996 16:45:00;   126
24.07.1996 08:15:00;   119
01.08.1996 19:15:00;   119
06.09.1996 11:00:00;   122
02.10.1996 19:15:00;   125
12.11.1996 18:00:00;   130
09.12.1996 16:00:00;   128
31.01.1997 23:59:55;   136
04.02.1997 15:38:05;   128
15.03.1997 00:12:00;   148
28.04.1997 21:23:25;   150
31.05.1997 23:59:55;   133
30.06.1997 09:18:00;   116
01.07.1997 00:00:00;   119
27.08.1997 10:21:55;   125
12.09.1997 00:20:15;   123
24.10.1997 11:14:30;   123
05.11.1997 16:00:10;   121
01.12.1997 00:00:00;   140
31.01.1998 23:59:55;   126
01.02.1998 08:54:15;   124
06.03.1998 19:41:45;   127
24.04.1998 05:53:30;   125
31.05.1998 01:29:30;   115
10.06.1998 20:16:25;   114
23.07.1998 12:58:30;   116
29.08.1998 03:37:55;   114
02.09.1998 14:26:55;   112
21.10.1998 14:06:35;   122
30.11.1998 23:59:55;   136
13.12.1998 07:52:25;   130
25.01.1999 01:18:20;   130
02.02.1999 01:32:05;   132
31.03.1999 01:05:00;   149
30.04.1999 23:59:55;   131
29.05.1999 12:40:50;   119
27.06.1999 00:36:35;   116
