Messstelle:                ;St. Paul
HZB-Nummer:                ;213819
HD-Nummer:                 ;01858
DBMS-Nummer:               ;2002491
Gewässer:                  ;Granitzbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;61,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   25.07.2007              ;00374,48
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2007              ;567642,00 - 174550,00
Exportzeitreihe:           ;(2002491,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[13.09.2007 13:15,01.01.2022 00:00]
Werte:
15.09.2007 16:30:00;   149
14.10.2007 01:00:00;   149
21.11.2007 21:15:00;   150
18.12.2007 06:52:30;   146
01.01.2008 02:15:00;   147
17.02.2008 05:45:00;   143
01.03.2008 00:00:00;   148
04.04.2008 21:00:00;   148
16.05.2008 20:30:00;   145
01.06.2008 00:00:00;   145
12.07.2008 18:00:00;   146
05.08.2008 08:30:00;   144
08.09.2008 09:30:00;   143
06.10.2008 13:45:00;   144
24.11.2008 13:30:00;   143
31.12.2008 21:45:00;   153
09.01.2009 12:00:00;   148
18.02.2009 07:00:00;   149
25.03.2009 20:00:00;   152
22.04.2009 20:00:00;   152
19.05.2009 04:52:30;   148
15.06.2009 20:45:00;   147
29.07.2009 18:45:00;   150
02.08.2009 17:15:00;   149
03.09.2009 16:15:00;   149
20.10.2009 21:45:00;   152
27.11.2009 15:15:00;   148
18.12.2009 08:15:00;   148
27.01.2010 11:45:00;   148
16.02.2010 07:30:00;   147
28.03.2010 17:00:00;   148
30.04.2010 20:00:00;   144
26.05.2010 21:00:00;   141
11.06.2010 22:00:00;   138
22.07.2010 22:00:00;   136
02.08.2010 22:00:00;   138
02.09.2010 16:30:00;   141
12.10.2010 21:00:00;   145
04.11.2010 22:00:00;   149
21.12.2010 08:30:00;   152
04.01.2011 09:30:00;   148
24.02.2011 08:30:00;   143
08.03.2011 08:30:00;   143
20.04.2011 20:00:00;   146
27.05.2011 10:27:00;   140
01.06.2011 12:30:00;   143
10.07.2011 19:30:00;   141
26.08.2011 20:30:00;   139
04.09.2011 19:00:00;   141
06.10.2011 19:00:00;   142
20.11.2011 08:30:00;   145
22.12.2011 07:15:00;   142
16.01.2012 08:45:00;   137
01.02.2012 07:45:00;   139
31.03.2012 22:00:00;   142
01.04.2012 00:00:00;   142
09.05.2012 22:15:00;   141
30.06.2012 19:00:00;   140
02.07.2012 20:30:00;   139
25.08.2012 17:45:00;   142
10.09.2012 18:45:00;   143
12.10.2012 09:15:00;   147
28.11.2012 00:15:05;   152
13.12.2012 08:00:00;   147
26.01.2013 06:30:00;   147
11.02.2013 00:15:00;   147
01.03.2013 00:00:00;   159
30.04.2013 17:30:00;   151
13.05.2013 18:15:00;   150
17.06.2013 18:00:00;   149
22.07.2013 20:00:00;   142
06.08.2013 22:00:00;   139
07.09.2013 22:00:00;   141
18.10.2013 19:30:00;   144
01.11.2013 19:30:00;   146
18.12.2013 06:00:00;   145
03.01.2014 07:45:00;   150
01.02.2014 02:30:00;   151
29.03.2014 15:00:00;   150
17.04.2014 22:00:00;   147
09.05.2014 19:15:00;   146
22.06.2014 18:00:00;   141
07.07.2014 16:45:00;   143
09.08.2014 17:15:00;   142
30.09.2014 16:30:00;   154
17.10.2014 15:00:00;   148
01.11.2014 00:00:00;   148
29.12.2014 07:30:00;   151
08.01.2015 06:15:00;   151
03.02.2015 03:00:00;   148
01.03.2015 12:06:00;   145
26.04.2015 21:15:00;   143
11.05.2015 17:45:00;   141
12.06.2015 20:15:00;   139
19.07.2015 19:45:00;   138
12.08.2015 18:45:00;   141
01.09.2015 00:00:00;   141
04.10.2015 19:30:00;   146
18.11.2015 12:30:00;   146
31.12.2015 16:15:00;   143
02.01.2016 07:15:00;   142
01.02.2016 11:15:00;   144
31.03.2016 14:15:00;   148
20.04.2016 18:45:00;   144
30.05.2016 17:15:00;   144
24.06.2016 15:15:00;   143
12.07.2016 19:15:00;   141
07.08.2016 19:30:00;   144
25.09.2016 20:00:00;   146
01.10.2016 00:00:00;   146
02.11.2016 12:15:00;   151
30.12.2016 08:45:00;   144
11.01.2017 08:30:00;   143
01.02.2017 00:15:00;   145
30.03.2017 16:15:00;   144
24.04.2017 20:00:00;   143
21.05.2017 18:15:00;   142
19.06.2017 17:15:00;   140
11.07.2017 16:45:00;   139
02.08.2017 18:45:00;   140
01.09.2017 00:00:00;   143
20.10.2017 14:00:00;   147
01.11.2017 13:00:00;   147
07.12.2017 09:00:00;   152
30.01.2018 13:45:00;   152
26.02.2018 00:00:00;   149
04.03.2018 03:30:00;   151
29.04.2018 15:45:00;   146
01.05.2018 12:00:00;   146
30.06.2018 16:00:00;   144
29.07.2018 17:00:00;   140
01.08.2018 15:00:00;   140
13.09.2018 18:15:00;   144
04.10.2018 17:45:00;   143
10.11.2018 12:15:00;   144
27.12.2018 09:30:00;   144
04.01.2019 10:00:00;   141
01.02.2019 04:30:00;   143
31.03.2019 15:15:00;   143
25.04.2019 19:00:00;   142
24.05.2019 20:45:00;   141
30.06.2019 19:30:00;   140
27.07.2019 18:15:00;   136
10.08.2019 19:00:00;   138
01.09.2019 16:15:00;   140
01.10.2019 00:00:00;   141
01.11.2019 00:00:00;   145
12.12.2019 08:30:00;   148
16.01.2020 08:30:00;   144
07.02.2020 09:45:00;   146
19.03.2020 17:15:00;   146
17.04.2020 14:15:00;   143
27.05.2020 21:00:00;   141
02.06.2020 17:00:00;   141
01.07.2020 15:30:00;   144
22.08.2020 18:45:00;   143
21.09.2020 17:45:00;   144
31.10.2020 12:30:00;   151
30.11.2020 11:45:00;   148
01.12.2020 00:45:00;   148
19.01.2021 08:15:00;   149
01.02.2021 23:30:00;   153
21.03.2021 08:00:00;   149
24.04.2021 19:15:00;   147
10.05.2021 17:30:00;   145
30.06.2021 20:00:00;   141
22.07.2021 19:15:00;   140
14.08.2021 19:15:00;   140
23.09.2021 20:00:00;   139
01.10.2021 18:15:00;   140
18.11.2021 16:00:00;   142
21.12.2021 06:00:00;   143
