Messstelle:                ;Loipersbach
HZB-Nummer:                ;208785
HD-Nummer:                 ;no705
DBMS-Nummer:               ;3001103
Gewässer:                  ;Schwarza
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;716,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00345,50
   01.01.1977              ;00346,76
   01.01.1984              ;00347,00
   01.01.2002              ;00344,46
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;734242,60 - 286864,50
Exportzeitreihe:           ;(3001103,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
01.01.1976 00:30:00;   108
23.02.1976 11:30:00;   121
19.03.1976 16:00:00;   109
13.04.1976 07:00:00;   123
31.05.1976 10:30:00;   140
24.06.1976 10:30:00;   107
27.07.1976 09:00:00;   107
17.08.1976 00:00:00;   107
30.09.1976 14:30:00;   106
21.10.1976 20:00:00;   105
24.11.1976 17:00:00;   105
31.12.1976 23:59:55;   110
01.01.1977 10:00:00;   110
05.02.1977 15:00:00;   121
02.03.1977 06:00:00;   144
07.04.1977 05:30:00;   149
30.05.1977 23:30:00;   128
29.06.1977 13:00:00;   107
01.07.1977 00:00:00;   107
01.08.1977 05:30:00;   108
17.09.1977 14:00:00;   107
03.10.1977 13:30:00;   107
01.11.1977 00:00:00;   107
25.12.1977 08:00:00;   107
04.01.1978 00:00:00;   106
26.02.1978 03:00:00;   106
19.03.1978 23:30:00;   106
15.04.1978 20:00:00;   107
06.05.1978 19:30:00;   126
24.06.1978 18:30:00;   106
13.07.1978 19:00:00;   106
01.08.1978 00:00:00;   107
16.09.1978 14:00:00;   106
03.10.1978 00:30:00;   106
01.11.1978 00:00:00;   107
09.12.1978 22:00:00;   107
30.01.1979 04:00:00;   106
18.02.1979 00:00:00;   106
09.03.1979 07:00:00;   105
02.04.1979 06:30:00;   132
05.05.1979 19:30:00;   140
13.06.1979 13:30:00;   126
12.07.1979 10:00:00;   115
25.08.1979 21:30:00;   106
09.09.1979 13:30:00;   106
07.10.1979 00:00:00;   107
14.11.1979 13:30:00;   107
31.12.1979 17:00:00;   111
11.01.1980 20:30:00;   106
01.02.1980 00:00:00;   108
01.03.1980 00:00:00;   111
08.04.1980 08:00:00;   148
25.05.1980 13:30:00;   163
18.06.1980 03:30:00;   127
28.07.1980 20:30:00;   107
09.08.1980 04:00:00;   107
01.09.1980 18:00:00;   107
12.10.1980 20:00:00;   107
16.11.1980 23:30:00;   107
01.12.1980 00:00:00;   107
13.01.1981 22:15:00;   125
21.02.1981 06:15:00;   107
01.03.1981 00:00:00;   107
25.04.1981 23:45:00;   129
31.05.1981 23:59:55;   107
15.06.1981 12:15:00;   107
19.07.1981 19:00:00;   107
11.08.1981 01:00:00;   107
01.09.1981 00:00:00;   107
09.10.1981 16:00:00;   107
01.11.1981 00:00:00;   107
31.12.1981 20:00:00;   107
30.01.1982 18:00:00;   110
22.02.1982 13:15:00;   109
01.03.1982 00:00:00;   109
19.04.1982 11:15:00;   120
02.05.1982 00:45:00;   131
23.06.1982 16:15:00;   119
09.07.1982 08:15:00;   128
30.08.1982 06:15:00;   107
10.09.1982 16:45:00;   107
01.10.1982 16:00:00;   107
09.11.1982 03:15:00;   115
02.12.1982 14:45:00;   116
02.01.1983 22:15:00;   125
25.02.1983 13:30:00;   118
07.03.1983 06:15:00;   124
08.04.1983 05:45:00;   126
22.05.1983 08:45:00;   107
30.06.1983 19:00:00;   107
01.07.1983 00:00:00;   107
01.08.1983 00:00:00;   107
05.09.1983 07:15:00;   107
01.10.1983 00:00:00;   107
01.11.1983 00:00:00;   107
01.12.1983 00:00:00;   107
15.01.1984 18:00:00;   108
29.02.1984 17:45:00;   108
15.03.1984 14:30:00;   108
30.04.1984 06:15:00;   113
02.05.1984 07:00:00;   107
24.06.1984 16:15:00;   108
31.07.1984 07:00:00;   108
01.08.1984 00:00:00;   108
28.09.1984 08:00:00;   107
19.10.1984 17:45:00;   108
01.11.1984 00:00:00;   108
31.12.1984 23:45:00;   108
11.01.1985 01:00:00;   108
01.02.1985 10:15:00;   108
22.03.1985 07:30:00;   108
27.04.1985 20:15:00;   108
06.05.1985 11:30:00;   121
30.06.1985 17:00:00;   120
08.07.1985 11:15:00;   108
18.08.1985 03:15:00;   108
22.09.1985 12:45:00;   108
01.10.1985 00:00:00;   108
06.11.1985 16:00:00;   108
06.12.1985 14:15:00;   108
05.01.1986 00:00:00;   108
13.02.1986 23:45:00;   108
01.03.1986 00:00:00;   108
20.04.1986 21:15:00;   130
25.05.1986 21:45:00;   108
29.06.1986 13:15:00;   107
01.07.1986 16:00:00;   108
16.08.1986 22:45:00;   108
01.09.1986 00:00:00;   108
15.10.1986 23:45:00;   108
01.11.1986 00:00:00;   108
17.12.1986 23:45:00;   108
07.01.1987 17:00:00;   120
02.02.1987 09:45:00;   140
17.03.1987 02:45:00;   127
26.04.1987 19:00:00;   164
31.05.1987 14:00:00;   180
30.06.1987 20:45:00;   142
07.07.1987 14:00:00;   120
09.08.1987 23:00:00;   119
01.09.1987 00:00:00;   120
01.10.1987 00:00:00;   120
01.11.1987 00:00:00;   120
18.12.1987 00:45:00;   119
02.01.1988 13:45:00;   120
01.02.1988 00:00:00;   120
01.03.1988 00:00:00;   120
17.04.1988 16:45:00;   157
31.05.1988 08:45:00;   122
22.06.1988 17:45:00;   120
01.07.1988 00:00:00;   120
01.08.1988 00:00:00;   120
02.09.1988 13:15:00;   120
01.10.1988 00:00:00;   120
01.11.1988 00:00:00;   120
