Messstelle:                ;Pitzenberg
HZB-Nummer:                ;205443
HD-Nummer:                 ;5960
DBMS-Nummer:               ;4001091
Gewässer:                  ;Staiger Bach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;22,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00410,00
   02.05.1989              ;00404,29
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1919              ;479680,00 - 325285,00
   27.03.2020              ;479677,00 - 325301,00
   29.03.2020              ;479676,80 - 325300,32
Exportzeitreihe:           ;(4001091,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
01.01.1976 07:00:00;   118
09.02.1976 09:00:00;   119
11.03.1976 06:00:00;   118
21.04.1976 17:00:00;   118
03.05.1976 21:00:00;   117
29.06.1976 20:00:00;   117
17.07.1976 15:00:00;   111
29.08.1976 17:00:00;   116
15.09.1976 20:00:00;   117
28.10.1976 22:00:00;   115
06.11.1976 10:00:00;   117
30.12.1976 04:00:00;   116
14.01.1977 04:00:00;   118
18.02.1977 07:00:00;   120
19.03.1977 20:30:00;   119
07.04.1977 12:30:00;   120
21.05.1977 20:00:00;   119
25.06.1977 11:00:00;   115
04.07.1977 18:00:00;   116
06.08.1977 17:30:00;   115
22.09.1977 16:30:00;   118
17.10.1977 11:30:00;   116
18.11.1977 17:30:00;   118
02.12.1977 16:00:00;   118
13.01.1978 13:30:00;   118
21.02.1978 02:00:00;   115
13.03.1978 13:00:00;   120
09.04.1978 16:30:00;   119
21.05.1978 17:00:00;   116
22.06.1978 17:30:00;   118
28.07.1978 18:30:00;   115
23.08.1978 13:30:00;   114
11.09.1978 22:00:00;   115
29.10.1978 14:00:00;   118
17.11.1978 15:00:00;   113
05.12.1978 03:30:00;   116
18.01.1979 08:30:00;   113
23.02.1979 16:00:00;   116
23.03.1979 10:30:00;   117
16.04.1979 16:00:00;   119
27.05.1979 21:00:00;   116
09.06.1979 21:30:00;   116
25.07.1979 18:30:00;   115
02.08.1979 13:30:00;   116
06.09.1979 18:00:00;   116
31.10.1979 17:30:00;   118
01.11.1979 08:00:00;   118
31.12.1979 13:00:00;   117
28.01.1980 08:30:00;   116
29.02.1980 00:00:00;   118
05.03.1980 14:00:00;   118
16.04.1980 17:00:00;   119
04.05.1980 02:30:00;   119
09.06.1980 18:00:00;   118
30.07.1980 17:00:00;   117
03.08.1980 13:30:00;   117
12.09.1980 16:00:00;   119
01.10.1980 17:30:00;   120
24.11.1980 12:00:00;   119
02.12.1980 09:00:00;   117
30.01.1981 01:30:00;   117
18.02.1981 15:00:00;   118
02.03.1981 17:00:00;   118
06.04.1981 20:00:00;   119
26.05.1981 19:30:00;   120
29.06.1981 20:00:00;   119
24.07.1981 19:00:00;   116
08.08.1981 17:00:00;   116
07.09.1981 12:00:00;   119
10.10.1981 20:30:00;   120
25.11.1981 14:30:00;   119
21.12.1981 00:30:00;   120
25.01.1982 19:30:00;   119
23.02.1982 15:30:00;   120
10.03.1982 07:30:00;   119
07.04.1982 01:00:00;   119
05.05.1982 08:00:00;   119
01.06.1982 16:00:00;   120
30.07.1982 21:00:00;   117
13.08.1982 16:30:00;   117
15.09.1982 09:30:00;   121
31.10.1982 23:59:55;   119
06.11.1982 12:00:00;   118
31.12.1982 23:59:55;   118
13.01.1983 11:00:00;   117
22.02.1983 05:00:00;   114
13.03.1983 11:30:00;   117
07.04.1983 15:30:00;   118
31.05.1983 19:00:00;   118
12.06.1983 20:30:00;   116
31.07.1983 20:00:00;   111
01.08.1983 15:00:00;   111
01.09.1983 19:30:00;   115
22.10.1983 16:00:00;   118
24.11.1983 12:30:00;   118
14.12.1983 07:30:00;   116
12.01.1984 11:45:00;   116
18.02.1984 00:00:00;   116
25.03.1984 04:45:00;   117
21.04.1984 10:00:00;   117
01.05.1984 21:15:00;   119
23.06.1984 12:00:00;   114
12.07.1984 17:15:00;   112
24.08.1984 16:15:00;   113
03.09.1984 17:45:00;   113
01.10.1984 02:45:00;   117
26.11.1984 14:45:00;   114
07.12.1984 14:30:00;   112
09.01.1985 09:00:00;   111
11.02.1985 21:30:00;   114
01.03.1985 13:15:00;   117
29.04.1985 04:00:00;   115
15.05.1985 23:15:00;   114
05.06.1985 20:30:00;   113
26.07.1985 19:15:00;   114
15.08.1985 17:15:00;   114
23.09.1985 20:00:00;   114
01.10.1985 17:45:00;   116
28.11.1985 09:45:00;   116
13.12.1985 21:00:00;   117
09.01.1986 10:15:00;   116
25.02.1986 01:30:00;   115
21.03.1986 10:45:00;   118
01.04.1986 00:30:00;   119
07.05.1986 06:30:00;   120
28.06.1986 20:00:00;   119
31.07.1986 18:45:00;   116
02.08.1986 17:30:00;   117
03.09.1986 18:30:00;   120
02.10.1986 17:00:00;   121
19.11.1986 17:15:00;   120
25.12.1986 23:00:00;   118
30.01.1987 03:45:00;   118
25.02.1987 07:00:00;   118
15.03.1987 08:15:00;   116
30.04.1987 20:00:00;   116
02.05.1987 18:30:00;   116
14.06.1987 16:15:00;   116
17.07.1987 17:15:00;   116
24.08.1987 18:45:00;   114
01.09.1987 18:00:00;   117
31.10.1987 16:15:00;   116
01.11.1987 00:00:00;   116
29.12.1987 19:30:00;   115
10.01.1988 05:15:00;   114
10.02.1988 15:15:00;   108
05.03.1988 06:30:00;   117
07.04.1988 15:15:00;   119
01.05.1988 17:15:00;   119
04.06.1988 14:30:00;   120
25.07.1988 22:45:00;   119
14.08.1988 19:45:00;   119
25.09.1988 18:45:00;   115
29.10.1988 05:30:00;   114
09.11.1988 17:30:00;   113
30.12.1988 09:15:00;   119
27.01.1989 23:45:00;   117
04.02.1989 03:30:00;   117
08.03.1989 04:00:00;   116
11.04.1989 15:30:00;   117
04.05.1989 16:45:00;   118
26.06.1989 16:45:00;   117
07.07.1989 15:15:00;   114
05.08.1989 16:00:00;   114
19.09.1989 13:45:00;   115
02.10.1989 19:00:00;   115
26.11.1989 06:00:00;   114
01.12.1989 05:45:00;   114
13.01.1990 07:45:00;   112
07.02.1990 16:30:00;   114
22.03.1990 10:30:00;   114
03.04.1990 03:00:00;   114
02.05.1990 17:45:00;   117
20.06.1990 17:45:00;   117
16.07.1990 17:30:00;   118
28.08.1990 16:45:00;   117
29.09.1990 22:45:00;   116
13.10.1990 03:30:00;   116
10.11.1990 18:45:00;   116
21.12.1990 07:00:00;   116
31.01.1991 06:45:00;   113
18.02.1991 08:30:00;   113
02.03.1991 16:30:00;   117
02.04.1991 10:45:00;   118
22.05.1991 17:30:00;   117
01.06.1991 21:45:00;   117
11.07.1991 17:00:00;   113
12.08.1991 16:30:00;   114
02.09.1991 17:30:00;   113
01.10.1991 09:00:00;   114
14.11.1991 05:45:00;   115
09.12.1991 22:00:00;   112
21.01.1992 06:15:00;   114
01.02.1992 00:00:00;   116
04.03.1992 04:30:00;   116
11.04.1992 02:00:00;   116
16.05.1992 13:45:00;   115
28.06.1992 16:30:00;   114
01.07.1992 00:00:00;   115
13.08.1992 19:00:00;   114
01.09.1992 00:00:00;   116
13.10.1992 20:15:00;   115
02.11.1992 11:45:00;   115
30.12.1992 04:00:00;   113
01.01.1993 23:15:00;   112
27.02.1993 05:30:00;   112
10.03.1993 06:45:00;   114
30.04.1993 15:45:00;   115
26.05.1993 18:15:00;   113
11.06.1993 12:45:00;   112
03.07.1993 20:00:00;   113
04.08.1993 18:45:00;   114
02.09.1993 14:15:00;   118
29.10.1993 18:00:00;   115
05.11.1993 20:30:00;   114
01.12.1993 00:00:00;   116
11.01.1994 20:45:00;   116
20.02.1994 07:15:00;   114
01.03.1994 00:00:00;   116
25.04.1994 19:30:00;   117
23.05.1994 20:15:00;   116
03.06.1994 10:45:00;   116
11.07.1994 18:45:00;   116
21.08.1994 19:00:00;   115
10.09.1994 19:45:00;   116
26.10.1994 01:45:00;   115
03.11.1994 11:30:00;   115
04.12.1994 13:45:00;   116
09.01.1995 04:00:00;   114
04.02.1995 19:30:00;   116
13.03.1995 05:45:00;   116
23.04.1995 17:00:00;   117
25.05.1995 20:00:00;   116
20.06.1995 19:30:00;   117
01.07.1995 18:15:00;   116
12.08.1995 18:15:00;   114
10.09.1995 14:15:00;   116
01.10.1995 00:00:00;   116
28.11.1995 08:00:00;   116
07.12.1995 20:15:00;   116
06.01.1996 05:45:00;   115
06.02.1996 00:45:00;   114
05.03.1996 05:00:00;   113
23.04.1996 23:00:00;   116
06.05.1996 22:45:00;   117
17.06.1996 21:15:00;   115
01.07.1996 00:00:00;   117
27.08.1996 13:30:00;   116
01.09.1996 00:00:00;   118
01.10.1996 23:00:00;   119
14.11.1996 04:45:00;   120
26.12.1996 07:00:00;   115
04.01.1997 02:35:50;   117
03.02.1997 08:47:55;   117
15.03.1997 04:50:15;   120
25.04.1997 21:06:10;   120
29.05.1997 19:08:30;   118
29.06.1997 17:42:10;   118
13.07.1997 16:13:45;   116
27.08.1997 19:15:15;   118
01.09.1997 18:15:35;   120
09.10.1997 16:18:55;   119
23.11.1997 23:56:00;   119
31.12.1997 23:59:55;   119
27.01.1998 23:42:10;   117
01.02.1998 08:11:40;   116
03.03.1998 01:26:00;   119
12.04.1998 02:39:35;   120
14.05.1998 16:20:35;   118
30.06.1998 16:42:30;   118
21.07.1998 20:58:55;   116
09.08.1998 21:06:15;   118
02.09.1998 17:51:35;   118
23.10.1998 23:39:25;   119
30.11.1998 06:40:15;   117
10.12.1998 01:03:45;   116
02.01.1999 20:31:55;   117
16.02.1999 06:12:25;   117
18.03.1999 03:12:05;   118
16.04.1999 06:17:35;   119
31.05.1999 16:27:10;   119
15.06.1999 22:42:40;   118
22.07.1999 00:10:35;   117
09.08.1999 20:25:10;   117
30.09.1999 17:05:40;   118
15.10.1999 02:26:35;   116
30.11.1999 06:44:10;   117
25.12.1999 10:52:45;   117
25.01.2000 02:45:10;   116
29.02.2000 12:36:55;   120
08.03.2000 07:43:00;   120
29.04.2000 22:09:40;   117
03.05.2000 20:01:35;   117
21.06.2000 19:37:20;   114
01.07.2000 18:32:30;   116
02.08.2000 19:47:25;   115
25.09.2000 08:24:15;   117
22.10.2000 21:57:15;   116
14.11.2000 15:49:05;   117
06.12.2000 23:12:20;   117
17.01.2001 10:08:45;   117
20.02.2001 08:03:35;   119
07.03.2001 20:29:50;   118
03.04.2001 14:39:00;   119
26.05.2001 01:35:55;   118
16.06.2001 04:33:30;   117
25.07.2001 16:42:40;   115
25.08.2001 20:33:40;   116
21.09.2001 08:58:30;   116
15.10.2001 03:21:40;   117
05.11.2001 12:34:30;   117
24.12.2001 06:04:45;   114
19.01.2002 21:33:25;   118
20.02.2002 01:12:35;   117
12.03.2002 14:36:20;   118
30.04.2002 11:51:40;   118
15.05.2002 14:35:20;   116
