Messstelle:                ;Fulpmes
HZB-Nummer:                ;230714
HD-Nummer:                 ;
DBMS-Nummer:               ;7001164
Gewässer:                  ;Ruetz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Österreichische Bundesbahnen
orogr.Einzugsgebiet [km²]: ;280,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   03.05.1979              ;00896,00
   16.03.1983              ;00896,07
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   03.05.1979              ;227660,18 - 224479,09
Exportzeitreihe:           ;(7001164,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1981 00:30,01.01.2022 00:00]
Werte:
26.01.1981 00:00:00;    43
17.02.1981 20:30:00;    41
03.03.1981 11:00:00;    42
30.04.1981 07:30:00;    54
07.05.1981 14:30:00;    50
26.06.1981 19:00:00;    67
16.07.1981 11:30:00;    83
30.08.1981 14:00:00;    68
18.09.1981 15:00:00;    65
30.10.1981 09:30:00;    57
30.11.1981 01:30:00;    52
28.12.1981 04:00:00;    46
08.01.1982 05:30:00;    44
22.02.1982 10:00:00;    41
15.03.1982 07:30:00;    42
01.04.1982 07:00:00;    62
02.05.1982 21:30:00;    63
16.06.1982 15:00:00;    92
30.07.1982 10:00:00;    92
25.08.1982 13:00:00;    79
25.09.1982 15:30:00;    74
31.10.1982 23:59:55;    65
21.11.1982 09:00:00;    60
30.12.1982 10:00:00;    55
03.01.1983 00:00:00;    54
17.02.1983 09:30:00;    51
02.03.1983 11:15:00;    51
06.04.1983 11:15:00;    54
04.05.1983 13:00:00;    67
19.06.1983 13:00:00;    80
03.07.1983 13:15:00;    94
15.08.1983 11:30:00;    76
30.09.1983 15:00:00;    72
31.10.1983 08:45:00;    58
15.11.1983 12:00:00;    55
03.12.1983 11:00:00;    53
31.01.1984 08:30:00;    53
18.02.1984 10:30:00;    50
13.03.1984 06:45:00;    51
10.04.1984 01:15:00;    52
01.05.1984 14:30:00;    57
01.06.1984 13:15:00;    74
29.07.1984 12:00:00;    76
20.08.1984 12:30:00;    75
30.09.1984 15:30:00;    73
31.10.1984 23:59:55;    65
28.11.1984 03:00:00;    58
29.12.1984 12:30:00;    52
29.01.1985 18:30:00;    52
21.02.1985 06:00:00;    49
20.03.1985 06:15:00;    48
01.04.1985 05:45:00;    50
01.05.1985 14:00:00;    55
19.06.1985 06:30:00;    75
01.07.1985 13:45:00;    84
03.08.1985 12:30:00;    87
30.09.1985 14:45:00;   112
29.10.1985 14:30:00;    95
29.11.1985 12:15:00;    84
25.12.1985 00:30:00;    80
27.01.1986 10:15:00;    77
28.02.1986 21:00:00;    78
01.03.1986 00:00:00;    78
01.04.1986 02:15:00;    86
31.05.1986 23:59:55;   108
08.06.1986 14:00:00;    97
11.07.1986 10:30:00;    96
31.08.1986 23:30:00;    99
30.09.1986 11:15:00;    87
31.10.1986 23:59:55;    77
30.11.1986 23:59:55;    59
26.12.1986 13:45:00;    56
