Messstelle:                ;Marienthal (Bahnbrücke)
HZB-Nummer:                ;208413
HD-Nummer:                 ;
DBMS-Nummer:               ;11002097
Gewässer:                  ;Fischa
Sachgebiet:                ;OWF
Dienststelle:              ;Magistratsabteilung 31
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
orogr.Einzugsgebiet [km²]: ;417,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00176,46
   01.01.1982              ;00174,61
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1954              ;762861,00 - 320812,00
Exportzeitreihe:           ;(11002097,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:15,01.01.2022 00:00]
Werte:
02.01.1976 20:15:00;    72
28.02.1976 11:00:00;    74
23.03.1976 08:15:00;    76
17.04.1976 08:00:00;    46
10.05.1976 04:15:00;    56
18.06.1976 06:00:00;    44
20.07.1976 05:30:00;    40
17.08.1976 17:00:00;    36
29.09.1976 16:45:00;    48
14.10.1976 05:45:00;    50
02.11.1976 09:00:00;    68
23.12.1976 14:15:00;    74
20.01.1977 07:45:00;    52
03.02.1977 15:00:00;    67
30.03.1977 09:15:00;    76
07.04.1977 15:15:00;    76
12.05.1977 08:00:00;    58
21.06.1977 12:15:00;    44
04.07.1977 11:45:00;    50
31.08.1977 10:15:00;    52
04.09.1977 19:00:00;    38
06.10.1977 16:15:00;    50
19.11.1977 09:30:00;    46
11.12.1977 06:00:00;    39
23.01.1978 09:45:00;    58
23.02.1978 09:00:00;    55
20.03.1978 09:15:00;    59
23.04.1978 15:30:00;    47
02.05.1978 10:45:00;    57
23.06.1978 08:15:00;    53
26.07.1978 07:15:00;    51
31.08.1978 11:15:00;    46
12.09.1978 16:45:00;    39
05.10.1978 14:45:00;    41
02.11.1978 06:15:00;    58
08.12.1978 19:30:00;    49
10.01.1979 12:45:00;    40
01.02.1979 08:30:00;    61
02.03.1979 15:45:00;    66
23.04.1979 18:30:00;    79
29.05.1979 16:45:00;    58
15.06.1979 10:15:00;    42
16.07.1979 14:15:00;    56
14.08.1979 12:15:00;    48
01.09.1979 14:00:00;    42
01.10.1979 10:00:00;    61
09.11.1979 15:45:00;    57
06.12.1979 15:00:00;    81
14.01.1980 06:45:00;    59
01.02.1980 11:15:00;    77
15.03.1980 09:00:00;    74
01.04.1980 07:15:00;    93
27.05.1980 19:00:00;    76
16.06.1980 11:45:00;    52
25.07.1980 12:00:00;    33
22.08.1980 08:45:00;    44
30.09.1980 15:15:00;    54
03.10.1980 16:00:00;    54
01.11.1980 08:00:00;    65
09.12.1980 07:15:00;    73
28.01.1981 14:00:00;    65
28.02.1981 10:00:00;    78
31.03.1981 12:30:00;    74
13.04.1981 19:45:00;    62
15.05.1981 14:15:00;    47
03.06.1981 20:30:00;    47
10.07.1981 06:45:00;    42
08.08.1981 13:00:00;    49
08.09.1981 09:00:00;    56
05.10.1981 08:30:00;    27
02.11.1981 07:30:00;    68
21.12.1981 16:15:00;    72
19.01.1982 17:15:00;    81
28.02.1982 13:00:00;    84
13.03.1982 18:00:00;    75
21.04.1982 08:15:00;    56
19.05.1982 07:00:00;    63
26.06.1982 16:15:00;    57
20.07.1982 07:15:00;    49
03.08.1982 06:15:00;    59
27.09.1982 14:00:00;    62
01.10.1982 07:45:00;    67
29.11.1982 08:00:00;    71
15.12.1982 07:30:00;    72
03.01.1983 14:00:00;    75
26.02.1983 15:15:00;    68
19.03.1983 10:15:00;    71
30.04.1983 16:15:00;    65
17.05.1983 06:30:00;    55
10.06.1983 07:00:00;    51
29.07.1983 14:15:00;    44
01.08.1983 18:30:00;    45
25.09.1983 08:00:00;    48
04.10.1983 00:30:00;    50
30.11.1983 21:00:00;    54
06.12.1983 12:45:00;    54
30.01.1984 14:15:00;    51
20.02.1984 09:30:00;    52
03.03.1984 09:30:00;    58
30.04.1984 08:15:00;    59
04.05.1984 10:00:00;    60
28.06.1984 06:45:00;    52
31.07.1984 13:30:00;    39
30.08.1984 14:15:00;    43
06.09.1984 07:30:00;    46
31.10.1984 15:30:00;    54
13.11.1984 12:15:00;    43
31.12.1984 08:00:00;    52
14.01.1985 08:30:00;    36
01.02.1985 09:15:00;    55
09.03.1985 07:15:00;    60
25.04.1985 07:30:00;    65
29.05.1985 11:00:00;    60
07.06.1985 06:15:00;    61
15.07.1985 11:00:00;    50
06.08.1985 05:45:00;    51
27.09.1985 14:15:00;    57
01.10.1985 07:15:00;    54
04.11.1985 18:00:00;    55
03.12.1985 22:00:00;    51
12.01.1986 08:30:00;    65
28.02.1986 11:30:00;    70
01.03.1986 07:45:00;    66
28.04.1986 06:15:00;    63
22.05.1986 09:00:00;    46
28.06.1986 06:45:00;    63
17.07.1986 06:15:00;    48
04.08.1986 05:15:00;    49
08.09.1986 14:45:00;    56
08.10.1986 07:45:00;    53
01.11.1986 00:00:00;    62
18.12.1986 02:45:00;    52
12.01.1987 12:15:00;    41
02.02.1987 14:30:00;    45
16.03.1987 16:00:00;    86
30.04.1987 20:30:00;    87
02.05.1987 01:30:00;    84
29.06.1987 20:30:00;    72
15.07.1987 13:45:00;    52
09.08.1987 04:00:00;    60
18.09.1987 12:00:00;    55
02.10.1987 08:15:00;    62
03.11.1987 08:15:00;    66
16.12.1987 08:15:00;    70
01.01.1988 14:45:00;    71
22.02.1988 08:00:00;    62
01.03.1988 09:15:00;    75
27.04.1988 20:00:00;    77
31.05.1988 08:30:00;    59
29.06.1988 06:45:00;    59
26.07.1988 08:15:00;    40
01.08.1988 08:30:00;    51
01.09.1988 10:15:00;    61
13.10.1988 06:45:00;    63
02.11.1988 06:30:00;    66
03.12.1988 09:15:00;    69
28.01.1989 08:15:00;    81
12.02.1989 16:45:00;    75
07.03.1989 16:30:00;    57
17.04.1989 14:15:00;    60
30.05.1989 22:15:00;    74
13.06.1989 05:30:00;    76
25.07.1989 12:15:00;    75
29.08.1989 13:45:00;    77
27.09.1989 13:30:00;    75
24.10.1989 07:00:00;    70
26.11.1989 07:30:00;    80
14.12.1989 06:00:00;    74
12.01.1990 13:15:00;    66
11.02.1990 07:45:00;    59
01.03.1990 06:30:00;    72
18.04.1990 12:15:00;    70
31.05.1990 16:30:00;    66
20.06.1990 04:45:00;    55
30.07.1990 07:00:00;    55
17.08.1990 15:00:00;    32
01.09.1990 18:15:00;    24
08.10.1990 06:00:00;    34
10.11.1990 10:45:00;    45
08.12.1990 10:15:00;    57
23.01.1991 19:30:00;    69
16.02.1991 13:30:00;    51
28.03.1991 10:15:00;    62
22.04.1991 05:45:00;    52
13.05.1991 20:30:00;    65
26.06.1991 12:15:00;    78
17.07.1991 18:15:00;    56
27.08.1991 18:15:00;    82
17.09.1991 05:30:00;    64
27.10.1991 06:15:00;    50
11.11.1991 05:30:00;    52
08.12.1991 08:00:00;    68
25.01.1992 12:30:00;    72
01.02.1992 11:45:00;    78
18.03.1992 07:45:00;    75
27.04.1992 08:30:00;    79
12.05.1992 02:00:00;    64
01.06.1992 05:15:00;    63
24.07.1992 05:30:00;    39
24.08.1992 05:45:00;    29
01.09.1992 05:45:00;    33
25.10.1992 08:00:00;    45
07.11.1992 05:45:00;    50
30.12.1992 08:30:00;    69
06.01.1993 07:45:00;    60
01.02.1993 07:30:00;    74
08.03.1993 07:30:00;    78
27.04.1993 22:15:00;    77
25.05.1993 16:30:00;    51
04.06.1993 06:00:00;    49
20.07.1993 05:15:00;    55
16.08.1993 21:15:00;    57
18.09.1993 05:15:00;    43
14.10.1993 07:00:00;    48
23.11.1993 07:15:00;    75
13.12.1993 14:00:00;    71
31.01.1994 13:15:00;    78
25.02.1994 15:15:00;    69
02.03.1994 15:00:00;    67
08.04.1994 05:15:00;    64
30.05.1994 14:15:00;    57
24.06.1994 05:30:00;    51
30.07.1994 04:15:00;    39
03.08.1994 06:15:00;    40
01.09.1994 06:45:00;    52
20.10.1994 17:00:00;    49
07.11.1994 17:00:00;    50
10.12.1994 06:15:00;    66
05.01.1995 07:00:00;    67
