Messstelle:                ;Amerlügen
HZB-Nummer:                ;200501
HD-Nummer:                 ;
DBMS-Nummer:               ;8001047
Gewässer:                  ;Samina
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;68,91
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1991              ;00639,84
   01.01.1998              ;00639,83
   02.10.2003              ;00603,30
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1991              ;95025,00 - 229223,00
   02.10.2003              ;95540,00 - 229930,00
Exportzeitreihe:           ;(8001047,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1991 00:15,01.01.2022 00:00]
Werte:
31.01.1991 23:59:55;    43
21.02.1991 13:30:00;    41
02.03.1991 03:45:00;    44
21.04.1991 16:00:00;    44
05.05.1991 13:30:00;    50
30.06.1991 23:59:55;    51
12.07.1991 07:15:00;    46
30.08.1991 00:00:00;    45
01.09.1991 00:00:00;    45
10.10.1991 08:30:00;    46
04.11.1991 05:30:00;    45
18.12.1991 04:45:00;    43
30.01.1992 15:30:00;    42
01.02.1992 00:00:00;    42
04.03.1992 06:15:00;    46
18.04.1992 05:30:00;    48
24.05.1992 10:00:00;    48
14.06.1992 12:30:00;    37
01.07.1992 09:15:00;    39
17.08.1992 11:00:00;    38
24.09.1992 11:45:00;    37
01.10.1992 13:45:00;    39
11.11.1992 13:15:00;    41
30.12.1992 00:00:00;    39
30.01.1993 12:15:00;    36
19.02.1993 04:30:00;    34
01.03.1993 00:00:00;    34
05.04.1993 04:45:00;    41
26.05.1993 19:45:00;    43
10.06.1993 11:00:00;    41
03.07.1993 12:15:00;    42
05.08.1993 17:30:00;    41
21.09.1993 19:30:00;    43
01.10.1993 22:15:00;    43
30.11.1993 23:59:55;    39
03.12.1993 23:00:00;    38
21.01.1994 22:15:00;    39
24.02.1994 19:15:00;    40
01.03.1994 04:15:00;    46
15.04.1994 05:00:00;    44
31.05.1994 07:15:00;    49
29.06.1994 03:15:00;    41
23.07.1994 16:30:00;    38
07.08.1994 16:15:00;    38
07.09.1994 01:00:00;    40
12.10.1994 13:00:00;    38
08.11.1994 22:45:00;    37
07.12.1994 06:15:00;    38
09.01.1995 00:30:00;    39
06.02.1995 12:15:00;    43
10.03.1995 06:00:00;    40
01.04.1995 03:45:00;    44
