Messstelle:                ;Leopoldsdorf im Marchfelde
HZB-Nummer:                ;208454
HD-Nummer:                 ;no595
DBMS-Nummer:               ;3001081
Gewässer:                  ;Rußbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;437,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00145,00
   01.01.1977              ;00144,94
   01.01.1983              ;00144,79
   01.01.1993              ;00145,37
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1967              ;778679,00 - 343209,00
Exportzeitreihe:           ;(3001081,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
30.01.1976 16:00:00;   117
15.02.1976 06:00:00;   116
11.03.1976 10:00:00;   115
10.04.1976 20:00:00;   121
12.05.1976 16:00:00;   122
29.06.1976 14:00:00;   109
21.07.1976 16:00:00;   102
02.08.1976 16:00:00;   107
10.09.1976 10:00:00;   110
12.10.1976 08:00:00;   118
01.11.1976 00:00:00;   164
31.12.1976 23:59:55;   141
20.01.1977 16:00:00;   129
03.02.1977 14:00:00;   152
27.03.1977 14:00:00;   147
26.04.1977 16:00:00;   145
31.05.1977 23:59:55;   120
27.06.1977 02:00:00;   114
07.07.1977 20:00:00;   112
28.08.1977 06:00:00;   120
02.09.1977 04:00:00;   115
06.10.1977 08:00:00;   136
21.11.1977 16:00:00;   168
31.12.1977 12:00:00;   143
22.01.1978 16:00:00;   125
17.02.1978 22:00:00;   136
22.03.1978 02:00:00;   151
13.04.1978 18:00:00;   146
18.05.1978 20:00:00;   138
08.06.1978 16:00:00;   132
06.07.1978 14:00:00;   129
27.08.1978 02:00:00;   124
11.09.1978 02:00:00;   126
08.10.1978 14:00:00;   136
03.11.1978 20:00:00;   173
20.12.1978 16:00:00;   145
31.01.1979 23:59:55;   138
14.02.1979 12:00:00;   134
03.03.1979 08:00:00;   152
27.04.1979 04:00:00;   157
29.05.1979 08:00:00;   145
13.06.1979 12:00:00;   135
28.07.1979 18:00:00;   140
21.08.1979 02:00:00;   132
10.09.1979 10:00:00;   127
02.10.1979 08:00:00;   139
14.11.1979 16:00:00;   194
31.12.1979 23:59:55;   172
14.01.1980 14:00:00;   143
29.02.1980 23:59:55;   165
05.03.1980 22:00:00;   162
19.04.1980 02:00:00;   164
31.05.1980 04:00:00;   151
18.06.1980 08:00:00;   143
15.07.1980 02:00:00;   143
28.08.1980 12:00:00;   134
06.09.1980 12:00:00;   136
03.10.1980 00:00:00;   146
01.11.1980 12:00:00;   194
13.12.1980 06:00:00;   192
28.01.1981 22:00:00;   141
21.02.1981 12:00:00;   147
01.03.1981 10:00:00;   152
22.04.1981 10:00:00;   150
31.05.1981 02:00:00;   143
20.06.1981 06:00:00;   132
12.07.1981 10:00:00;   122
14.08.1981 10:00:00;   124
11.09.1981 00:00:00;   127
10.10.1981 00:00:00;   164
06.11.1981 14:00:00;   258
31.12.1981 23:59:55;   241
28.01.1982 00:00:00;   239
19.02.1982 10:00:00;   225
31.03.1982 23:59:55;   224
23.04.1982 00:00:00;   211
20.05.1982 18:00:00;   199
13.06.1982 08:00:00;   179
13.07.1982 20:00:00;   186
28.08.1982 16:00:00;   171
16.09.1982 16:00:00;   165
01.10.1982 12:00:00;   171
11.11.1982 10:00:00;   257
03.12.1982 12:00:00;   267
31.01.1983 23:59:55;   269
25.02.1983 10:30:00;   239
29.03.1983 17:00:00;   239
30.04.1983 00:30:00;   234
22.05.1983 19:30:00;   225
10.06.1983 06:30:00;   220
30.07.1983 16:00:00;   202
01.08.1983 07:00:00;   205
02.09.1983 07:30:00;   202
03.10.1983 13:00:00;   207
27.11.1983 02:30:00;   225
30.12.1983 13:30:00;   211
13.01.1984 10:30:00;   200
19.02.1984 17:30:00;   203
20.03.1984 16:00:00;   207
26.04.1984 07:00:00;   208
30.05.1984 15:00:00;   192
23.06.1984 04:30:00;   193
13.07.1984 09:00:00;   190
06.08.1984 09:30:00;   188
07.09.1984 22:00:00;   201
01.10.1984 15:30:00;   225
23.11.1984 16:30:00;   269
31.12.1984 23:59:55;   234
12.01.1985 08:30:00;   181
20.02.1985 06:00:00;   190
04.03.1985 11:30:00;   194
30.04.1985 21:30:00;   218
16.05.1985 16:30:00;   211
30.06.1985 22:00:00;   213
26.07.1985 18:00:00;   196
03.08.1985 08:00:00;   203
30.09.1985 10:00:00;   225
13.10.1985 09:30:00;   226
20.11.1985 11:30:00;   260
31.12.1985 23:30:00;   225
06.01.1986 22:00:00;   212
23.02.1986 23:15:00;   212
01.03.1986 08:15:00;   215
28.04.1986 23:30:00;   216
25.05.1986 06:00:00;   203
30.06.1986 00:30:00;   198
04.07.1986 06:00:00;   192
04.08.1986 12:45:00;   192
