Messstelle:                ;Bucheben
HZB-Nummer:                ;203158
HD-Nummer:                 ;
DBMS-Nummer:               ;5001015
Gewässer:                  ;Hüttwinklache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Salzburg AG für Energie, Verkehr und Telekommunikation
orogr.Einzugsgebiet [km²]: ;96,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;01050,54
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1931              ;422410,00 - 224910,00
Exportzeitreihe:           ;(5001015,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
01.01.1976 02:00:00;    60
01.02.1976 00:00:00;    60
07.03.1976 08:00:00;    60
10.04.1976 08:00:00;    62
01.05.1976 00:00:00;    63
01.06.1976 00:00:00;    80
12.07.1976 08:00:00;    80
02.08.1976 08:00:00;    70
20.09.1976 08:00:00;    75
27.10.1976 08:00:00;    75
25.11.1976 16:00:00;    66
16.12.1976 10:00:00;    64
10.01.1977 10:00:00;    62
01.02.1977 00:00:00;    62
01.03.1977 00:00:00;    62
17.04.1977 08:00:00;    65
07.05.1977 08:00:00;    85
01.06.1977 00:00:00;    90
30.07.1977 08:00:00;    80
30.08.1977 08:00:00;    85
21.09.1977 16:00:00;    74
20.10.1977 08:00:00;    68
30.11.1977 10:00:00;    65
01.12.1977 00:00:00;    65
20.01.1978 08:00:00;    58
01.02.1978 00:00:00;    58
17.03.1978 10:00:00;    59
01.04.1978 00:00:00;    60
10.05.1978 08:00:00;    75
26.06.1978 08:00:00;    80
01.07.1978 00:00:00;    85
23.08.1978 08:00:00;    80
01.09.1978 00:00:00;    80
26.10.1978 08:00:00;    75
18.11.1978 08:00:00;    70
14.12.1978 00:01:00;    67
19.01.1979 08:00:00;    67
22.02.1979 08:00:00;    58
01.03.1979 00:00:00;    58
01.04.1979 00:00:00;    60
06.05.1979 08:00:00;    60
08.06.1979 08:00:00;   105
09.07.1979 08:00:00;    90
23.08.1979 08:00:00;    85
27.09.1979 08:00:00;    83
17.10.1979 08:00:00;    68
01.11.1979 00:00:00;    68
22.12.1979 10:00:00;    69
01.01.1980 00:00:00;    70
26.02.1980 08:00:00;    65
16.03.1980 08:00:00;    60
01.04.1980 00:00:00;    61
01.05.1980 00:00:00;    70
01.06.1980 00:00:00;    82
01.07.1980 00:00:00;    95
25.08.1980 08:00:00;    85
22.09.1980 08:00:00;    80
08.10.1980 08:00:00;    70
24.11.1980 08:00:00;    68
01.12.1980 00:00:00;    68
26.01.1981 08:00:00;    57
26.02.1981 00:01:00;    57
01.03.1981 00:00:00;    57
23.04.1981 08:00:00;    70
01.05.1981 00:00:00;    70
21.06.1981 08:00:00;    90
01.07.1981 02:00:00;   100
25.08.1981 10:00:00;    80
19.09.1981 08:00:00;    79
29.10.1981 08:00:00;    71
30.11.1981 23:59:55;    67
29.12.1981 08:00:00;    61
23.01.1982 10:00:00;    60
25.02.1982 10:00:00;    58
01.03.1982 02:00:00;    57
01.04.1982 02:00:00;    58
01.05.1982 00:00:00;    60
22.06.1982 08:00:00;    85
02.07.1982 08:00:00;    78
26.08.1982 08:00:00;    78
16.09.1982 10:00:00;    74
31.10.1982 23:59:55;    71
30.11.1982 23:59:55;    68
13.12.1982 10:00:00;    66
16.01.1983 20:30:00;    47
23.02.1983 00:30:00;    57
08.03.1983 14:00:00;    61
