Messstelle:                ;Schönenbach (Hengstig)
HZB-Nummer:                ;200287
HD-Nummer:                 ;
DBMS-Nummer:               ;8001028
Gewässer:                  ;Subersach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;30,94
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00980,75
   30.10.2017              ;00980,72
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1941              ;127938,00 - 249722,00
Exportzeitreihe:           ;(8001028,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
25.01.1976 00:00:00;    23
21.02.1976 13:30:00;    20
12.03.1976 18:30:00;    22
12.04.1976 12:30:00;    34
01.05.1976 12:30:00;    35
27.06.1976 15:00:00;    11
04.07.1976 19:30:00;    19
10.08.1976 13:00:00;    22
28.09.1976 21:00:00;    27
31.10.1976 01:30:00;    23
28.11.1976 10:00:00;    24
09.12.1976 08:00:00;    22
05.01.1977 06:00:00;    23
05.02.1977 01:30:00;    27
31.03.1977 23:59:55;    27
01.04.1977 12:30:00;    26
10.05.1977 18:00:00;    39
25.06.1977 14:00:00;    44
08.07.1977 12:00:00;    33
31.08.1977 23:59:55;    37
28.09.1977 14:00:00;    20
01.10.1977 20:30:00;    21
01.11.1977 06:00:00;    22
23.12.1977 21:30:00;    27
31.01.1978 00:30:00;    24
19.02.1978 08:30:00;    23
11.03.1978 20:30:00;    30
18.04.1978 08:00:00;    32
14.05.1978 12:00:00;    47
30.06.1978 11:00:00;    47
31.07.1978 13:30:00;    43
06.08.1978 14:30:00;    31
21.09.1978 20:00:00;    36
16.10.1978 10:00:00;    37
22.11.1978 21:00:00;    20
01.12.1978 01:00:00;    20
23.01.1979 11:30:00;    18
02.02.1979 21:30:00;    21
03.03.1979 00:30:00;    21
06.04.1979 17:00:00;    24
07.05.1979 12:00:00;    33
30.06.1979 23:59:55;    59
05.07.1979 07:00:00;    39
07.08.1979 22:30:00;    29
20.09.1979 19:00:00;    25
30.10.1979 05:30:00;    22
01.11.1979 19:00:00;    21
31.12.1979 20:00:00;    25
30.01.1980 23:00:00;    25
04.02.1980 00:30:00;    26
14.03.1980 20:00:00;    25
11.04.1980 14:00:00;    30
01.05.1980 12:00:00;    47
26.06.1980 14:00:00;    52
31.07.1980 17:00:00;    38
27.08.1980 17:30:00;    23
06.09.1980 19:30:00;    26
04.10.1980 11:00:00;    29
15.11.1980 07:00:00;    23
12.12.1980 06:30:00;    24
06.01.1981 03:00:00;    23
27.02.1981 07:30:00;    23
07.03.1981 12:30:00;    22
30.04.1981 11:00:00;    36
06.05.1981 17:30:00;    40
30.06.1981 17:00:00;    34
11.07.1981 12:30:00;    31
16.08.1981 19:30:00;    27
08.09.1981 20:30:00;    29
10.10.1981 03:00:00;    35
19.11.1981 12:00:00;    32
29.12.1981 19:30:00;    33
30.01.1982 04:00:00;    26
25.02.1982 04:00:00;    23
20.03.1982 04:00:00;    23
15.04.1982 06:00:00;    35
02.05.1982 17:30:00;    36
