Messstelle:                ;St. Stefan
HZB-Nummer:                ;213942
HD-Nummer:                 ;01871
DBMS-Nummer:               ;2002572
Gewässer:                  ;Globasnitzbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;21,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   20.12.2012              ;00511,21
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2009              ;555744,99 - 160296,11
   04.08.2015              ;555744,60 - 160295,90
Exportzeitreihe:           ;(2002572,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[22.03.2010 14:30,01.01.2022 00:00]
Werte:
22.03.2010 14:30:00;    43
08.04.2010 06:30:00;    39
26.05.2010 14:30:00;    34
14.06.2010 20:30:00;    34
12.07.2010 21:00:00;    31
05.08.2010 16:30:00;    29
13.09.2010 13:30:00;    39
24.10.2010 11:45:00;    41
05.11.2010 08:30:00;    45
03.12.2010 20:30:00;    45
31.01.2011 07:30:00;    37
23.02.2011 10:15:00;    33
08.03.2011 04:15:00;    31
21.04.2011 10:15:00;    28
02.05.2011 16:15:00;    29
01.06.2011 08:00:00;    36
28.07.2011 06:45:00;    34
29.08.2011 08:30:00;    29
01.09.2011 02:15:00;    30
17.10.2011 13:30:00;    31
22.11.2011 10:30:00;    31
31.12.2011 11:30:00;    33
28.01.2012 20:00:00;    31
01.02.2012 00:00:00;    31
15.03.2012 19:15:00;    31
01.04.2012 00:00:00;    31
05.05.2012 23:15:00;    33
28.06.2012 20:30:00;    35
01.07.2012 00:00:00;    35
19.08.2012 12:00:00;    33
10.09.2012 19:30:00;    34
12.10.2012 12:45:00;    39
19.11.2012 10:00:00;    44
13.12.2012 10:30:00;    43
27.01.2013 11:30:00;    40
14.02.2013 12:00:00;    38
01.03.2013 00:00:00;    40
04.04.2013 07:00:00;    50
29.05.2013 18:00:00;    46
28.06.2013 14:30:00;    43
26.07.2013 13:30:00;    38
07.08.2013 12:00:00;    36
01.09.2013 11:15:00;    36
04.10.2013 14:45:00;    37
01.11.2013 09:45:00;    38
19.12.2013 20:00:00;    45
29.01.2014 17:00:00;    46
01.02.2014 03:15:00;    48
30.03.2014 11:28:00;    49
11.04.2014 11:28:00;    47
30.05.2014 08:00:00;    44
23.06.2014 14:00:00;    39
12.07.2014 07:30:00;    37
11.08.2014 17:27:00;    42
26.09.2014 08:30:00;    54
21.10.2014 07:15:00;    47
04.11.2014 11:45:00;    47
29.12.2014 11:00:00;    46
28.01.2015 19:00:00;    43
06.02.2015 13:00:00;    42
13.03.2015 19:00:00;    42
26.04.2015 20:30:00;    43
13.05.2015 09:00:00;    39
11.06.2015 18:15:00;    42
22.07.2015 20:00:00;    40
10.08.2015 19:45:00;    40
01.09.2015 17:15:00;    40
05.10.2015 20:15:00;    47
29.11.2015 11:15:00;    43
24.12.2015 14:00:00;    40
07.01.2016 14:00:00;    39
07.02.2016 12:45:00;    39
18.03.2016 09:45:00;    47
26.04.2016 17:00:00;    44
01.05.2016 06:00:00;    50
30.06.2016 13:00:00;    47
26.07.2016 12:30:00;    43
09.08.2016 11:15:00;    42
30.09.2016 14:15:00;    46
05.10.2016 20:00:00;    44
03.11.2016 13:15:00;    49
31.12.2016 13:00:00;    47
22.01.2017 21:00:00;    45
01.02.2017 00:00:00;    45
03.03.2017 10:45:00;    45
23.04.2017 18:45:00;    43
26.05.2017 20:00:00;    43
18.06.2017 12:00:00;    41
18.07.2017 18:45:00;    40
15.08.2017 12:00:00;    40
08.09.2017 13:30:00;    40
12.10.2017 08:45:00;    44
01.11.2017 13:15:00;    43
06.12.2017 11:45:00;    47
28.01.2018 10:45:00;    49
25.02.2018 11:45:00;    44
05.03.2018 10:00:00;    43
30.04.2018 18:00:00;    52
29.05.2018 16:15:00;    46
05.06.2018 08:00:00;    44
16.07.2018 07:30:00;    45
24.08.2018 12:45:00;    43
20.09.2018 08:15:00;    44
29.10.2018 18:45:00;    39
15.11.2018 10:30:00;    48
27.12.2018 11:45:00;    46
19.01.2019 16:15:00;    45
01.02.2019 00:00:00;    45
03.03.2019 17:45:00;    46
08.04.2019 09:30:00;    47
02.05.2019 16:30:00;    48
29.06.2019 10:15:00;    49
21.07.2019 09:45:00;    44
10.08.2019 12:30:00;    49
21.09.2019 15:45:00;    49
23.10.2019 13:30:00;    48
02.11.2019 18:30:00;    48
18.12.2019 11:15:00;    52
26.01.2020 13:30:00;    48
14.02.2020 16:30:00;    46
01.03.2020 10:30:00;    46
15.04.2020 16:30:00;    46
08.05.2020 09:30:00;    45
01.06.2020 10:15:00;    44
01.07.2020 12:15:00;    47
21.08.2020 12:45:00;    46
05.09.2020 18:30:00;    46
03.10.2020 08:30:00;    52
29.11.2020 14:00:00;    48
01.12.2020 12:15:00;    48
20.01.2021 15:30:00;    48
02.02.2021 22:15:00;    52
22.03.2021 13:00:00;    48
08.04.2021 15:15:00;    47
01.05.2021 14:00:00;    48
28.06.2021 13:00:00;    48
13.07.2021 11:00:00;    47
11.08.2021 13:15:00;    47
09.09.2021 19:15:00;    47
21.10.2021 13:15:00;    38
01.11.2021 16:30:00;    41
27.12.2021 14:30:00;    44
