Messstelle:                ;Zwettl an der Rodl (Gemeindeamt)
HZB-Nummer:                ;206664
HD-Nummer:                 ;3855
DBMS-Nummer:               ;4001207
Gewässer:                  ;Diestlbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;27,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   18.04.1984              ;00611,01
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   18.04.1984              ;519320,00 - 370198,00
   27.03.2020              ;519327,11 - 370202,54
Exportzeitreihe:           ;(4001207,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1984 00:15,01.01.2022 00:00]
Werte:
07.01.1984 14:15:00;   119
02.02.1984 09:30:00;   119
24.03.1984 18:00:00;   119
01.04.1984 11:45:00;   120
03.05.1984 08:45:00;   120
10.06.1984 09:00:00;   120
13.07.1984 17:15:00;   119
26.08.1984 09:15:00;   119
01.09.1984 10:00:00;   119
01.10.1984 09:00:00;   120
17.11.1984 09:15:00;   119
30.12.1984 00:00:05;   111
02.01.1985 00:01:00;   109
09.02.1985 00:01:00;   112
14.03.1985 10:15:00;   110
23.04.1985 08:45:00;   114
29.05.1985 06:30:00;   113
20.06.1985 07:45:00;   111
16.07.1985 08:15:00;   111
03.08.1985 20:45:00;   114
30.09.1985 09:45:00;   111
31.10.1985 08:30:00;   109
04.11.1985 08:15:00;   109
10.12.1985 15:15:00;   111
10.01.1986 14:00:00;   111
28.02.1986 00:01:00;   114
10.03.1986 12:30:00;   112
26.04.1986 21:45:00;   117
27.05.1986 15:15:00;   109
27.06.1986 08:30:00;   109
18.07.1986 11:15:00;   107
08.08.1986 09:00:00;   107
22.09.1986 14:45:00;   107
02.10.1986 13:45:00;   105
19.11.1986 11:00:00;   107
12.12.1986 07:00:00;   105
27.01.1987 05:45:00;   112
04.02.1987 00:01:00;   111
22.03.1987 06:00:00;   114
30.04.1987 23:59:55;   118
18.05.1987 19:45:00;   115
15.06.1987 09:30:00;   114
22.07.1987 14:30:00;   112
30.08.1987 15:45:00;   108
22.09.1987 12:30:00;   105
09.10.1987 03:45:00;   104
01.11.1987 11:30:00;   105
01.12.1987 08:45:00;   106
16.01.1988 07:45:00;   111
18.02.1988 08:45:00;   109
14.03.1988 16:30:00;   107
30.04.1988 23:59:55;   117
30.05.1988 17:30:00;   108
21.06.1988 10:15:00;   106
11.07.1988 08:30:00;   103
08.08.1988 12:45:00;   104
24.09.1988 00:45:00;   105
05.10.1988 14:00:00;   104
11.11.1988 09:15:00;   104
03.12.1988 09:00:00;   111
31.01.1989 14:00:00;   111
04.02.1989 09:45:00;   103
31.03.1989 11:00:00;   112
11.04.1989 11:30:00;   109
23.05.1989 14:15:00;   108
15.06.1989 10:00:00;   106
18.07.1989 12:00:00;   105
21.08.1989 12:15:00;   108
02.09.1989 16:15:00;   107
27.10.1989 03:15:00;   108
25.11.1989 18:15:00;   107
01.12.1989 00:00:00;   108
31.01.1990 13:00:00;   109
07.02.1990 05:15:00;   107
26.03.1990 14:45:00;   114
21.04.1990 16:45:00;   109
24.05.1990 20:00:00;   104
01.06.1990 12:15:00;   106
27.07.1990 13:30:00;   104
01.08.1990 19:45:00;    99
01.09.1990 12:15:00;   103
01.10.1990 02:15:00;   105
03.11.1990 16:30:00;   109
21.12.1990 00:00:00;   110
30.01.1991 11:30:00;   111
22.02.1991 11:00:00;   108
01.03.1991 13:15:00;   108
15.04.1991 10:45:00;   106
02.05.1991 13:00:00;   107
12.06.1991 20:45:00;   106
11.07.1991 16:00:00;   106
01.08.1991 00:15:00;   107
05.09.1991 17:00:00;   104
31.10.1991 06:15:00;   101
02.11.1991 00:45:00;   101
04.12.1991 17:30:00;   104
29.01.1992 12:00:00;   108
03.02.1992 06:45:00;   108
12.03.1992 16:00:00;   115
25.04.1992 23:45:00;   112
14.05.1992 13:00:00;   106
01.06.1992 11:30:00;   105
28.07.1992 03:00:00;   102
10.08.1992 17:45:00;    99
28.09.1992 04:15:00;   102
04.10.1992 12:45:00;   103
04.11.1992 09:30:00;   113
25.12.1992 04:45:00;   112
01.01.1993 22:00:00;   109
21.02.1993 04:45:00;   110
08.03.1993 11:30:00;   109
30.04.1993 11:45:00;   111
30.05.1993 21:45:00;   106
11.06.1993 11:00:00;   100
04.07.1993 17:30:00;   106
17.08.1993 11:15:00;   105
24.09.1993 09:00:00;   108
19.10.1993 14:30:00;   104
26.11.1993 23:45:00;   107
01.12.1993 00:00:00;   108
22.01.1994 09:00:00;   115
21.02.1994 09:45:00;   114
10.03.1994 09:15:00;   119
10.04.1994 04:45:00;   116
18.05.1994 11:45:00;   111
30.06.1994 18:45:00;   103
31.07.1994 15:45:00;   101
13.08.1994 13:00:00;   100
15.09.1994 14:00:00;   101
01.10.1994 00:00:00;   104
04.11.1994 13:00:00;   104
02.12.1994 12:15:00;   107
