Messstelle:                ;Wien (Schwedenbrücke)
HZB-Nummer:                ;207233
HD-Nummer:                 ;
DBMS-Nummer:               ;10001033
Gewässer:                  ;Donaukanal
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;0
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1828              ;00156,72
   01.11.1939              ;00152,72
   01.01.1952              ;00152,68
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1828              ;754349,90 - 341658,50
   01.01.2010              ;754349,90 - 341658,50
   01.12.2013              ;753455,00 - 341508,00
Exportzeitreihe:           ;(10001033,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.2009 00:00,01.01.2022 00:00]
Werte:
14.01.2009 08:15:00;   238
19.02.2009 12:00:00;   281
23.03.2009 10:45:00;   223
01.04.2009 00:00:00;   298
05.05.2009 18:45:00;   289
22.06.2009 21:30:00;   314
30.07.2009 02:15:00;   230
22.08.2009 10:45:00;   280
25.09.2009 19:45:00;   277
06.10.2009 07:30:00;   275
30.11.2009 14:30:00;   275
03.12.2009 22:00:00;   285
18.01.2010 12:30:00;   273
15.02.2010 10:30:00;   277
20.03.2010 09:15:00;   278
26.04.2010 12:00:00;   289
01.05.2010 04:30:00;   303
17.06.2010 08:45:00;   296
22.07.2010 08:45:00;   303
14.08.2010 01:30:00;   312
23.09.2010 19:15:00;   286
16.10.2010 13:15:00;   285
04.11.2010 14:00:00;   231
21.12.2010 10:15:00;   238
08.01.2011 20:30:00;   277
01.02.2011 01:15:00;   279
22.03.2011 06:00:00;   234
16.04.2011 00:15:00;   278
03.05.2011 09:30:00;   284
27.06.2011 21:00:00;   284
18.07.2011 13:00:00;   281
30.08.2011 14:45:00;   281
01.09.2011 14:45:00;   282
25.10.2011 16:45:00;   277
07.11.2011 09:30:00;   283
05.12.2011 09:30:00;   285
01.01.2012 10:30:00;   286
11.02.2012 18:45:00;   230
01.03.2012 07:00:00;   240
01.04.2012 00:00:00;   289
19.05.2012 08:45:00;   320
03.06.2012 13:45:00;   331
12.07.2012 18:30:00;   326
16.08.2012 11:30:00;   276
11.09.2012 09:45:00;   286
01.10.2012 09:00:00;   279
28.11.2012 14:15:00;   226
22.12.2012 03:30:00;   278
24.01.2013 12:45:00;   241
27.02.2013 11:30:00;   281
20.03.2013 14:00:00;   233
01.04.2013 13:30:00;   289
26.05.2013 21:30:00;   330
21.06.2013 02:00:00;   243
12.07.2013 02:00:00;   234
08.08.2013 14:00:00;   278
10.09.2013 09:45:00;   281
06.10.2013 18:30:00;   276
27.11.2013 14:00:00;   226
02.12.2013 18:00:00;   226
02.01.2014 08:45:00;   276
04.02.2014 10:45:00;   277
11.03.2014 15:45:00;   229
