Messstelle:                ;Wald
HZB-Nummer:                ;203026
HD-Nummer:                 ;
DBMS-Nummer:               ;5001002
Gewässer:                  ;Salzach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Salzburg AG für Energie, Verkehr und Telekommunikation
orogr.Einzugsgebiet [km²]: ;206,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00863,06
   01.04.1990              ;00858,66
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1901              ;366115,00 - 234430,00
   01.04.1990              ;366715,00 - 234415,00
Exportzeitreihe:           ;(5001002,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
04.01.1976 16:00:00;   107
13.02.1976 10:00:00;   107
21.03.1976 12:00:00;   105
11.04.1976 11:00:00;   115
01.05.1976 10:00:00;   119
06.06.1976 17:00:00;   137
09.07.1976 12:00:00;   153
29.08.1976 09:00:00;   143
25.09.1976 16:00:00;   133
30.10.1976 11:00:00;   120
20.11.1976 12:00:00;   112
28.12.1976 06:00:00;   111
31.01.1977 13:00:00;   107
17.02.1977 09:00:00;   108
01.03.1977 10:00:00;   110
17.04.1977 06:00:00;   114
11.05.1977 10:00:00;   140
05.06.1977 15:00:00;   146
02.07.1977 12:00:00;   160
27.08.1977 17:00:00;   157
30.09.1977 17:00:00;   135
31.10.1977 12:00:00;   124
20.11.1977 05:00:00;   115
21.12.1977 09:00:00;   111
23.01.1978 07:00:00;   108
22.02.1978 22:00:00;   106
18.03.1978 09:00:00;   111
19.04.1978 13:00:00;   118
16.05.1978 17:00:00;   129
29.06.1978 11:00:00;   155
01.07.1978 03:00:00;   171
31.08.1978 23:59:55;   158
05.09.1978 20:00:00;   146
31.10.1978 10:00:00;   137
27.11.1978 16:00:00;   116
26.12.1978 09:00:00;   112
31.01.1979 12:00:00;   115
23.02.1979 03:00:00;   111
09.03.1979 11:00:00;   107
03.04.1979 05:00:00;    95
04.05.1979 05:00:00;   105
20.06.1979 08:00:00;   163
06.07.1979 11:00:00;   159
30.08.1979 15:00:00;   164
30.09.1979 16:00:00;   154
31.10.1979 12:00:00;   138
23.11.1979 08:00:00;   127
31.12.1979 22:00:00;   127
28.01.1980 09:00:00;   119
22.02.1980 08:00:00;   119
05.03.1980 06:00:00;   117
10.04.1980 10:00:00;   122
01.05.1980 15:00:00;   135
03.06.1980 18:00:00;   156
05.07.1980 15:00:00;   168
26.08.1980 17:00:00;   159
30.09.1980 23:59:55;   146
11.10.1980 07:00:00;   136
30.11.1980 14:00:00;   130
29.12.1980 15:00:00;   125
09.01.1981 01:00:00;   117
25.02.1981 16:00:00;   116
04.03.1981 09:00:00;   115
22.04.1981 13:00:00;   141
06.05.1981 15:00:00;   139
23.06.1981 15:00:00;   161
16.07.1981 12:00:00;   175
31.08.1981 13:00:00;   169
08.09.1981 15:00:00;   162
30.10.1981 13:00:00;   139
26.11.1981 12:00:00;   134
25.12.1981 01:00:00;   127
26.01.1982 05:00:00;   125
21.02.1982 11:00:00;   121
23.03.1982 11:00:00;   120
01.04.1982 11:00:00;   131
01.05.1982 12:00:00;   130
16.06.1982 17:00:00;   168
01.07.1982 13:00:00;   179
26.08.1982 13:00:00;   164
25.09.1982 16:00:00;   155
31.10.1982 23:00:00;   140
07.11.1982 12:00:00;   124
05.12.1982 13:00:00;   123
17.01.1983 06:00:00;   120
26.02.1983 13:00:00;   121
04.03.1983 11:00:00;   118
06.04.1983 13:00:00;   123
06.05.1983 14:00:00;   151
19.06.1983 17:00:00;   160
16.07.1983 14:00:00;   177
15.08.1983 13:00:00;   163
30.09.1983 14:00:00;   152
31.10.1983 12:00:00;   135
15.11.1983 12:00:00;   122
15.12.1983 19:00:00;   123
19.01.1984 23:45:00;   119
20.02.1984 13:15:00;   117
16.03.1984 04:00:00;   115
03.04.1984 02:00:00;   120
01.05.1984 11:30:00;   133
10.06.1984 15:00:00;   156
07.07.1984 15:30:00;   160
20.08.1984 14:45:00;   160
28.09.1984 13:30:00;   155
31.10.1984 19:30:00;   135
28.11.1984 03:30:00;   122
05.12.1984 11:15:00;   121
31.01.1985 23:45:00;   122
09.02.1985 00:00:00;   121
19.03.1985 17:15:00;   120
01.04.1985 06:45:00;   121
04.05.1985 12:00:00;   124
19.06.1985 13:15:00;   160
23.07.1985 12:30:00;   172
31.08.1985 16:30:00;   174
30.09.1985 15:00:00;   154
29.10.1985 11:15:00;   132
28.11.1985 08:30:00;   129
27.12.1985 22:45:00;   128
31.01.1986 12:00:00;   122
10.02.1986 17:15:00;   116
01.03.1986 15:30:00;   118
15.04.1986 09:45:00;   132
11.05.1986 10:00:00;   159
08.06.1986 17:30:00;   163
15.07.1986 14:30:00;   166
31.08.1986 23:59:55;   173
29.09.1986 13:30:00;   149
28.10.1986 09:30:00;   135
25.11.1986 08:45:00;   127
28.12.1986 02:00:00;   126
31.01.1987 23:59:55;   123
01.02.1987 06:15:00;   123
21.03.1987 00:00:00;   120
01.04.1987 06:15:00;   127
08.05.1987 16:15:00;   152
23.06.1987 14:15:00;   166
29.07.1987 13:00:00;   185
09.08.1987 13:45:00;   176
30.09.1987 23:15:00;   189
31.10.1987 23:59:55;   179
30.11.1987 13:15:00;   166
09.12.1987 17:00:00;   157
28.01.1988 11:30:00;   157
23.02.1988 03:00:00;   148
10.03.1988 11:00:00;   102
01.04.1988 13:00:00;   108
01.05.1988 10:45:00;   153
03.06.1988 14:45:00;   177
20.07.1988 15:15:00;   195
26.08.1988 14:15:00;   194
30.09.1988 15:00:00;   175
31.10.1988 17:15:00;   141
23.11.1988 20:00:00;   137
08.12.1988 19:00:00;   138
19.01.1989 09:45:00;   131
01.02.1989 07:45:00;   134
24.03.1989 09:30:00;   122
30.04.1989 23:59:55;   124
01.05.1989 02:00:00;   124
13.06.1989 13:45:00;   130
01.07.1989 12:45:00;   153
24.08.1989 06:45:00;   151
27.09.1989 07:45:00;   147
31.10.1989 07:15:00;   141
26.11.1989 12:15:00;   140
27.12.1989 09:30:00;   137
07.01.1990 02:00:00;   144
11.02.1990 02:00:00;   142
04.03.1990 02:00:00;   143
11.04.1990 06:30:00;   148
31.05.1990 06:30:00;   155
01.06.1990 06:15:00;   154
31.07.1990 11:00:00;   163
29.08.1990 03:45:00;   152
23.09.1990 09:00:00;   149
26.10.1990 20:45:00;   144
08.11.1990 08:15:00;   143
04.12.1990 10:45:00;   143
20.01.1991 11:30:00;   139
01.02.1991 09:15:00;   140
01.03.1991 13:00:00;   143
01.04.1991 14:45:00;   145
01.05.1991 01:00:00;   149
06.06.1991 04:00:00;   158
01.07.1991 03:00:00;   165
30.08.1991 21:15:00;   153
19.09.1991 04:00:00;   146
23.10.1991 09:45:00;   139
01.11.1991 10:00:00;   140
14.12.1991 22:00:00;   137
18.01.1992 07:00:00;   139
20.02.1992 07:30:00;   141
01.03.1992 00:00:00;   142
03.04.1992 15:15:00;   146
01.05.1992 02:30:00;   159
29.06.1992 07:45:00;   153
29.07.1992 19:30:00;   154
13.08.1992 06:45:00;   148
28.09.1992 07:15:00;   148
13.10.1992 15:30:00;   143
19.11.1992 03:45:00;   144
28.12.1992 08:15:00;   140
01.01.1993 12:45:00;   141
23.02.1993 05:00:00;   141
10.03.1993 09:00:00;   141
01.04.1993 08:15:00;   144
09.05.1993 11:45:00;   159
15.06.1993 04:30:00;   153
04.07.1993 05:15:00;   152
20.08.1993 23:00:00;   152
23.09.1993 07:30:00;   151
17.10.1993 22:30:00;   146
30.11.1993 11:15:00;   148
28.12.1993 20:45:00;   141
18.01.1994 18:45:00;   141
15.02.1994 01:45:00;   137
05.03.1994 07:00:00;   142
05.04.1994 10:45:00;   143
07.05.1994 13:45:00;   156
07.06.1994 07:45:00;   157
31.07.1994 08:15:00;   150
09.08.1994 01:00:00;   146
25.09.1994 08:00:00;   149
24.10.1994 04:00:00;   144
06.11.1994 18:45:00;   143
26.12.1994 08:15:00;   138
05.01.1995 17:00:00;   139
01.02.1995 09:15:00;   139
10.03.1995 08:00:00;   138
01.04.1995 07:45:00;   145
23.05.1995 08:30:00;   157
04.06.1995 13:30:00;   165
31.07.1995 12:45:00;   165
11.08.1995 01:00:00;   154
30.09.1995 00:15:00;   154
26.10.1995 05:45:00;   145
21.11.1995 12:45:00;   140
14.12.1995 10:45:00;   140
31.01.1996 03:30:00;   136
23.02.1996 23:15:00;   136
08.03.1996 08:00:00;   136
04.04.1996 00:00:00;   140
04.05.1996 15:00:00;   148
17.06.1996 09:15:00;   152
26.07.1996 04:00:00;   152
10.08.1996 03:30:00;   150
30.09.1996 00:45:00;   146
01.10.1996 00:00:00;   150
28.11.1996 10:15:00;   145
27.12.1996 04:15:00;   137
22.01.1997 10:43:20;   141
03.02.1997 09:35:30;   137
30.03.1997 07:46:35;   140
01.04.1997 11:02:55;   139
02.05.1997 08:24:45;   149
02.06.1997 04:00:20;   158
23.07.1997 14:23:40;   165
24.08.1997 02:16:55;   152
28.09.1997 06:54:25;   149
13.10.1997 18:50:30;   144
08.11.1997 00:47:25;   142
06.12.1997 23:31:10;   141
27.01.1998 13:00:00;   138
02.02.1998 10:15:00;   138
12.03.1998 10:30:00;   142
20.04.1998 08:30:00;   146
03.05.1998 13:45:00;   156
18.06.1998 08:00:00;   157
30.07.1998 04:15:00;   156
12.08.1998 04:00:00;   147
30.09.1998 23:59:55;   152
26.10.1998 14:00:00;   146
30.11.1998 14:45:00;   144
24.12.1998 00:30:00;   140
21.01.1999 07:30:00;   137
01.02.1999 00:00:00;   138
01.03.1999 02:15:00;   141
01.04.1999 04:45:00;   147
17.05.1999 04:30:00;   163
21.06.1999 05:15:00;   160
31.07.1999 03:00:00;   161
18.08.1999 09:00:00;   158
20.09.1999 01:45:00;   150
28.10.1999 04:30:00;   147
20.11.1999 23:15:00;   141
21.12.1999 23:45:00;   136
12.01.2000 07:15:00;   136
22.02.2000 00:00:00;   139
06.03.2000 08:00:00;   138
07.04.2000 07:15:00;   147
21.05.2000 06:45:00;   168
27.06.2000 03:45:00;   161
10.07.2000 04:30:00;   158
27.08.2000 06:15:00;   153
28.09.2000 06:30:00;   154
01.10.2000 10:00:00;   152
11.11.2000 07:45:00;   156
31.12.2000 22:00:00;   141
15.01.2001 06:15:00;   138
27.02.2001 05:45:00;   138
28.03.2001 10:00:00;   130
01.04.2001 06:00:00;   144
22.05.2001 05:30:00;   162
03.06.2001 23:00:00;   159
27.07.2001 02:30:00;   161
25.08.2001 00:45:00;   152
28.09.2001 07:30:00;   152
