Messstelle:                ;Götzendorf
HZB-Nummer:                ;215517
HD-Nummer:                 ;no836
DBMS-Nummer:               ;3003174
Gewässer:                  ;Leitha
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1709,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.2015              ;00167,62
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2015              ;768815,00 - 319168,00
Exportzeitreihe:           ;(3003174,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[08.07.2015 12:30,01.01.2022 00:00]
Werte:
17.07.2015 10:30:00;   166
31.08.2015 08:10:00;   165
20.09.2015 08:20:00;   163
01.10.2015 08:15:00;   164
30.11.2015 02:10:00;   163
11.12.2015 04:05:00;   164
23.01.2016 08:05:00;   163
17.02.2016 15:40:00;   166
29.03.2016 10:20:00;   164
26.04.2016 03:05:00;   164
01.05.2016 05:15:00;   165
30.06.2016 20:35:00;   176
11.07.2016 11:10:00;   166
05.08.2016 15:25:00;   186
26.09.2016 17:20:00;   167
03.10.2016 21:30:00;   167
02.11.2016 16:05:00;   174
25.12.2016 11:35:00;   171
24.01.2017 04:50:00;   164
02.02.2017 17:10:00;   165
18.03.2017 16:40:00;   175
17.04.2017 09:55:00;   169
31.05.2017 13:25:00;   168
29.06.2017 21:15:00;   161
09.07.2017 13:30:00;   160
31.08.2017 18:20:00;   161
01.09.2017 12:10:00;   161
23.10.2017 04:55:00;   168
27.11.2017 18:35:00;   169
11.12.2017 19:05:00;   166
18.01.2018 15:20:00;   171
27.02.2018 00:05:00;   167
05.03.2018 23:25:00;   168
30.04.2018 14:00:00;   169
29.05.2018 14:15:00;   170
01.06.2018 15:30:00;   172
31.07.2018 17:15:00;   169
24.08.2018 10:20:00;   166
30.09.2018 21:30:00;   166
08.10.2018 07:40:00;   164
24.11.2018 00:50:00;   165
21.12.2018 03:05:00;   171
31.01.2019 21:30:00;   182
20.02.2019 06:25:00;   172
31.03.2019 09:45:00;   169
21.04.2019 07:25:00;   168
08.05.2019 12:10:00;   181
20.06.2019 12:40:00;   172
26.07.2019 08:35:00;   166
19.08.2019 12:00:00;   166
30.09.2019 14:25:00;   166
29.10.2019 08:55:00;   165
01.11.2019 19:15:00;   166
11.12.2019 17:25:00;   166
30.01.2020 23:00:00;   166
01.02.2020 09:25:00;   166
30.03.2020 19:55:00;   166
08.04.2020 05:45:00;   164
21.05.2020 15:10:00;   164
09.06.2020 20:10:00;   166
31.07.2020 11:25:00;   169
02.08.2020 17:35:00;   168
22.09.2020 11:40:00;   168
10.10.2020 17:50:00;   175
25.11.2020 17:05:00;   173
15.12.2020 16:35:00;   170
12.01.2021 13:10:00;   171
27.02.2021 10:50:00;   173
18.03.2021 12:35:00;   170
21.04.2021 19:30:00;   171
31.05.2021 22:30:00;   169
04.06.2021 09:30:00;   168
08.07.2021 10:00:00;   170
10.08.2021 19:30:00;   170
25.09.2021 10:10:00;   168
03.10.2021 12:45:00;   170
01.11.2021 05:00:00;   170
24.12.2021 14:45:00;   170
