Messstelle:                ;Krössbach
HZB-Nummer:                ;202283
HD-Nummer:                 ;
DBMS-Nummer:               ;7001117
Gewässer:                  ;Ruetz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;127,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   12.07.1990              ;01086,16
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   12.07.1990              ;220885,00 - 216106,00
Exportzeitreihe:           ;(7001117,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1991 00:00,01.01.2022 00:00]
Werte:
06.01.1991 12:00:00;    70
27.02.1991 01:00:00;    68
09.03.1991 18:30:00;    78
17.04.1991 00:45:00;    77
31.05.1991 22:15:00;    96
17.06.1991 18:00:00;   250
08.07.1991 21:30:00;   178
11.08.1991 21:00:00;   162
30.09.1991 16:45:00;   152
12.10.1991 17:30:00;   145
04.11.1991 20:15:00;    93
22.12.1991 17:45:00;    78
04.01.1992 15:15:00;    73
03.02.1992 12:45:00;    72
21.03.1992 20:45:00;    72
29.04.1992 00:30:00;   106
15.05.1992 20:30:00;   118
02.06.1992 22:00:00;   142
29.07.1992 17:45:00;   135
31.08.1992 23:59:55;   138
01.09.1992 01:15:00;   157
05.10.1992 16:00:00;    98
23.11.1992 01:30:00;    78
05.12.1992 04:30:00;    75
12.01.1993 22:15:00;    71
13.02.1993 14:15:00;    71
21.03.1993 15:45:00;    72
27.04.1993 21:45:00;    93
27.05.1993 18:45:00;   118
23.06.1993 21:45:00;   122
19.07.1993 20:30:00;   135
23.08.1993 07:30:00;   127
25.09.1993 08:00:00;   120
14.10.1993 06:30:00;   138
06.11.1993 08:00:00;    85
20.12.1993 16:15:00;    76
11.01.1994 00:00:00;    75
14.02.1994 17:00:00;    71
25.03.1994 21:15:00;    78
30.04.1994 20:45:00;    89
18.05.1994 16:15:00;   116
25.06.1994 20:15:00;   128
21.07.1994 00:00:00;   141
06.08.1994 18:45:00;   134
08.09.1994 19:30:00;   144
01.10.1994 23:15:00;    97
05.11.1994 22:00:00;    79
02.12.1994 16:30:00;    73
02.01.1995 13:45:00;    70
01.02.1995 16:00:00;    70
11.03.1995 13:45:00;    71
23.04.1995 19:45:00;    92
26.05.1995 23:15:00;   130
22.06.1995 20:30:00;   129
03.07.1995 21:30:00;   140
09.08.1995 00:15:00;   124
13.09.1995 14:30:00;   116
01.10.1995 21:45:00;    85
02.11.1995 04:15:00;    76
01.12.1995 14:15:00;    74
15.01.1996 16:00:00;    70
24.02.1996 18:00:00;    69
26.03.1996 18:15:00;    75
30.04.1996 20:45:00;    89
31.05.1996 20:00:00;   109
11.06.1996 21:00:00;   124
08.07.1996 06:15:00;   142
28.08.1996 08:15:00;   138
01.09.1996 20:30:00;    96
21.10.1996 19:45:00;   100
13.11.1996 04:15:00;    88
01.12.1996 00:15:00;    78
12.01.1997 16:45:00;    73
