Messstelle:                ;Amerlügen
HZB-Nummer:                ;200501
HD-Nummer:                 ;
DBMS-Nummer:               ;8001047
Gewässer:                  ;Samina
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;68,91
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1991              ;00639,84
   01.01.1998              ;00639,83
   02.10.2003              ;00603,30
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1991              ;95025,00 - 229223,00
   02.10.2003              ;95540,00 - 229930,00
Exportzeitreihe:           ;(8001047,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1991 00:15,01.01.2022 00:00]
Werte:
02.01.1991 18:30:00;    67
22.02.1991 13:30:00;    48
08.03.1991 20:45:00;    59
06.04.1991 15:00:00;    55
11.05.1991 22:30:00;    89
17.06.1991 15:15:00;    97
27.07.1991 08:30:00;    84
01.08.1991 05:15:00;    56
26.09.1991 16:30:00;    92
01.10.1991 00:00:00;    60
13.11.1991 23:30:00;    51
22.12.1991 18:45:00;    89
09.01.1992 01:15:00;    49
10.02.1992 18:30:00;    55
16.03.1992 05:15:00;    76
28.04.1992 23:45:00;    81
15.05.1992 06:00:00;    69
02.06.1992 15:15:00;    55
11.07.1992 13:15:00;    64
31.08.1992 23:59:55;    66
01.09.1992 02:00:00;    76
25.10.1992 23:00:00;    63
22.11.1992 16:15:00;    74
12.12.1992 13:45:00;    57
14.01.1993 16:30:00;    50
01.02.1993 00:00:00;    36
18.03.1993 07:45:00;    50
27.04.1993 19:00:00;    60
21.05.1993 03:30:00;    62
24.06.1993 09:00:00;    73
11.07.1993 06:15:00;    81
27.08.1993 17:00:00;    79
04.09.1993 10:00:00;    70
09.10.1993 03:15:00;    75
07.11.1993 06:15:00;    50
08.12.1993 05:00:00;    42
26.01.1994 10:00:00;    52
27.02.1994 21:45:00;    48
26.03.1994 12:45:00;    62
01.04.1994 13:15:00;    58
26.05.1994 18:15:00;    68
09.06.1994 11:00:00;    73
07.07.1994 02:00:00;    77
11.08.1994 00:15:00;    67
08.09.1994 23:00:00;    76
03.10.1994 19:00:00;    46
19.11.1994 22:45:00;    58
28.12.1994 16:15:00;    59
26.01.1995 00:30:00;    62
25.02.1995 20:00:00;    54
25.03.1995 19:45:00;    54
25.04.1995 23:45:00;    82
