Messstelle:                ;Plosdorf
HZB-Nummer:                ;215541
HD-Nummer:                 ;no301
DBMS-Nummer:               ;3003186
Gewässer:                  ;Michelbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;98
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   19.10.2016              ;00238,45
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   19.10.2016              ;707385,00 - 338540,00
Exportzeitreihe:           ;(3003186,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[19.10.2016 07:30,01.01.2022 00:00]
Werte:
20.10.2016 11:35:00;   210
06.11.2016 19:20:00;   227
28.12.2016 13:20:00;   222
02.01.2017 13:35:00;   177
21.02.2017 14:30:00;   228
19.03.2017 07:15:00;   208
22.04.2017 21:10:00;   239
09.05.2017 11:10:00;   206
01.06.2017 00:00:00;   177
27.07.2017 11:55:00;   205
07.08.2017 01:40:00;   175
20.09.2017 07:10:00;   263
06.10.2017 04:20:00;   207
21.11.2017 16:25:00;   184
21.12.2017 22:00:00;   227
19.01.2018 11:40:00;   210
16.02.2018 20:50:00;   191
08.03.2018 03:30:00;   224
01.04.2018 04:05:00;   215
15.05.2018 18:30:00;   187
28.06.2018 21:30:00;   270
01.07.2018 00:00:00;   188
26.08.2018 12:20:00;   176
03.09.2018 17:40:00;   210
24.10.2018 20:20:00;   181
26.11.2018 17:55:00;   195
24.12.2018 10:30:00;   281
14.01.2019 06:10:00;   243
22.02.2019 12:15:00;   222
16.03.2019 09:50:00;   312
30.04.2019 15:45:00;   203
11.05.2019 23:50:00;   258
01.06.2019 00:30:00;   197
12.07.2019 23:10:00;   186
08.08.2019 02:05:00;   184
09.09.2019 10:25:00;   180
09.10.2019 22:55:00;   164
13.11.2019 19:25:00;   180
23.12.2019 20:40:00;   176
31.01.2020 18:10:00;   191
03.02.2020 15:00:00;   216
02.03.2020 12:15:00;   183
14.04.2020 11:40:00;   173
23.05.2020 21:15:00;   193
21.06.2020 16:15:00;   317
18.07.2020 12:35:00;   269
22.08.2020 22:35:00;   304
06.09.2020 22:55:00;   289
14.10.2020 00:00:00;   271
02.11.2020 12:05:00;   192
26.12.2020 00:15:00;   186
29.01.2021 16:00:00;   226
01.02.2021 00:25:00;   196
24.03.2021 20:40:00;   206
20.04.2021 20:15:00;   197
13.05.2021 15:45:00;   187
06.06.2021 15:35:00;   188
17.07.2021 10:15:00;   242
01.08.2021 09:40:00;   217
01.09.2021 00:05:00;   185
07.10.2021 11:20:00;   202
02.11.2021 09:40:00;   185
14.12.2021 01:10:00;   207
