Messstelle:                ;Waltersdorf in Oststeiermark
HZB-Nummer:                ;211011
HD-Nummer:                 ;ow4580
DBMS-Nummer:               ;6001052
Gewässer:                  ;Safen
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;343,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00283,16
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1908              ;00000,00 - 00000,00
   01.01.1999              ;725537,60 - 225696,20
   01.01.2018              ;725525,40 - 225722,50
Exportzeitreihe:           ;(6001052,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:15,01.01.2022 00:00]
Werte:
12.01.1976 12:00:00;   170
28.02.1976 12:00:00;   163
02.03.1976 12:00:00;   168
25.04.1976 12:00:00;   208
01.05.1976 00:00:00;   156
01.06.1976 00:00:00;   146
28.07.1976 02:45:00;   170
15.08.1976 00:15:00;   160
11.09.1976 05:30:00;   174
31.10.1976 00:15:00;   212
14.11.1976 15:30:00;   182
02.12.1976 20:45:00;   296
30.01.1977 03:15:00;   232
12.02.1977 13:30:00;   248
29.03.1977 09:00:00;   163
09.04.1977 11:00:00;   194
14.05.1977 18:15:00;   161
30.06.1977 20:00:00;   262
01.07.1977 00:00:00;   233
22.08.1977 16:45:00;   159
01.09.1977 07:15:00;   145
29.10.1977 18:45:00;   140
15.11.1977 11:45:00;   151
28.12.1977 22:15:00;   142
30.01.1978 08:00:00;   156
27.02.1978 23:15:00;   173
01.03.1978 00:30:00;   156
14.04.1978 01:45:00;   158
20.05.1978 05:00:00;   155
25.06.1978 02:45:00;   247
19.07.1978 15:00:00;   243
03.08.1978 02:15:00;   153
04.09.1978 16:15:00;   152
01.10.1978 12:00:00;   156
28.11.1978 23:00:00;   139
21.12.1978 12:00:00;   144
29.01.1979 11:15:00;   200
17.02.1979 05:00:00;   253
29.03.1979 19:45:00;   227
27.04.1979 14:15:00;   218
03.05.1979 05:30:00;   209
30.06.1979 20:30:00;   299
01.07.1979 00:00:00;   280
04.08.1979 05:00:00;   245
24.09.1979 21:00:00;   195
06.10.1979 09:45:00;   143
15.11.1979 21:45:00;   225
25.12.1979 10:15:00;   156
04.01.1980 08:45:00;   149
01.02.1980 18:30:00;   172
24.03.1980 06:45:00;   146
05.04.1980 09:30:00;   144
05.05.1980 17:00:00;   143
27.06.1980 12:15:00;   179
02.07.1980 11:00:00;   173
13.08.1980 00:45:00;   168
10.09.1980 18:00:00;   163
13.10.1980 12:30:00;   374
06.11.1980 20:00:00;   208
09.12.1980 00:00:00;   147
31.01.1981 10:00:00;   139
05.02.1981 06:30:00;   145
04.03.1981 23:15:00;   148
25.04.1981 14:00:00;   148
18.05.1981 00:30:00;   182
18.06.1981 01:30:00;   198
19.07.1981 13:45:00;   179
04.08.1981 02:45:00;   162
29.09.1981 15:30:00;   172
22.10.1981 23:00:00;   227
07.11.1981 16:15:00;   138
22.12.1981 12:15:00;   138
02.01.1982 03:15:00;   195
01.02.1982 00:00:00;   168
19.03.1982 10:45:00;   209
13.04.1982 09:15:00;   138
11.05.1982 13:30:00;   180
27.06.1982 16:15:00;   235
25.07.1982 21:00:00;   231
14.08.1982 19:30:00;   224
08.09.1982 07:15:00;   188
07.10.1982 03:15:00;   377
14.11.1982 10:15:00;   202
18.12.1982 19:30:00;   257
16.01.1983 16:45:00;   191
01.02.1983 01:15:00;   144
29.03.1983 21:30:00;   165
03.04.1983 21:30:00;   147
27.05.1983 14:15:00;   169
27.06.1983 15:45:00;   161
28.07.1983 21:30:00;   163
06.08.1983 16:00:00;   158
04.09.1983 00:00:00;   175
17.10.1983 15:15:00;   151
28.11.1983 04:15:00;   145
20.12.1983 19:30:00;   152
02.01.1984 04:30:00;   137
27.02.1984 23:15:00;   150
06.03.1984 21:45:00;   167
04.04.1984 02:30:00;   221
21.05.1984 08:00:00;   199
29.06.1984 18:15:00;   149
23.07.1984 17:00:00;   139
02.08.1984 01:15:00;   161
24.09.1984 06:00:00;   183
04.10.1984 09:30:00;   208
20.11.1984 11:00:00;   142
05.12.1984 08:45:00;   140
06.01.1985 06:45:00;   139
02.02.1985 18:15:00;   207
22.03.1985 12:30:00;   271
02.04.1985 16:00:00;   157
16.05.1985 18:30:00;   294
30.06.1985 22:00:00;   245
21.07.1985 01:15:00;   214
07.08.1985 06:30:00;   299
02.09.1985 07:30:00;   149
08.10.1985 19:30:00;   140
24.11.1985 16:15:00;   158
30.12.1985 02:45:00;   164
01.01.1986 00:00:00;   137
25.02.1986 17:15:00;   136
25.03.1986 18:45:00;   207
01.04.1986 00:00:00;   167
30.05.1986 06:00:00;   258
19.06.1986 16:45:00;   238
24.07.1986 22:00:00;   161
20.08.1986 03:15:00;   178
10.09.1986 20:00:00;   167
20.10.1986 08:00:00;   133
24.11.1986 07:30:00;   186
27.12.1986 18:15:00;   138
04.01.1987 13:00:00;   134
21.02.1987 02:15:00;   296
29.03.1987 21:15:00;   203
03.04.1987 12:30:00;   165
06.05.1987 15:30:00;   157
04.06.1987 23:45:00;   185
26.07.1987 15:30:00;   203
19.08.1987 02:45:00;   256
06.09.1987 19:30:00;   187
23.10.1987 12:30:00;   145
30.11.1987 20:15:00;   167
