Messstelle:                ;Greimpersdorf
HZB-Nummer:                ;207688
HD-Nummer:                 ;no060
DBMS-Nummer:               ;3001008
Gewässer:                  ;Ybbs
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1116,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00261,00
   01.01.1977              ;00261,73
   01.01.2011              ;00261,89
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1963              ;642756,40 - 331328,00
Exportzeitreihe:           ;(3001008,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
11.01.1976 23:00:00;   211
11.02.1976 11:30:00;   120
02.03.1976 12:00:00;   121
27.04.1976 10:30:00;   181
23.05.1976 12:30:00;   192
03.06.1976 15:00:00;   223
24.07.1976 13:30:00;   200
21.08.1976 22:30:00;   186
19.09.1976 10:00:00;   219
01.10.1976 05:00:00;   131
15.11.1976 21:00:00;   195
10.12.1976 17:30:00;   153
30.01.1977 15:00:00;   163
13.02.1977 06:30:00;   235
03.03.1977 12:30:00;   259
14.04.1977 10:30:00;   242
01.05.1977 03:00:00;   157
27.06.1977 20:30:00;   182
21.07.1977 23:30:00;   144
01.08.1977 15:30:00;   366
10.09.1977 07:00:00;   124
11.10.1977 19:00:00;   161
15.11.1977 17:00:00;   127
25.12.1977 11:30:00;   247
04.01.1978 11:00:00;   124
27.02.1978 04:00:00;   173
31.03.1978 01:00:00;   182
01.04.1978 02:30:00;   163
10.05.1978 11:30:00;   174
01.06.1978 00:00:00;   143
05.07.1978 20:30:00;   226
02.08.1978 12:00:00;   103
29.09.1978 22:30:00;   162
26.10.1978 12:00:00;   257
02.11.1978 12:00:00;   115
10.12.1978 16:30:00;   198
02.01.1979 11:30:00;   112
17.02.1979 21:30:00;   162
12.03.1979 20:00:00;   292
28.04.1979 07:00:00;   212
13.05.1979 06:30:00;   197
19.06.1979 14:30:00;   279
15.07.1979 04:00:00;   254
03.08.1979 23:30:00;   201
25.09.1979 01:00:00;   184
31.10.1979 12:30:00;   105
28.11.1979 01:30:00;   315
01.12.1979 00:00:00;   161
07.01.1980 11:30:00;   113
06.02.1980 02:30:00;   216
30.03.1980 12:00:00;   153
02.04.1980 08:00:00;   215
02.05.1980 01:00:00;   199
27.06.1980 21:00:00;   286
22.07.1980 16:00:00;   286
10.08.1980 01:00:00;   143
02.09.1980 00:30:00;   250
13.10.1980 09:30:00;   221
27.11.1980 09:30:00;   124
24.12.1980 08:00:00;   262
04.01.1981 03:30:00;   229
08.02.1981 08:00:00;   258
12.03.1981 11:00:00;   277
01.04.1981 06:00:00;   165
02.05.1981 06:30:00;   204
24.06.1981 19:00:00;   237
20.07.1981 17:30:00;   319
28.08.1981 18:30:00;   201
17.09.1981 11:00:00;   252
01.10.1981 01:30:00;   176
14.11.1981 09:30:00;   216
05.12.1981 06:00:00;   192
31.01.1982 10:00:00;   340
01.02.1982 00:00:00;   261
19.03.1982 21:00:00;   169
09.04.1982 12:30:00;   159
29.05.1982 15:00:00;   227
27.06.1982 23:30:00;   217
23.07.1982 12:00:00;   164
05.08.1982 18:00:00;   258
24.09.1982 12:30:00;   121
15.10.1982 15:30:00;   151
19.11.1982 15:00:00;   122
28.12.1982 13:00:00;   180
27.01.1983 06:00:00;   259
28.02.1983 06:00:00;   171
01.03.1983 01:00:00;   164
16.04.1983 07:30:00;   173
09.05.1983 19:00:00;   206
20.06.1983 15:30:00;   178
02.07.1983 09:30:00;   130
05.08.1983 19:30:00;   163
12.09.1983 12:30:00;   118
12.10.1983 10:30:00;   139
29.11.1983 21:30:00;   143
24.12.1983 14:30:00;   276
15.01.1984 13:00:00;   143
07.02.1984 19:00:00;   167
30.03.1984 21:30:00;   162
12.04.1984 11:30:00;   179
15.05.1984 09:30:00;   275
29.06.1984 12:00:00;   129
28.07.1984 22:00:00;   253
27.08.1984 09:30:00;   178
24.09.1984 16:00:00;   235
03.10.1984 03:30:00;   196
27.11.1984 16:00:00;   116
12.12.1984 00:30:00;   143
07.01.1985 11:45:00;   109
02.02.1985 03:45:00;   293
28.03.1985 09:45:00;   172
24.04.1985 09:45:00;   180
02.05.1985 16:00:00;   142
09.06.1985 13:30:00;   179
02.07.1985 16:00:00;   222
07.08.1985 05:45:00;   336
09.09.1985 22:00:00;   229
15.10.1985 21:30:00;   161
11.11.1985 15:45:00;   129
16.12.1985 01:00:00;   222
19.01.1986 15:00:00;   274
02.02.1986 05:30:00;   124
24.03.1986 08:15:00;   156
09.04.1986 04:15:00;   174
30.05.1986 08:30:00;   171
05.06.1986 13:45:00;   188
25.07.1986 08:15:00;   103
20.08.1986 07:00:00;   107
11.09.1986 00:45:00;   112
27.10.1986 15:30:00;   165
03.11.1986 08:15:00;   124
29.12.1986 23:15:00;   204
02.01.1987 07:30:00;   221
09.02.1987 17:45:00;   293
02.03.1987 00:45:00;   270
11.04.1987 12:30:00;   222
14.05.1987 03:30:00;   206
22.06.1987 13:15:00;   258
30.07.1987 20:00:00;   218
03.08.1987 10:00:00;   213
27.09.1987 22:15:00;   135
27.10.1987 11:15:00;   107
21.11.1987 14:30:00;   142
18.12.1987 21:00:00;   300
31.01.1988 00:15:00;   122
01.02.1988 01:00:00;   115
22.03.1988 03:30:00;   237
14.04.1988 01:15:00;   256
21.05.1988 10:30:00;   186
06.06.1988 15:30:00;   200
02.07.1988 21:15:00;   116
30.08.1988 00:45:00;   158
16.09.1988 15:30:00;   240
24.10.1988 23:15:00;   207
15.11.1988 08:45:00;   224
11.12.1988 10:45:00;   266
09.01.1989 01:45:00;   234
19.02.1989 22:45:00;   250
14.03.1989 09:45:00;   166
15.04.1989 20:15:00;   191
01.05.1989 23:45:00;   223
18.06.1989 17:15:00;   349
28.07.1989 16:45:00;   282
30.08.1989 09:45:00;   298
05.09.1989 14:45:00;   250
02.10.1989 09:45:00;   157
