Messstelle:                ;Scharnitz (Gießenbach)
HZB-Nummer:                ;202143
HD-Nummer:                 ;
DBMS-Nummer:               ;7001105
Gewässer:                  ;Gießenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;65,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   20.11.1985              ;00965,63
   26.07.2007              ;00965,66
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   20.11.1985              ;219801,90 - 250374,10
Exportzeitreihe:           ;(7001105,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1987 00:00,01.01.2022 00:00]
Werte:
27.01.1987 00:45:00;    21
28.02.1987 12:00:00;    26
02.03.1987 22:15:00;    36
10.04.1987 16:45:00;    44
03.05.1987 04:30:00;    41
04.06.1987 17:15:00;    37
03.07.1987 23:15:00;    38
03.08.1987 06:30:00;    38
27.09.1987 11:00:00;    31
08.10.1987 22:00:00;    28
25.11.1987 03:00:00;    26
21.12.1987 02:00:00;    46
01.01.1988 00:00:00;    27
07.02.1988 16:00:00;    25
25.03.1988 20:30:00;    34
18.04.1988 20:15:00;    47
09.05.1988 18:45:00;    45
13.06.1988 11:00:00;    44
02.07.1988 01:45:00;    41
20.08.1988 22:15:00;    43
02.09.1988 11:45:00;    40
06.10.1988 00:30:00;    30
01.11.1988 00:00:00;    25
05.12.1988 04:45:00;    33
02.01.1989 15:45:00;    27
22.02.1989 15:30:00;    32
18.03.1989 00:00:00;    34
05.04.1989 07:30:00;    40
30.05.1989 21:15:00;    40
23.06.1989 05:30:00;    41
08.07.1989 19:45:00;    50
17.08.1989 18:15:00;    43
12.09.1989 00:15:00;    32
15.10.1989 01:45:00;    30
04.11.1989 12:00:00;    28
19.12.1989 15:00:00;    32
31.01.1990 23:59:55;    24
15.02.1990 15:45:00;   102
01.03.1990 07:00:00;    39
15.04.1990 17:45:00;    31
08.05.1990 04:45:00;    37
21.06.1990 05:00:00;    38
10.07.1990 05:30:00;    50
12.08.1990 16:30:00;    37
24.09.1990 09:00:00;    33
30.10.1990 07:45:00;    29
01.11.1990 07:00:00;    28
01.12.1990 00:00:00;    24
04.01.1991 23:15:00;    23
28.02.1991 23:59:55;    22
26.03.1991 18:30:00;    27
04.04.1991 06:00:00;    29
26.05.1991 23:15:00;    34
17.06.1991 20:30:00;    46
13.07.1991 22:45:00;    46
03.08.1991 09:15:00;    43
01.09.1991 00:15:00;    29
01.10.1991 00:15:00;    25
14.11.1991 15:15:00;    25
22.12.1991 22:15:00;    45
01.01.1992 00:00:00;    25
04.02.1992 00:00:00;    24
23.03.1992 05:00:00;    40
29.04.1992 00:00:00;    52
11.05.1992 15:00:00;    47
03.06.1992 21:00:00;    45
11.07.1992 09:30:00;    36
01.08.1992 18:00:00;    50
