Messstelle:                ;Lochau
HZB-Nummer:                ;200345
HD-Nummer:                 ;
DBMS-Nummer:               ;8001034
Gewässer:                  ;Ruggbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;6,79
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.03.1967              ;00409,47
   01.01.2001              ;00409,45
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.03.1967              ;105761,00 - 266553,00
Exportzeitreihe:           ;(8001034,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[28.02.1967 16:54:15,01.01.2022 00:00]
Werte:
28.02.1967 23:21:15;    31
22.03.1967 18:28:30;    34
24.04.1967 00:11:50;    42
31.05.1967 23:59:55;    53
01.06.1967 00:06:45;    53
14.07.1967 22:16:35;    40
04.08.1967 17:41:45;    61
11.09.1967 01:59:25;    69
30.10.1967 03:25:55;    23
05.11.1967 12:55:30;    29
23.12.1967 19:37:25;    43
05.01.1968 23:05:40;    40
21.02.1968 17:02:20;    32
29.03.1968 23:51:35;    34
26.04.1968 06:34:35;    40
12.05.1968 19:22:35;    39
09.06.1968 02:14:40;    41
21.07.1968 05:59:15;    92
03.08.1968 08:52:10;    99
21.09.1968 17:59:20;    80
02.10.1968 02:30:50;    58
24.11.1968 16:23:50;    30
27.12.1968 10:30:50;    25
23.01.1969 18:02:40;    43
22.02.1969 05:29:20;    36
14.03.1969 20:13:25;    36
16.04.1969 00:37:40;    36
10.05.1969 05:32:30;    42
26.06.1969 09:12:40;    68
10.07.1969 06:39:50;    55
27.08.1969 04:28:40;    84
01.09.1969 00:00:00;    21
25.10.1969 03:21:40;    23
15.11.1969 07:56:00;    34
31.12.1969 14:39:25;    45
12.01.1970 15:40:50;    64
03.02.1970 14:24:40;    60
27.03.1970 09:55:10;    35
20.04.1970 09:12:00;    49
30.05.1970 15:41:35;    45
15.06.1970 19:40:45;    51
30.07.1970 18:21:50;    48
31.08.1970 05:00:35;   108
11.09.1970 20:13:25;    42
03.10.1970 01:37:55;    41
15.11.1970 07:36:55;    43
19.12.1970 05:23:35;    31
09.01.1971 11:13:40;    24
16.02.1971 04:10:30;    27
23.03.1971 00:07:45;    33
27.04.1971 23:52:50;    35
24.05.1971 19:53:55;    28
07.06.1971 16:27:10;    81
13.07.1971 00:12:55;    26
27.08.1971 20:50:25;    40
29.09.1971 10:55:50;    32
14.10.1971 20:34:15;    43
25.11.1971 11:42:20;    30
21.12.1971 07:41:15;    36
01.01.1972 16:36:15;    18
07.02.1972 10:19:20;    15
06.03.1972 03:00:35;    11
02.04.1972 12:12:20;    40
30.05.1972 10:02:20;    42
28.06.1972 09:31:50;    80
29.07.1972 06:03:05;    70
04.08.1972 06:15:35;    79
10.09.1972 20:35:55;    28
23.10.1972 16:06:25;    41
22.11.1972 11:09:40;    53
19.12.1972 01:10:10;    36
30.01.1973 05:08:30;    41
01.02.1973 00:00:00;    37
28.03.1973 23:24:05;    37
28.04.1973 19:32:30;    33
09.05.1973 09:36:05;    41
23.06.1973 23:13:30;    86
26.07.1973 06:30:55;   111
31.08.1973 08:24:25;    61
30.09.1973 03:59:20;    28
07.10.1973 20:36:00;    74
16.11.1973 02:45:35;    43
05.12.1973 08:54:55;    49
19.01.1974 04:26:00;    42
06.02.1974 14:31:10;    30
17.03.1974 05:23:00;    46
30.04.1974 23:59:55;    38
01.05.1974 05:21:25;    48
18.06.1974 10:53:05;    92
18.07.1974 11:32:15;   199
27.08.1974 21:13:10;    48
29.09.1974 01:39:30;    39
20.10.1974 07:30:15;    42
19.11.1974 05:25:55;    40
28.12.1974 15:46:05;    50
30.01.1975 05:46:00;    40
21.02.1975 09:04:25;    26
20.03.1975 11:30:30;    20
12.04.1975 17:46:00;    52
30.05.1975 22:01:55;    36
19.06.1975 06:13:30;    74
01.07.1975 01:16:55;    49
23.08.1975 13:34:30;    92
12.09.1975 19:15:25;    40
