Messstelle:                ;Unterhochsteg
HZB-Nummer:                ;200352
HD-Nummer:                 ;
DBMS-Nummer:               ;8001035
Gewässer:                  ;Leiblach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;102,42
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1950              ;00396,62
   01.01.1976              ;00396,50
   01.01.1996              ;00396,32
   15.06.2012              ;00396,35
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1926              ;105063,00 - 266666,00
Exportzeitreihe:           ;(8001035,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
11.01.1976 21:00:00;   187
28.02.1976 23:00:00;   134
26.03.1976 06:00:00;   136
26.04.1976 21:00:00;   132
31.05.1976 10:00:00;   159
02.06.1976 04:00:00;   292
27.07.1976 03:00:00;   171
01.08.1976 10:00:00;   186
17.09.1976 09:00:00;   217
15.10.1976 15:00:00;   131
08.11.1976 01:00:00;   146
01.12.1976 09:00:00;   176
26.01.1977 15:00:00;   195
10.02.1977 18:00:00;   201
03.03.1977 01:00:00;   173
14.04.1977 01:00:00;   241
01.05.1977 15:00:00;   141
30.06.1977 18:00:00;   152
31.07.1977 16:00:00;   316
01.08.1977 00:00:00;   212
09.09.1977 09:00:00;   175
11.10.1977 00:00:00;   164
15.11.1977 08:00:00;   196
25.12.1977 04:00:00;   184
25.01.1978 05:00:00;   155
27.02.1978 01:00:00;   173
21.03.1978 03:00:00;   252
01.04.1978 00:00:00;   137
24.05.1978 06:00:00;   234
28.06.1978 07:00:00;   180
09.07.1978 12:00:00;   235
08.08.1978 04:00:00;   274
29.09.1978 14:00:00;   200
04.10.1978 12:00:00;   193
01.11.1978 00:00:00;   126
09.12.1978 06:00:00;   184
28.01.1979 15:00:00;   168
03.02.1979 03:00:00;   225
12.03.1979 08:00:00;   250
17.04.1979 04:00:00;   169
12.05.1979 15:00:00;   153
17.06.1979 14:00:00;   241
14.07.1979 13:00:00;   163
27.08.1979 03:00:00;   162
22.09.1979 05:00:00;   229
06.10.1979 07:00:00;   147
27.11.1979 18:00:00;   240
12.12.1979 19:00:00;   161
24.01.1980 22:00:00;   211
05.02.1980 07:00:00;   234
27.03.1980 18:00:00;   168
26.04.1980 20:00:00;   199
04.05.1980 14:00:00;   164
29.06.1980 11:00:00;   219
29.07.1980 23:00:00;   197
08.08.1980 15:00:00;   166
23.09.1980 02:00:00;   224
25.10.1980 08:00:00;   184
19.11.1980 07:00:00;   145
14.12.1980 23:00:00;   203
04.01.1981 10:00:00;   208
07.02.1981 20:00:00;   185
12.03.1981 22:00:00;   211
30.04.1981 19:00:00;   131
27.05.1981 06:00:00;   210
19.06.1981 06:00:00;   131
19.07.1981 05:00:00;   228
09.08.1981 01:00:00;   163
29.09.1981 06:00:00;   283
15.10.1981 09:00:00;   245
01.11.1981 00:00:00;   170
16.12.1981 15:00:00;   227
31.01.1982 15:00:00;   219
01.02.1982 00:00:00;   194
02.03.1982 04:00:00;   158
01.04.1982 23:00:00;   144
07.05.1982 08:00:00;   145
18.06.1982 18:00:00;   189
27.07.1982 11:00:00;   158
31.08.1982 18:00:00;   186
27.09.1982 04:00:00;   252
01.10.1982 05:00:00;   220
18.11.1982 14:00:00;   203
21.12.1982 05:00:00;   210
05.01.1983 22:00:00;   197
27.02.1983 09:00:00;   178
19.03.1983 20:00:00;   171
06.04.1983 15:00:00;   203
26.05.1983 15:00:00;   182
14.06.1983 13:00:00;   231
08.07.1983 10:00:00;   163
04.08.1983 00:00:00;   157
11.09.1983 03:00:00;   201
10.10.1983 03:00:00;   150
27.11.1983 11:00:00;   180
24.12.1983 07:00:00;   193
15.01.1984 03:00:00;   173
06.02.1984 02:30:00;   176
29.03.1984 18:00:00;   161
02.04.1984 18:30:00;   144
31.05.1984 06:00:00;   185
06.06.1984 10:30:00;   172
03.07.1984 14:00:00;   136
11.08.1984 21:00:00;   236
05.09.1984 20:30:00;   241
05.10.1984 08:00:00;   178
26.11.1984 23:30:00;   181
17.12.1984 03:30:00;   211
23.01.1985 21:45:00;   179
01.02.1985 12:30:00;   209
02.03.1985 15:15:00;   167
30.04.1985 16:30:00;   197
02.05.1985 19:15:00;   197
15.06.1985 10:30:00;   195
06.07.1985 21:00:00;   147
25.08.1985 23:15:00;   217
06.09.1985 08:15:00;   165
03.10.1985 08:45:00;   115
10.11.1985 15:30:00;   198
01.12.1985 00:00:00;   169
24.01.1986 03:15:00;   219
01.02.1986 00:00:00;   123
25.03.1986 02:45:00;   198
10.04.1986 07:15:00;   206
30.05.1986 11:00:00;   180
04.06.1986 11:00:00;   232
24.07.1986 17:30:00;   198
23.08.1986 15:00:00;   165
17.09.1986 23:15:00;   123
23.10.1986 08:00:00;   188
23.11.1986 16:45:00;   167
19.12.1986 10:30:00;   189
01.01.1987 20:45:00;   214
28.02.1987 10:15:00;   190
01.03.1987 10:15:00;   208
10.04.1987 10:45:00;   221
21.05.1987 16:00:00;   167
15.06.1987 23:45:00;   213
09.07.1987 06:30:00;   233
03.08.1987 10:45:00;   165
27.09.1987 09:15:00;   185
18.10.1987 04:00:00;   125
20.11.1987 11:00:00;   159
19.12.1987 07:15:00;   205
27.01.1988 19:45:00;   156
10.02.1988 04:45:00;   141
22.03.1988 04:00:00;   233
13.04.1988 19:15:00;   218
10.05.1988 04:45:00;   128
06.06.1988 02:30:00;   186
12.07.1988 11:15:00;   173
20.08.1988 17:30:00;   188
02.09.1988 11:15:00;   177
10.10.1988 11:00:00;   169
30.11.1988 22:00:00;   190
06.12.1988 14:45:00;   218
07.01.1989 15:45:00;   152
22.02.1989 04:00:00;   173
04.03.1989 03:15:00;   175
22.04.1989 06:00:00;   204
15.05.1989 21:00:00;   135
28.06.1989 03:30:00;   172
12.07.1989 02:45:00;   260
01.08.1989 15:30:00;   213
26.09.1989 06:00:00;   135
08.10.1989 11:00:00;   195
04.11.1989 13:30:00;   167
19.12.1989 10:15:00;   184
26.01.1990 06:45:00;   168
14.02.1990 21:15:00;   244
23.03.1990 11:15:00;   162
18.04.1990 17:45:00;   144
25.05.1990 17:00:00;   143
06.06.1990 10:00:00;   184
08.07.1990 13:00:00;   184
26.08.1990 00:15:00;   147
23.09.1990 07:30:00;   197
30.10.1990 04:30:00;   196
15.11.1990 10:30:00;   187
31.12.1990 23:59:55;   187
01.01.1991 02:15:00;   190
26.02.1991 22:30:00;   134
19.03.1991 21:30:00;   172
06.04.1991 03:15:00;   167
12.05.1991 02:00:00;   290
17.06.1991 17:00:00;   292
26.07.1991 14:00:00;   229
02.08.1991 10:45:00;   166
27.09.1991 09:30:00;   181
21.10.1991 06:00:00;   135
14.11.1991 07:30:00;   172
22.12.1991 17:30:00;   275
09.01.1992 23:00:00;   123
05.02.1992 21:30:00;   201
15.03.1992 14:30:00;   194
28.04.1992 22:30:00;   167
01.05.1992 00:00:00;   129
03.06.1992 20:00:00;   216
11.07.1992 11:30:00;   187
31.08.1992 23:59:55;   148
01.09.1992 04:30:00;   178
28.10.1992 22:45:00;   208
22.11.1992 21:15:00;   263
12.12.1992 20:00:00;   164
07.01.1993 22:15:00;   183
01.02.1993 00:00:00;   126
17.03.1993 15:45:00;   159
06.04.1993 12:30:00;   163
16.05.1993 07:30:00;   126
23.06.1993 01:15:00;   206
12.07.1993 14:30:00;   236
10.08.1993 10:15:00;   215
04.09.1993 07:30:00;   207
13.10.1993 02:30:00;   179
07.11.1993 08:15:00;   137
20.12.1993 08:45:00;   198
25.01.1994 17:00:00;   199
25.02.1994 16:15:00;   159
26.03.1994 10:45:00;   212
13.04.1994 06:15:00;   227
25.05.1994 05:45:00;   175
09.06.1994 10:30:00;   212
09.07.1994 08:30:00;   132
25.08.1994 06:00:00;   169
17.09.1994 08:30:00;   211
04.10.1994 13:00:00;   165
20.11.1994 07:15:00;   173
10.12.1994 07:15:00;   216
25.01.1995 14:45:00;   210
25.02.1995 17:00:00;   188
19.03.1995 23:15:00;   166
26.04.1995 01:15:00;   197
13.05.1995 18:00:00;   186
11.06.1995 10:30:00;   236
02.07.1995 04:30:00;   149
28.08.1995 06:00:00;   218
28.09.1995 03:00:00;   194
01.10.1995 00:00:00;   125
17.11.1995 03:45:00;   208
25.12.1995 08:15:00;   225
08.01.1996 20:30:00;   135
19.02.1996 05:45:00;   135
23.03.1996 07:15:00;   202
13.04.1996 19:30:00;   144
28.05.1996 07:00:00;   161
13.06.1996 02:15:00;   218
10.07.1996 23:30:00;   234
28.08.1996 12:45:00;   154
14.09.1996 11:45:00;   187
21.10.1996 16:15:00;   179
