Messstelle:                ;Achleiten
HZB-Nummer:                ;207019
HD-Nummer:                 ;
DBMS-Nummer:               ;10001019
Gewässer:                  ;Donau
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;76653,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1947              ;00288,04
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1947              ;462610,00 - 382750,00
   05.05.2006              ;462596,98 - 382676,00
   01.01.2010              ;462596,98 - 382676,00
Exportzeitreihe:           ;(10001019,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
12.01.1976 16:00:00;   372
05.02.1976 12:00:00;   290
31.03.1976 18:00:00;   282
08.04.1976 00:00:00;   296
24.05.1976 12:00:00;   338
03.06.1976 16:00:00;   506
29.07.1976 16:00:00;   374
22.08.1976 06:00:00;   359
04.09.1976 12:00:00;   344
01.10.1976 06:00:00;   322
15.11.1976 22:00:00;   296
12.12.1976 22:00:00;   292
29.01.1977 12:00:00;   334
11.02.1977 12:00:00;   463
05.03.1977 12:00:00;   392
30.04.1977 12:00:00;   409
05.05.1977 12:00:00;   429
27.06.1977 12:00:00;   421
21.07.1977 12:00:00;   387
02.08.1977 12:00:00;   598
10.09.1977 12:00:00;   392
11.10.1977 12:00:00;   276
18.11.1977 12:00:00;   306
25.12.1977 12:00:00;   348
01.01.1978 00:00:00;   308
28.02.1978 12:00:00;   323
24.03.1978 12:00:00;   401
01.04.1978 12:00:00;   389
10.05.1978 12:00:00;   449
09.06.1978 12:00:00;   449
05.07.1978 12:00:00;   525
08.08.1978 12:00:00;   450
08.09.1978 12:00:00;   446
26.10.1978 12:00:00;   403
01.11.1978 00:00:00;   321
31.12.1978 12:00:00;   320
02.01.1979 12:00:00;   316
17.02.1979 12:00:00;   384
13.03.1979 12:00:00;   522
01.04.1979 12:00:00;   413
22.05.1979 12:00:00;   453
18.06.1979 12:00:00;   618
10.07.1979 12:00:00;   476
05.08.1979 12:00:00;   422
25.09.1979 12:00:00;   468
01.10.1979 00:00:00;   328
28.11.1979 12:00:00;   499
01.12.1979 00:00:00;   405
09.01.1980 12:00:00;   302
06.02.1980 12:00:00;   470
30.03.1980 12:00:00;   333
28.04.1980 12:00:00;   456
01.05.1980 00:00:00;   436
15.06.1980 12:00:00;   455
22.07.1980 12:00:00;   572
01.08.1980 00:00:00;   418
01.09.1980 12:00:00;   372
18.10.1980 12:00:00;   392
01.11.1980 00:00:00;   310
17.12.1980 12:00:00;   352
04.01.1981 12:00:00;   362
11.02.1981 12:00:00;   385
13.03.1981 12:00:00;   550
01.04.1981 12:00:00;   445
27.05.1981 12:00:00;   389
05.06.1981 12:00:00;   387
21.07.1981 12:00:00;   703
01.08.1981 00:00:00;   401
30.09.1981 12:00:00;   364
15.10.1981 12:00:00;   488
01.11.1981 12:00:00;   460
12.12.1981 12:00:00;   453
31.01.1982 12:00:00;   546
01.02.1982 00:00:00;   514
31.03.1982 12:00:00;   358
09.04.1982 12:00:00;   397
24.05.1982 12:00:00;   481
28.06.1982 12:00:00;   493
01.07.1982 00:00:00;   442
01.08.1982 12:00:00;   414
01.09.1982 12:00:00;   359
15.10.1982 12:00:00;   308
19.11.1982 12:00:00;   283
