Messstelle:                ;Peigarten
HZB-Nummer:                ;209734
HD-Nummer:                 ;no607
DBMS-Nummer:               ;3001189
Gewässer:                  ;Taxenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;154,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1992              ;00457,97
   01.01.2005              ;00457,59
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1992              ;672584,00 - 417375,00
Exportzeitreihe:           ;(3001189,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1992 00:15,01.01.2022 00:00]
Werte:
06.01.1992 17:30:00;   198
06.02.1992 16:15:00;   173
22.03.1992 02:00:00;   177
07.04.1992 00:15:00;   155
01.05.1992 12:00:00;   136
13.06.1992 00:00:00;   190
03.07.1992 02:30:00;   144
22.08.1992 06:45:00;   131
29.09.1992 23:15:00;   144
22.10.1992 18:00:00;   137
23.11.1992 21:15:00;   161
12.12.1992 18:00:00;   151
07.01.1993 17:15:00;   199
08.02.1993 14:30:00;   144
17.03.1993 19:15:00;   258
19.04.1993 20:45:00;   157
04.05.1993 12:00:00;   143
12.06.1993 04:00:00;   168
16.07.1993 20:15:00;   170
31.08.1993 11:00:00;   132
29.09.1993 13:00:00;   139
23.10.1993 03:15:00;   146
16.11.1993 12:45:00;   138
21.12.1993 10:30:00;   250
26.01.1994 14:45:00;   168
03.02.1994 10:00:00;   150
26.03.1994 12:15:00;   158
12.04.1994 18:00:00;   176
03.05.1994 19:45:00;   143
05.06.1994 23:15:00;   148
19.07.1994 18:30:00;   173
11.08.1994 04:45:00;   134
27.09.1994 07:30:00;   130
06.10.1994 12:15:00;   137
05.11.1994 12:00:00;   131
29.12.1994 01:15:00;   146
26.01.1995 13:00:00;   183
26.02.1995 14:15:00;   147
20.03.1995 12:45:00;   151
02.04.1995 12:00:00;   162
14.05.1995 08:15:00;   167
06.06.1995 12:00:00;   151
12.07.1995 18:15:00;   143
29.08.1995 19:00:00;   136
15.09.1995 15:30:00;   180
01.10.1995 06:00:00;   168
03.11.1995 19:30:00;   180
24.12.1995 22:00:00;   222
01.01.1996 00:00:00;   154
07.02.1996 20:30:00;   148
25.03.1996 19:15:00;   204
06.04.1996 17:15:00;   288
14.05.1996 08:15:00;   229
11.06.1996 14:15:00;   169
09.07.1996 08:30:00;   179
03.08.1996 20:00:00;   148
23.09.1996 12:45:00;   143
22.10.1996 09:30:00;   154
14.11.1996 20:30:00;   162
20.12.1996 14:15:00;   151
16.01.1997 00:25:45;   143
12.02.1997 20:24:50;   200
17.03.1997 17:09:20;   220
06.04.1997 07:20:40;   221
09.05.1997 02:42:15;   167
02.06.1997 11:10:15;   138
06.07.1997 06:50:15;   172
09.08.1997 15:44:00;   148
06.09.1997 15:55:25;   158
12.10.1997 15:45:45;   148
30.11.1997 23:59:55;   158
18.12.1997 12:21:50;   158
08.01.1998 16:49:50;   146
12.02.1998 18:18:30;   152
18.03.1998 03:12:15;   158
13.04.1998 06:03:30;   143
30.05.1998 23:47:10;   136
26.06.1998 19:08:40;   153
28.07.1998 09:09:55;   155
01.08.1998 08:33:25;   141
16.09.1998 06:33:25;   139
28.10.1998 13:47:50;   173
11.11.1998 03:12:45;   168
15.12.1998 13:47:35;   168
08.01.1999 15:49:40;   147
20.02.1999 23:49:35;   199
02.03.1999 13:18:00;   193
13.04.1999 12:38:35;   147
21.05.1999 08:33:15;   148
17.06.1999 12:32:30;   141
09.07.1999 19:47:15;   152
28.08.1999 23:56:20;   142
27.09.1999 05:20:05;   144
23.10.1999 13:39:35;   135
08.11.1999 20:32:35;   142
17.12.1999 07:43:10;   132
31.01.2000 18:22:35;   247
01.02.2000 00:00:00;   237
10.03.2000 06:53:40;   199
01.04.2000 00:00:00;   175
22.05.2000 11:20:35;   135
04.06.2000 19:28:45;   144
25.07.2000 06:05:50;   136
07.08.2000 01:32:00;   251
04.09.2000 14:05:40;   142
21.10.2000 13:44:20;   146
06.11.2000 20:02:55;   131
28.12.2000 22:07:10;   135
09.01.2001 05:50:25;   140
06.02.2001 21:51:05;   159
23.03.2001 11:15:05;   181
21.04.2001 19:44:35;   175
17.05.2001 19:08:50;   173
14.06.2001 19:43:35;   144
21.07.2001 09:23:35;   201
04.08.2001 01:18:35;   145
18.09.2001 23:23:35;   161
01.10.2001 12:43:35;   140
30.11.2001 18:32:05;   148
07.12.2001 03:42:05;   163
28.01.2002 21:22:05;   211
26.02.2002 00:53:00;   181
22.03.2002 17:03:00;   256
01.04.2002 00:00:00;   151
06.05.2002 06:23:00;   133
10.06.2002 00:35:15;   177
17.07.2002 21:30:15;   217
11.08.2002 21:55:15;   385
01.09.2002 12:20:15;   204
12.10.2002 23:04:40;   262
11.11.2002 20:13:40;   232
30.12.2002 10:37:15;   295
03.01.2003 02:02:30;   261
01.02.2003 00:00:00;   166
12.03.2003 21:36:55;   171
03.04.2003 22:51:20;   155
09.05.2003 23:01:20;   177
15.06.2003 02:06:20;   179
17.07.2003 21:24:50;   183
19.08.2003 02:44:50;   149
30.09.2003 00:49:50;   145
05.10.2003 16:06:05;   171
03.11.2003 01:11:40;   151
15.12.2003 12:11:05;   156
14.01.2004 07:33:35;   199
03.02.2004 09:02:10;   267
24.03.2004 22:17:10;   186
11.04.2004 16:32:10;   186
01.05.2004 13:15:35;   149
03.06.2004 23:30:35;   196
09.07.2004 11:29:05;   148
17.08.2004 20:17:40;   145
24.09.2004 02:56:45;   161
08.10.2004 21:28:45;   146
23.11.2004 17:48:45;   170
01.12.2004 17:23:50;   138
21.01.2005 11:41:00;   170
13.02.2005 06:03:10;   249
18.03.2005 20:03:10;   262
20.04.2005 19:20:05;   160
24.05.2005 01:03:00;   152
26.06.2005 17:28:00;   133
10.07.2005 13:13:00;   164
22.08.2005 15:31:15;   163
29.09.2005 10:11:40;   152
01.10.2005 00:00:00;   140
04.11.2005 21:15:35;   132
16.12.2005 20:05:35;   138
22.01.2006 02:25:35;   135
19.02.2006 22:31:40;   148
29.03.2006 18:51:40;   313
01.04.2006 00:51:40;   278
28.05.2006 11:35:10;   202
29.06.2006 23:00:00;   484
01.07.2006 00:00:00;   296
08.08.2006 00:34:40;   189
01.09.2006 00:00:00;   135
29.10.2006 20:33:10;   139
05.11.2006 21:03:10;   148
08.12.2006 02:33:10;   130
19.01.2007 20:08:10;   155
03.02.2007 12:55:20;   160
24.03.2007 18:10:25;   208
01.04.2007 00:00:00;   143
06.05.2007 09:33:40;   138
12.06.2007 20:48:40;   129
21.07.2007 08:16:55;   122
10.08.2007 04:11:55;   142
07.09.2007 04:11:55;   174
24.10.2007 05:02:35;   135
11.11.2007 21:32:35;   187
13.12.2007 08:19:10;   150
27.01.2008 11:39:35;   198
01.02.2008 00:00:00;   155
02.03.2008 23:47:30;   184
07.04.2008 20:54:25;   135
06.05.2008 16:28:20;   127
11.06.2008 16:41:20;   123
25.07.2008 21:52:45;   145
16.08.2008 08:30:50;   138
16.09.2008 08:59:55;   131
04.10.2008 01:56:20;   132
21.11.2008 19:15:00;   151
21.12.2008 02:35:00;   143
25.01.2009 00:55:00;   128
28.02.2009 19:35:00;   187
05.03.2009 20:55:00;   231
01.04.2009 00:10:00;   158
30.05.2009 19:20:00;   121
27.06.2009 01:05:00;   232
08.07.2009 01:05:00;   241
22.08.2009 18:44:10;   153
04.09.2009 16:49:10;   114
17.10.2009 10:31:45;   120
25.11.2009 00:55:00;   136
31.12.2009 23:50:00;   156
01.01.2010 01:35:00;   158
28.02.2010 23:50:00;   161
21.03.2010 19:25:00;   258
05.04.2010 03:30:00;   193
14.05.2010 10:20:00;   171
02.06.2010 19:50:00;   186
15.07.2010 21:40:00;   222
07.08.2010 15:55:00;   215
29.09.2010 07:45:00;   167
01.10.2010 00:00:00;   150
22.11.2010 09:25:00;   142
24.12.2010 23:00:00;   166
14.01.2011 03:35:00;   222
05.02.2011 19:55:00;   156
18.03.2011 20:40:00;   195
04.04.2011 16:00:00;   147
21.05.2011 19:15:00;   149
16.06.2011 17:15:00;   148
11.07.2011 02:30:00;   140
27.08.2011 23:25:00;   133
06.09.2011 03:30:00;   166
17.10.2011 22:00:00;   144
03.11.2011 10:15:00;   132
25.12.2011 07:55:00;   132
20.01.2012 04:00:00;   197
24.02.2012 19:45:00;   204
01.03.2012 00:00:00;   170
16.04.2012 21:05:00;   146
03.05.2012 22:20:00;   151
20.06.2012 20:00:00;   203
29.07.2012 02:02:05;   143
07.08.2012 01:43:00;   165
13.09.2012 08:55:00;   147
07.10.2012 16:33:25;   135
05.11.2012 18:23:10;   139
24.12.2012 00:50:00;   189
31.01.2013 01:45:00;   271
05.02.2013 17:05:00;   206
07.03.2013 20:55:00;   164
08.04.2013 19:55:00;   159
03.05.2013 08:25:45;   287
25.06.2013 08:52:55;   222
07.07.2013 02:00:30;   231
26.08.2013 01:15:00;   141
17.09.2013 01:25:00;   137
16.10.2013 02:55:00;   139
