Messstelle:                ;St. Ulrich am Pillersee (Seepegel)
HZB-Nummer:                ;202267
HD-Nummer:                 ;
DBMS-Nummer:               ;7001115
Gewässer:                  ;Pillersee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;49,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.03.1990              ;00835,22
   09.07.2002              ;00835,19
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1991              ;392514,00 - 266646,00
Exportzeitreihe:           ;(7001115,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1991 02:00,01.01.2022 00:00]
Werte:
17.01.1991 08:00:00;    30
26.02.1991 08:00:00;    32
01.03.1991 00:00:00;    32
01.04.1991 00:00:00;    32
23.05.1991 08:00:00;    42
18.06.1991 08:00:00;    56
28.07.1991 08:00:00;    84
03.08.1991 08:00:00;   137
01.09.1991 00:00:00;    44
01.10.1991 00:00:00;    36
01.11.1991 00:00:00;    32
22.12.1991 08:00:00;   118
01.01.1992 00:00:00;    52
01.02.1992 00:00:00;    28
31.03.1992 08:00:00;    40
30.04.1992 08:00:00;    72
01.05.1992 02:00:00;    74
03.06.1992 08:00:00;    54
12.07.1992 08:00:00;    46
04.08.1992 08:00:00;    44
05.09.1992 08:00:00;    48
01.10.1992 00:00:00;    38
23.11.1992 08:00:00;   108
09.12.1992 08:00:00;    42
07.01.1993 08:00:00;    38
04.02.1993 08:00:00;    36
23.03.1993 08:00:00;    48
28.04.1993 08:00:00;    54
01.05.1993 00:00:00;    52
27.06.1993 08:00:00;    52
29.07.1993 08:00:00;    74
01.08.1993 02:00:00;    72
05.09.1993 08:00:00;    54
01.10.1993 00:00:00;    42
01.11.1993 00:00:00;    38
05.12.1993 08:00:00;    32
11.01.1994 08:00:00;    32
23.02.1994 08:00:00;    24
13.03.1994 08:00:00;    68
29.04.1994 08:00:00;    90
01.05.1994 02:00:00;    92
09.06.1994 08:00:00;    92
07.07.1994 08:00:00;    60
26.08.1994 08:00:00;    64
01.09.1994 00:00:00;    56
01.10.1994 00:00:00;    52
21.11.1994 08:00:00;    74
11.12.1994 08:00:00;    56
01.01.1995 00:00:00;    54
10.02.1995 08:00:00;    56
26.03.1995 08:00:00;    70
25.04.1995 08:00:00;    90
01.05.1995 00:00:00;    76
26.06.1995 08:00:00;   139
01.07.1995 00:00:00;    72
30.08.1995 08:00:00;    92
01.09.1995 00:00:00;    82
01.10.1995 00:00:00;    52
14.11.1995 08:00:00;    46
01.12.1995 00:00:00;    42
06.01.1996 08:00:00;    40
01.02.1996 00:00:00;    36
26.03.1996 08:00:00;    38
28.04.1996 08:00:00;    42
29.05.1996 08:00:00;    72
01.06.1996 00:00:00;    64
11.07.1996 08:00:00;    92
25.08.1996 08:00:00;    58
25.09.1996 08:00:00;    82
22.10.1996 08:00:00;    96
02.11.1996 08:00:00;    72
01.12.1996 00:00:00;    60
01.01.1997 00:00:00;    52
01.02.1997 00:00:00;    50
20.03.1997 08:00:00;    58
19.04.1997 08:00:00;    68
19.05.1997 08:00:00;    76
20.06.1997 08:00:00;    74
08.07.1997 08:00:00;   108
01.08.1997 00:00:00;    72
01.09.1997 00:00:00;    58
02.10.1997 08:00:00;    58
01.11.1997 02:00:00;    54
18.12.1997 08:00:00;    56
01.01.1998 00:00:00;    52
01.02.1998 00:00:00;    50
31.03.1998 23:59:55;    61
02.04.1998 07:00:00;    68
03.05.1998 07:00:00;    60
13.06.1998 07:00:00;    66
10.07.1998 07:00:00;    74
14.08.1998 07:00:00;    62
18.09.1998 07:00:00;    82
14.10.1998 07:00:00;    62
11.11.1998 07:00:00;    76
01.12.1998 00:00:00;    54
01.01.1999 00:00:00;    52
21.02.1999 07:00:00;    54
27.03.1999 07:00:00;    64
30.04.1999 23:59:55;    81
22.05.1999 08:00:00;    94
01.06.1999 00:00:00;    72
24.07.1999 08:00:00;    74
19.08.1999 08:00:00;    64
02.09.1999 08:00:00;    72
07.10.1999 08:00:00;    54
08.11.1999 08:00:00;    54
03.12.1999 08:00:00;    50
31.01.2000 08:00:00;    50
20.02.2000 08:00:00;    54
10.03.2000 08:00:00;    88
23.04.2000 20:00:00;    98
01.05.2000 00:00:00;    83
01.06.2000 00:00:00;    64
12.07.2000 08:00:00;    64
07.08.2000 08:00:00;    82
01.09.2000 08:00:00;    66
08.10.2000 08:00:00;    62
01.11.2000 00:00:00;    54
01.12.2000 00:00:00;    52
01.01.2001 00:00:00;    48
01.02.2001 00:00:00;    48
24.03.2001 08:00:00;    72
26.04.2001 08:00:00;    70
01.05.2001 08:00:00;    70
19.06.2001 11:00:00;   108
21.07.2001 08:00:00;    88
11.08.2001 08:00:00;    66
06.09.2001 08:00:00;    98
01.10.2001 00:00:00;    60
01.11.2001 00:00:00;    56
07.12.2001 08:00:00;    58
28.01.2002 08:00:00;    68
20.02.2002 08:00:00;    56
22.03.2002 08:00:00;   104
24.04.2002 08:00:00;    78
19.05.2002 08:00:00;    72
08.06.2002 08:00:00;    70
13.07.2002 08:00:00;    64
12.08.2002 08:00:00;   126
02.09.2002 08:00:00;    72
18.10.2002 08:00:00;    66
05.11.2002 08:00:00;    68
23.12.2002 08:00:00;    66
01.01.2003 00:00:00;    62
01.02.2003 00:00:00;    54
30.03.2003 07:00:00;    54
29.04.2003 07:00:00;    58
21.05.2003 07:00:00;    62
12.06.2003 07:00:00;    60
02.07.2003 07:00:00;    58
01.08.2003 07:00:00;    56
12.09.2003 16:00:00;    88
10.10.2003 07:00:00;    70
01.11.2003 00:00:00;    56
01.12.2003 00:00:00;    52
01.01.2004 00:00:00;    50
01.02.2004 00:00:00;    48
22.03.2004 08:00:00;    60
05.04.2004 08:00:00;    66
02.05.2004 08:00:00;    70
04.06.2004 08:00:00;    88
25.07.2004 08:00:00;    74
15.08.2004 08:00:00;    78
24.09.2004 08:00:00;    80
01.10.2004 00:00:00;    64
01.11.2004 00:00:00;    56
01.12.2004 00:00:00;    53
06.01.2005 08:00:00;    51
01.02.2005 00:00:00;    48
31.03.2005 08:00:00;    70
26.04.2005 08:00:00;    80
04.05.2005 08:00:00;    79
01.06.2005 08:00:00;    73
11.07.2005 16:00:00;   133
16.08.2005 08:00:00;    98
02.09.2005 08:00:00;    70
01.10.2005 00:00:00;    60
01.11.2005 00:00:00;    55
01.12.2005 00:00:00;    51
01.01.2006 00:00:00;    50
01.02.2006 00:00:00;    48
31.03.2006 23:59:55;    61
29.04.2006 08:00:00;    87
01.05.2006 00:00:00;    85
04.06.2006 08:00:00;    78
22.07.2006 08:00:00;    74
07.08.2006 08:00:00;   132
01.09.2006 08:00:00;    79
07.10.2006 08:00:00;    60
15.11.2006 08:00:00;    73
01.12.2006 00:00:00;    58
20.01.2007 08:00:00;    64
01.02.2007 08:00:00;    56
23.03.2007 08:00:00;    58
22.04.2007 08:00:00;    58
09.05.2007 08:00:00;    71
26.06.2007 08:00:00;    62
10.07.2007 08:00:00;    78
30.08.2007 08:00:00;    67
08.09.2007 08:00:00;   104
01.10.2007 00:00:00;    64
08.11.2007 08:00:00;    63
03.12.2007 08:00:00;    61
23.01.2008 08:00:00;    57
29.02.2008 08:00:00;    56
15.03.2008 08:00:00;    69
22.04.2008 08:00:00;    79
01.05.2008 08:00:00;    75
07.06.2008 08:00:00;    69
23.07.2008 08:00:00;    85
09.08.2008 08:00:00;    75
12.09.2008 09:00:00;    59
03.10.2008 09:00:00;    56
01.11.2008 00:00:00;    55
21.12.2008 22:30:00;    60
02.01.2009 18:30:00;    55
17.02.2009 17:00:00;    52
25.03.2009 01:15:00;    53
17.04.2009 04:30:00;    85
14.05.2009 05:45:00;    81
24.06.2009 13:00:00;   105
19.07.2009 02:30:00;    90
04.08.2009 14:45:00;    91
05.09.2009 05:45:00;    81
24.10.2009 14:15:00;    65
05.11.2009 00:15:00;    61
25.12.2009 17:15:00;    58
02.01.2010 08:45:00;    55
03.02.2010 16:15:00;    52
27.03.2010 05:00:00;    59
26.04.2010 10:15:00;    60
31.05.2010 23:59:55;    74
03.06.2010 00:30:00;   104
25.07.2010 07:30:00;    90
31.08.2010 22:30:00;    89
01.09.2010 00:00:00;    89
01.10.2010 18:15:00;    63
02.11.2010 14:45:00;    58
10.12.2010 08:15:00;    55
14.01.2011 12:15:00;    89
01.02.2011 00:00:00;    57
18.03.2011 15:00:00;    57
12.04.2011 23:00:00;    60
28.05.2011 02:15:00;    69
19.06.2011 03:30:00;    68
21.07.2011 11:45:00;    91
09.08.2011 04:00:00;    72
19.09.2011 13:45:00;    61
10.10.2011 20:15:00;    95
01.11.2011 14:15:00;    59
08.12.2011 00:45:00;    55
20.01.2012 10:45:00;    55
16.02.2012 00:30:00;    53
31.03.2012 23:45:00;    81
29.04.2012 00:15:00;    83
01.05.2012 00:15:00;    82
13.06.2012 10:15:00;    83
22.07.2012 13:00:00;    72
05.08.2012 00:45:00;    87
01.09.2012 00:00:00;    79
10.10.2012 02:00:00;    66
05.11.2012 08:15:00;    61
28.12.2012 16:30:00;    57
05.01.2013 09:15:00;    73
04.02.2013 15:30:00;    61
10.03.2013 08:30:00;    63
18.04.2013 23:15:00;    81
31.05.2013 23:59:55;    81
03.06.2013 09:30:00;   102
04.07.2013 00:00:00;    75
28.08.2013 13:45:00;    92
19.09.2013 09:15:00;    83
01.10.2013 00:00:00;    66
07.11.2013 03:00:00;    71
06.12.2013 19:30:00;    61
05.01.2014 17:15:00;    56
08.02.2014 02:00:00;    55
23.03.2014 15:15:00;    56
15.04.2014 01:45:00;    59
28.05.2014 08:15:00;    81
01.06.2014 00:00:00;    66
31.07.2014 10:00:00;   118
01.08.2014 00:00:00;   105
02.09.2014 00:30:00;    93
23.10.2014 11:00:00;    70
05.11.2014 17:15:00;    67
01.12.2014 17:00:00;    60
10.01.2015 09:15:00;    92
02.02.2015 11:15:00;    58
30.03.2015 19:45:00;    65
18.04.2015 05:30:00;    73
24.05.2015 01:00:00;    80
09.06.2015 00:15:00;    79
25.07.2015 20:30:00;    65
02.08.2015 16:45:00;    64
05.09.2015 20:00:00;    63
08.10.2015 04:30:00;    70
21.11.2015 00:45:00;    54
02.12.2015 06:45:00;    56
31.01.2016 23:59:55;    52
01.02.2016 12:30:00;   100
02.03.2016 20:45:00;    59
09.04.2016 16:00:00;    65
14.05.2016 13:45:00;    72
20.06.2016 13:15:00;    89
14.07.2016 19:00:00;   100
05.08.2016 22:15:00;    87
20.09.2016 06:00:00;    75
02.10.2016 15:30:00;    62
06.11.2016 15:30:00;    58
01.12.2016 02:45:00;    56
05.01.2017 05:30:00;    53
22.02.2017 20:15:00;    60
19.03.2017 12:15:00;    96
04.04.2017 00:45:00;    67
09.05.2017 00:00:00;    81
01.06.2017 21:15:00;    66
26.07.2017 21:45:00;    94
06.08.2017 21:30:00;    84
03.09.2017 15:45:00;    92
29.10.2017 20:00:00;    86
12.11.2017 22:00:00;    70
01.12.2017 00:00:00;    65
17.01.2018 23:30:00;    66
01.02.2018 13:15:00;    61
31.03.2018 23:59:55;    61
22.04.2018 22:15:00;    75
15.05.2018 11:30:00;    74
28.06.2018 22:00:00;    79
06.07.2018 23:45:00;   118
26.08.2018 08:15:00;    73
14.09.2018 14:15:00;    69
25.10.2018 02:15:00;    62
02.11.2018 19:15:00;    56
24.12.2018 12:45:00;    77
02.01.2019 16:30:00;    59
28.02.2019 23:59:55;    57
31.03.2019 23:59:55;    72
26.04.2019 21:30:00;    87
22.05.2019 14:45:00;    97
03.06.2019 02:45:00;    86
29.07.2019 08:51:00;   132
03.08.2019 22:15:00;    76
02.09.2019 16:45:00;    65
05.10.2019 20:00:00;    68
17.11.2019 20:45:00;    87
26.12.2019 02:30:00;    62
04.01.2020 15:15:00;    58
03.02.2020 14:00:00;    85
22.03.2020 15:15:00;    67
01.04.2020 00:00:00;    64
01.05.2020 00:00:00;    63
16.06.2020 03:30:00;    87
03.07.2020 06:45:00;    72
04.08.2020 10:57:30;   121
01.09.2020 13:30:00;    67
30.10.2020 10:30:00;    69
04.11.2020 02:15:00;    65
06.12.2020 20:30:00;    57
14.01.2021 08:00:00;    53
17.02.2021 11:30:00;    54
31.03.2021 23:59:55;    56
08.04.2021 02:45:00;    61
23.05.2021 14:45:00;    69
06.06.2021 00:00:00;    67
18.07.2021 05:42:45;   122
30.08.2021 17:15:00;    89
01.09.2021 00:00:00;    81
06.10.2021 10:45:00;    63
02.11.2021 01:15:00;    61
30.12.2021 22:00:00;    77
01.01.2022 00:00:00;    65
