Messstelle:                ;Ebelsberg
HZB-Nummer:                ;205682
HD-Nummer:                 ;6970
DBMS-Nummer:               ;4001111
Gewässer:                  ;Traun
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Linzer Elektrizitäts-, Fernwärme- und Verkehrsbetriebe-AG.
orogr.Einzugsgebiet [km²]: ;3985
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1957              ;00250,85
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;523740,00 - 345975,00
   25.03.2020              ;523657,00 - 346006,00
   26.03.2020              ;523655,19 - 346007,70
Exportzeitreihe:           ;(4001111,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
12.01.1976 16:00:00;   500
01.02.1976 00:00:00;   220
03.03.1976 08:00:00;   240
27.04.1976 08:00:00;   330
24.05.1976 08:00:00;   380
03.06.1976 08:00:00;   550
24.07.1976 08:00:00;   400
22.08.1976 08:00:00;   430
06.09.1976 08:00:00;   415
02.10.1976 08:00:00;   330
16.11.1976 08:00:00;   330
11.12.1976 08:00:00;   290
28.01.1977 08:00:00;   305
09.02.1977 08:00:00;   485
05.03.1977 08:00:00;   465
14.04.1977 08:00:00;   470
02.05.1977 08:00:00;   440
28.06.1977 08:00:00;   410
01.07.1977 02:00:00;   355
01.08.1977 18:00:00;   626
05.09.1977 08:00:00;   370
11.10.1977 08:00:00;   300
16.11.1977 08:00:00;   285
25.12.1977 08:00:00;   490
02.01.1978 08:00:00;   290
28.02.1978 08:00:00;   138
31.03.1978 08:00:00;   320
01.04.1978 00:00:00;   320
22.05.1978 08:00:00;   335
05.06.1978 08:00:00;   270
10.07.1978 08:00:00;   365
12.08.1978 08:00:00;   190
09.09.1978 08:00:00;   340
27.10.1978 08:00:00;   315
01.11.1978 00:00:00;   130
11.12.1978 08:00:00;   148
12.01.1979 00:00:00;   204
15.02.1979 12:30:00;   237
13.03.1979 15:00:00;   478
15.04.1979 22:30:00;   343
13.05.1979 02:00:00;   340
19.06.1979 16:30:00;   503
10.07.1979 13:00:00;   381
25.08.1979 17:30:00;   362
25.09.1979 05:30:00;   285
13.10.1979 05:30:00;   209
28.11.1979 04:30:00;   511
01.12.1979 08:00:00;   341
31.01.1980 13:00:00;   158
05.02.1980 19:30:00;   346
07.03.1980 13:30:00;   242
02.04.1980 08:00:00;   345
03.05.1980 11:30:00;   342
27.06.1980 15:30:00;   471
04.07.1980 08:00:00;   475
18.08.1980 08:00:00;   275
02.09.1980 08:00:00;   427
13.10.1980 08:00:00;   245
29.11.1980 08:00:00;   132
24.12.1980 08:00:00;   280
04.01.1981 08:00:00;   318
08.02.1981 19:00:00;   387
13.03.1981 16:00:00;   475
01.04.1981 00:30:00;   326
23.05.1981 09:00:00;   352
25.06.1981 21:00:00;   277
21.07.1981 03:30:00;   567
23.08.1981 22:00:00;   364
18.09.1981 08:00:00;   270
16.10.1981 17:30:00;   377
02.11.1981 05:00:00;   328
05.12.1981 07:30:00;   332
31.01.1982 15:30:00;   533
01.02.1982 00:00:00;   488
31.03.1982 14:00:00;   264
08.04.1982 12:00:00;   304
29.05.1982 14:00:00;   410
27.06.1982 22:30:00;   416
27.07.1982 09:00:00;   417
01.08.1982 09:00:00;   323
01.09.1982 20:30:00;   248
01.10.1982 04:00:00;   182
19.11.1982 14:30:00;   193
28.12.1982 18:00:00;   218
06.01.1983 00:30:00;   457
01.02.1983 17:00:00;   270
20.03.1983 09:45:00;   268
20.04.1983 00:30:00;   289
09.05.1983 17:45:00;   342
28.06.1983 09:30:00;   426
02.07.1983 12:00:00;   265
06.08.1983 16:15:00;   338
14.09.1983 22:15:00;   162
12.10.1983 08:30:00;   313
29.11.1983 17:15:00;   263
24.12.1983 16:00:00;   457
15.01.1984 08:30:00;   182
07.02.1984 15:30:00;   262
30.03.1984 07:30:00;   215
12.04.1984 17:00:00;   266
08.05.1984 06:15:00;   296
26.06.1984 10:15:00;   290
29.07.1984 22:15:00;   427
13.08.1984 07:00:00;   410
18.09.1984 06:30:00;   381
04.10.1984 18:30:00;   270
28.11.1984 00:45:00;   150
21.12.1984 16:30:00;   183
06.01.1985 07:30:00;   148
03.02.1985 01:30:00;   389
28.03.1985 21:15:00;   177
24.04.1985 13:30:00;   206
02.05.1985 18:15:00;   299
23.06.1985 17:30:00;   479
21.07.1985 08:15:00;   435
07.08.1985 03:00:00;   610
06.09.1985 13:30:00;   399
04.10.1985 04:00:00;   171
15.11.1985 03:15:00;   154
19.12.1985 13:00:00;   344
19.01.1986 13:30:00;   499
03.02.1986 15:45:00;   142
24.03.1986 09:30:00;   262
08.04.1986 14:30:00;   264
30.05.1986 06:30:00;   302
05.06.1986 19:15:00;   268
14.07.1986 08:00:00;   180
06.08.1986 08:00:00;   145
20.09.1986 08:00:00;   200
22.10.1986 15:00:00;   146
27.11.1986 15:15:00;   135
29.12.1986 21:45:00;   291
02.01.1987 05:30:00;   398
28.02.1987 17:45:00;   452
03.03.1987 01:45:00;   485
11.04.1987 08:30:00;   332
20.05.1987 14:30:00;   433
22.06.1987 15:30:00;   394
10.07.1987 02:00:00;   361
03.08.1987 10:30:00;   432
06.09.1987 17:15:00;   350
05.10.1987 06:45:00;   146
21.11.1987 00:00:00;   189
19.12.1987 14:00:00;   511
15.01.1988 11:15:00;   155
19.02.1988 20:00:00;   132
22.03.1988 04:45:00;   439
14.04.1988 01:15:00;   514
21.05.1988 07:00:00;   315
06.06.1988 11:15:00;   461
16.07.1988 05:00:00;   233
30.08.1988 11:30:00;   239
16.09.1988 16:15:00;   435
30.10.1988 05:00:00;   320
16.11.1988 17:00:00;   341
11.12.1988 09:00:00;   524
09.01.1989 01:15:00;   353
21.02.1989 21:30:00;   291
14.03.1989 12:15:00;   270
03.04.1989 04:45:00;   272
15.05.1989 13:30:00;   290
18.06.1989 22:45:00;   370
03.07.1989 19:00:00;   287
03.08.1989 18:15:00;   316
16.09.1989 12:30:00;   362
09.10.1989 15:15:00;   247
01.11.1989 08:45:00;   216
21.12.1989 02:00:00;   194
27.01.1990 23:00:00;   175
16.02.1990 01:15:00;   450
01.03.1990 14:15:00;   264
26.04.1990 02:30:00;   202
26.05.1990 03:15:00;   187
11.06.1990 16:15:00;   350
09.07.1990 23:45:00;   468
08.08.1990 09:30:00;   147
24.09.1990 19:15:00;   334
08.10.1990 20:15:00;   207
20.11.1990 04:00:00;   338
23.12.1990 23:30:00;   146
03.01.1991 15:30:00;   187
25.02.1991 08:30:00;   125
20.03.1991 18:00:00;   168
03.04.1991 15:15:00;   154
18.05.1991 12:45:00;   356
28.06.1991 03:45:00;   417
28.07.1991 18:15:00;   485
03.08.1991 09:00:00;   644
02.09.1991 13:30:00;   204
04.10.1991 08:30:00;   130
17.11.1991 01:30:00;   135
23.12.1991 10:45:00;   566
10.01.1992 02:30:00;   157
14.02.1992 15:15:00;   176
22.03.1992 16:45:00;   410
28.04.1992 21:00:00;   315
01.05.1992 00:00:00;   277
14.06.1992 01:00:00;   390
13.07.1992 16:30:00;   152
17.08.1992 06:30:00;   146
05.09.1992 20:15:00;   215
29.10.1992 22:15:00;   161
23.11.1992 17:45:00;   507
01.12.1992 00:00:00;   322
09.01.1993 06:15:00;   333
03.02.1993 16:45:00;   124
18.03.1993 02:30:00;   373
19.04.1993 19:30:00;   312
12.05.1993 11:30:00;   253
28.06.1993 13:15:00;   361
29.07.1993 12:30:00;   467
01.08.1993 00:00:00;   270
01.09.1993 11:00:00;   256
24.10.1993 10:30:00;   315
01.11.1993 15:45:00;   120
20.12.1993 18:30:00;   323
26.01.1994 17:00:00;   282
04.02.1994 12:30:00;   121
26.03.1994 18:45:00;   378
14.04.1994 03:00:00;   500
20.05.1994 03:15:00;   381
06.06.1994 00:30:00;   314
29.07.1994 08:15:00;   127
20.08.1994 12:15:00;   270
01.09.1994 13:45:00;   157
04.10.1994 13:15:00;   121
20.11.1994 14:15:00;   367
29.12.1994 01:30:00;   342
26.01.1995 07:45:00;   313
18.02.1995 21:00:00;   151
26.03.1995 16:45:00;   247
02.04.1995 09:30:00;   366
14.05.1995 09:15:00;   353
26.06.1995 10:45:00;   451
01.07.1995 14:30:00;   246
30.08.1995 13:00:00;   425
02.09.1995 01:15:00;   460
02.10.1995 11:45:00;   175
18.11.1995 09:00:00;   262
25.12.1995 08:00:00;   281
15.01.1996 12:30:00;   128
18.02.1996 08:30:00;   112
27.03.1996 16:15:00;   226
11.04.1996 13:45:00;   268
15.05.1996 01:45:00;   475
02.06.1996 11:45:00;   412
12.07.1996 16:00:00;   375
04.08.1996 21:15:00;   329
14.09.1996 23:15:00;   544
22.10.1996 03:45:00;   583
02.11.1996 03:30:00;   287
18.12.1996 14:15:00;   193
15.01.1997 12:17:15;   116
15.02.1997 19:26:00;   205
17.03.1997 23:39:15;   380
06.04.1997 11:54:35;   371
22.05.1997 11:44:30;   336
16.06.1997 14:18:50;   195
06.07.1997 12:16:55;   581
02.08.1997 00:39:40;   327
02.09.1997 12:01:05;   209
02.10.1997 06:43:05;   346
30.11.1997 21:40:35;   181
12.12.1997 11:50:15;   318
29.01.1998 14:56:05;   117
20.02.1998 23:58:35;   115
17.03.1998 19:12:00;   458
06.04.1998 12:42:15;   263
13.05.1998 09:44:05;   257
13.06.1998 16:38:20;   306
10.07.1998 16:50:15;   323
23.08.1998 18:45:30;   202
06.09.1998 03:05:00;   374
30.10.1998 06:39:45;   327
11.11.1998 02:50:15;   440
15.12.1998 13:29:15;   378
08.01.1999 19:45:45;   256
22.02.1999 11:48:50;   435
02.03.1999 23:57:00;   399
13.04.1999 15:38:25;   266
21.05.1999 14:58:30;   369
22.06.1999 18:17:10;   238
23.07.1999 06:31:20;   335
30.08.1999 16:36:00;   270
03.09.1999 06:26:05;   290
12.10.1999 11:52:50;   170
18.11.1999 15:36:50;   102
19.12.1999 17:23:40;   121
31.01.2000 18:45:35;   350
09.02.2000 11:14:10;   356
17.03.2000 23:04:35;   401
30.04.2000 16:53:05;   295
13.05.2000 03:45:35;   327
07.06.2000 05:44:30;   265
12.07.2000 19:15:20;   234
07.08.2000 17:47:25;   307
22.09.2000 10:15:10;   236
03.10.2000 19:56:00;   314
07.11.2000 03:40:55;   124
19.12.2000 19:54:15;   171
04.01.2001 20:55:55;   203
04.02.2001 21:41:00;   199
24.03.2001 13:21:30;   370
12.04.2001 14:26:05;   288
06.05.2001 08:46:55;   260
19.06.2001 08:49:30;   408
20.07.2001 23:08:40;   342
01.08.2001 00:00:00;   187
09.09.2001 10:15:00;   565
15.10.2001 09:15:00;   268
27.11.2001 01:00:00;   191
07.12.2001 03:30:00;   518
28.01.2002 11:00:00;   477
26.02.2002 02:15:00;   322
22.03.2002 09:00:00;   600
27.04.2002 13:00:00;   317
03.05.2002 23:30:00;   258
07.06.2002 22:15:00;   513
17.07.2002 23:45:00;   286
12.08.2002 20:45:00;   745
27.09.2002 21:00:00;   421
13.10.2002 12:45:00;   357
12.11.2002 01:30:00;   426
23.12.2002 15:45:00;   395
03.01.2003 02:45:00;   334
01.02.2003 00:00:00;   163
13.03.2003 15:35:00;   211
29.04.2003 13:45:00;   268
22.05.2003 18:00:00;   256
03.06.2003 15:45:00;   166
02.07.2003 11:30:00;   202
01.08.2003 22:45:00;   251
14.09.2003 09:30:00;   351
10.10.2003 07:45:00;   397
18.11.2003 11:00:00;   241
15.12.2003 08:00:00;   138
14.01.2004 08:45:00;   380
03.02.2004 07:45:00;   350
20.03.2004 01:45:00;   286
24.04.2004 15:15:00;   258
16.05.2004 16:15:00;   344
04.06.2004 10:15:00;   493
25.07.2004 13:45:00;   331
27.08.2004 13:30:00;   336
24.09.2004 15:45:00;   381
09.10.2004 19:00:00;   243
24.11.2004 03:00:00;   319
17.12.2004 23:00:00;   198
21.01.2005 19:30:00;   295
13.02.2005 08:51:25;   510
20.03.2005 02:15:00;   512
26.04.2005 15:15:00;   478
