Messstelle:                ;Mörbisch am See (Zoll)
HZB-Nummer:                ;210120
HD-Nummer:                 ;
DBMS-Nummer:               ;1001012
Gewässer:                  ;Neusiedler See
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1230
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1956              ;00114,01
   01.01.1973              ;00113,95
   01.07.1992              ;00114,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1956              ;777450,00 - 290400,00
   05.10.2018              ;777445,61 - 290396,42
Exportzeitreihe:           ;(1001012,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
28.01.1976 17:00:00;   175
02.02.1976 22:00:00;   169
05.03.1976 00:00:00;   174
09.04.1976 16:00:00;   175
04.05.1976 13:00:00;   165
03.06.1976 12:00:00;   164
06.07.1976 00:00:00;   156
21.08.1976 18:00:00;   143
20.09.1976 13:00:00;   141
31.10.1976 17:00:00;   141
25.11.1976 13:00:00;   151
25.12.1976 14:00:00;   155
31.01.1977 07:00:00;   157
28.02.1977 12:00:00;   179
05.03.1977 01:00:00;   180
16.04.1977 17:00:00;   176
21.05.1977 20:00:00;   174
01.06.1977 07:00:00;   165
05.07.1977 17:00:00;   168
01.08.1977 16:00:00;   156
16.09.1977 06:00:00;   153
01.10.1977 21:00:00;   150
26.11.1977 13:00:00;   158
02.12.1977 23:00:00;   147
01.01.1978 04:00:00;   154
07.02.1978 12:00:00;   151
21.03.1978 15:00:00;   163
16.04.1978 11:00:00;   163
26.05.1978 14:00:00;   165
13.06.1978 01:00:00;   162
13.07.1978 15:00:00;   150
11.08.1978 15:00:00;   142
12.09.1978 02:00:00;   134
26.10.1978 11:00:00;   131
28.11.1978 23:00:00;   132
01.12.1978 01:00:00;   127
01.01.1979 18:00:00;   164
28.02.1979 23:59:55;   138
23.03.1979 21:00:00;   152
18.04.1979 17:00:00;   168
13.05.1979 15:00:00;   165
17.06.1979 14:00:00;   152
05.07.1979 10:00:00;   156
13.08.1979 14:00:00;   147
15.09.1979 07:00:00;   146
23.10.1979 10:00:00;   140
11.11.1979 12:00:00;   151
12.12.1979 12:00:00;   163
01.01.1980 08:00:00;   160
28.02.1980 17:00:00;   172
10.03.1980 11:00:00;   175
05.04.1980 03:00:00;   169
18.05.1980 05:00:00;   172
03.06.1980 22:00:00;   163
09.07.1980 23:00:00;   163
13.08.1980 17:00:00;   161
02.09.1980 12:00:00;   156
26.10.1980 14:00:00;   166
30.11.1980 21:00:00;   174
01.12.1980 02:00:00;   174
05.01.1981 17:30:00;   176
14.02.1981 10:00:00;   176
12.03.1981 07:30:00;   174
16.04.1981 14:30:00;   180
01.05.1981 22:00:00;   168
13.06.1981 10:00:00;   168
04.07.1981 13:00:00;   162
03.08.1981 08:00:00;   152
29.09.1981 16:00:00;   152
16.10.1981 12:00:00;   160
24.11.1981 15:30:00;   156
12.12.1981 18:00:00;   161
12.01.1982 22:00:00;   158
