Messstelle:                ;Au
HZB-Nummer:                ;200253
HD-Nummer:                 ;
DBMS-Nummer:               ;8001025
Gewässer:                  ;Bregenzerach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;147,07
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00772,90
   01.01.1989              ;00772,92
   01.01.2000              ;00772,92
   01.01.2006              ;00773,66
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1928              ;122715,54 - 243448,47
   01.01.2006              ;122815,71 - 243266,46
Exportzeitreihe:           ;(8001025,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
12.01.1976 05:00:00;    43
29.02.1976 20:00:00;    31
31.03.1976 19:30:00;    53
06.04.1976 20:00:00;    65
10.05.1976 20:00:00;    92
02.06.1976 05:00:00;   150
27.07.1976 00:30:00;    90
01.08.1976 08:00:00;    79
03.09.1976 04:30:00;    81
05.10.1976 05:00:00;    54
11.11.1976 17:30:00;    29
02.12.1976 07:00:00;    27
26.01.1977 23:00:00;    33
06.02.1977 03:00:00;    59
04.03.1977 21:30:00;    84
24.04.1977 06:00:00;    87
04.05.1977 18:00:00;   106
27.06.1977 08:00:00;   101
31.07.1977 15:30:00;   163
01.08.1977 00:00:00;   121
09.09.1977 07:30:00;    84
10.10.1977 22:30:00;    53
15.11.1977 06:00:00;    92
24.12.1977 23:00:00;    99
01.01.1978 00:00:00;    30
24.02.1978 08:30:00;    99
21.03.1978 05:30:00;    61
30.04.1978 20:30:00;    67
23.05.1978 01:30:00;    99
10.06.1978 02:30:00;   114
04.07.1978 23:00:00;   106
08.08.1978 02:30:00;   144
08.09.1978 05:00:00;   112
26.10.1978 23:00:00;    96
01.11.1978 00:00:00;    32
09.12.1978 01:00:00;    83
01.01.1979 02:00:00;    33
10.02.1979 15:00:00;    47
12.03.1979 05:00:00;    88
17.04.1979 01:30:00;    62
12.05.1979 13:00:00;   138
07.06.1979 08:00:00;   103
10.07.1979 07:00:00;    91
09.08.1979 03:30:00;    83
21.09.1979 21:00:00;    74
06.10.1979 00:00:00;    52
27.11.1979 19:00:00;   114
11.12.1979 12:00:00;    69
31.01.1980 23:59:55;    25
05.02.1980 11:30:00;    77
28.03.1980 20:30:00;    64
01.04.1980 18:00:00;    90
13.05.1980 19:00:00;    95
04.06.1980 09:30:00;   147
20.07.1980 22:00:00;   137
31.08.1980 23:59:55;   113
01.09.1980 06:00:00;   133
17.10.1980 15:30:00;   105
15.11.1980 19:30:00;    58
14.12.1980 22:00:00;    37
04.01.1981 04:30:00;    34
08.02.1981 08:00:00;    28
25.03.1981 17:00:00;   103
01.04.1981 00:00:00;    83
10.05.1981 19:00:00;    80
10.06.1981 04:30:00;    90
21.07.1981 08:00:00;   133
23.08.1981 11:00:00;    90
23.09.1981 07:30:00;   111
11.10.1981 11:00:00;   144
01.11.1981 00:00:00;    74
01.12.1981 03:00:00;    34
06.01.1982 10:00:00;    49
01.02.1982 01:00:00;    27
31.03.1982 22:30:00;    41
08.04.1982 23:30:00;    68
24.05.1982 01:00:00;   126
17.06.1982 02:00:00;   142
04.07.1982 09:30:00;    93
05.08.1982 22:30:00;    96
27.09.1982 03:00:00;    94
01.10.1982 02:00:00;    80
19.11.1982 20:00:00;    29
16.12.1982 14:00:00;    63
05.01.1983 20:30:00;    81
01.02.1983 19:30:00;    40
20.03.1983 00:30:00;    57
21.04.1983 19:00:00;    94
16.05.1983 17:00:00;    89
14.06.1983 09:30:00;   132
