Messstelle:                ;Wörth an der Lafnitz
HZB-Nummer:                ;211003
HD-Nummer:                 ;ow4550
DBMS-Nummer:               ;6001051
Gewässer:                  ;Lafnitz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;439,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00299,36
   01.01.1978              ;00299,26
   01.01.2007              ;00299,68
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1954              ;00000,00 - 00000,00
   01.01.1978              ;731491,90 - 230094,50
   01.01.2018              ;731361,80 - 230188,60
Exportzeitreihe:           ;(6001051,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
12.01.1976 14:00:00;   315
29.02.1976 04:30:00;   254
02.03.1976 04:30:00;   275
25.04.1976 03:30:00;   335
21.05.1976 02:30:00;   264
03.06.1976 00:30:00;   213
21.07.1976 03:30:00;   216
01.08.1976 05:30:00;   257
11.09.1976 07:30:00;   246
31.10.1976 07:00:00;   247
14.11.1976 20:30:00;   207
03.12.1976 09:30:00;   325
30.01.1977 07:30:00;   264
12.02.1977 19:30:00;   297
04.03.1977 12:00:00;   258
09.04.1977 10:30:00;   226
14.05.1977 21:00:00;   242
22.06.1977 11:30:00;   299
01.07.1977 02:00:00;   250
13.08.1977 21:00:00;   217
16.09.1977 09:00:00;   210
03.10.1977 10:00:00;   187
22.11.1977 03:30:00;   182
02.12.1977 18:00:00;   175
06.01.1978 09:30:00;    49
27.02.1978 09:30:00;   105
01.03.1978 04:30:00;    70
14.04.1978 10:00:00;    52
20.05.1978 05:00:00;   113
25.06.1978 07:30:00;   218
06.07.1978 00:00:00;   152
03.08.1978 00:00:00;    99
16.09.1978 06:00:00;    62
01.10.1978 12:00:00;    60
07.11.1978 09:30:00;    42
01.12.1978 08:30:00;    35
29.01.1979 03:00:00;    44
18.02.1979 14:00:00;    55
30.03.1979 23:00:00;   125
06.04.1979 14:00:00;   152
03.05.1979 10:30:00;   209
26.06.1979 21:30:00;   332
04.07.1979 04:00:00;   227
04.08.1979 06:30:00;   248
24.09.1979 23:30:00;   156
15.10.1979 13:30:00;    56
16.11.1979 06:00:00;   210
16.12.1979 07:00:00;    84
29.01.1980 05:30:00;    68
12.02.1980 05:00:00;    55
30.03.1980 10:00:00;    59
03.04.1980 05:00:00;    56
07.05.1980 09:30:00;    64
24.06.1980 12:30:00;    85
30.07.1980 02:30:00;    93
13.08.1980 08:30:00;    63
08.09.1980 21:30:00;    57
13.10.1980 12:30:00;   291
06.11.1980 23:30:00;   141
01.12.1980 06:00:00;    71
01.01.1981 06:30:00;    58
27.02.1981 07:00:00;    69
10.03.1981 08:00:00;    73
