Messstelle:                ;Bruck (Fuscher Ache)
HZB-Nummer:                ;203141
HD-Nummer:                 ;
DBMS-Nummer:               ;5001014
Gewässer:                  ;Fuscher Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Verbund Hydro Power AG
orogr.Einzugsgebiet [km²]: ;161
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00758,61
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;411700,00 - 237170,00
Exportzeitreihe:           ;(5001014,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
23.01.1976 13:00:00;   155
06.02.1976 13:30:00;   153
01.03.1976 12:30:00;   154
07.04.1976 20:00:00;   158
11.05.1976 06:30:00;   183
11.06.1976 23:30:00;   200
01.07.1976 23:30:00;   191
21.08.1976 19:00:00;   186
14.09.1976 09:30:00;   188
13.10.1976 15:30:00;   174
02.11.1976 19:30:00;   159
28.12.1976 13:00:00;   160
04.01.1977 19:00:00;   156
21.02.1977 12:30:00;   160
04.03.1977 16:30:00;   167
30.04.1977 21:00:00;   199
20.05.1977 19:00:00;   212
13.06.1977 18:00:00;   204
31.07.1977 21:30:00;   226
01.08.1977 00:00:00;   215
09.09.1977 15:00:00;   176
11.10.1977 02:30:00;   163
03.11.1977 20:00:00;   155
25.12.1977 09:30:00;   161
07.01.1978 13:30:00;   155
08.02.1978 14:00:00;   156
30.03.1978 18:30:00;   155
30.04.1978 22:30:00;   168
22.05.1978 15:30:00;   223
04.06.1978 17:00:00;   216
19.07.1978 04:00:00;   228
08.08.1978 07:00:00;   216
08.09.1978 12:30:00;   201
03.10.1978 21:30:00;   207
01.11.1978 23:30:00;   157
09.12.1978 21:00:00;   149
02.01.1979 21:30:00;   160
28.02.1979 21:00:00;   154
15.03.1979 18:30:00;   164
17.04.1979 13:30:00;   154
31.05.1979 22:00:00;   209
26.06.1979 02:00:00;   241
10.07.1979 08:30:00;   235
10.08.1979 07:00:00;   218
22.09.1979 15:00:00;   190
15.10.1979 10:30:00;   205
27.11.1979 21:00:00;   170
22.12.1979 18:00:00;   168
28.01.1980 11:30:00;   159
12.02.1980 12:00:00;   156
29.03.1980 23:30:00;   154
19.04.1980 13:00:00;   162
31.05.1980 23:00:00;   183
14.06.1980 20:30:00;   223
09.07.1980 21:30:00;   233
16.08.1980 21:00:00;   273
23.09.1980 17:00:00;   205
17.10.1980 19:00:00;   223
01.11.1980 10:00:00;   180
09.12.1980 07:00:00;   176
09.01.1981 14:00:00;   178
05.02.1981 12:00:00;   175
31.03.1981 18:00:00;   206
01.04.1981 00:00:00;   200
27.05.1981 05:30:00;   248
10.06.1981 10:30:00;   216
18.07.1981 23:00:00;   270
01.08.1981 13:30:00;   227
13.09.1981 20:30:00;   221
11.10.1981 16:30:00;   192
02.11.1981 15:30:00;   191
10.12.1981 12:30:00;   176
13.01.1982 17:30:00;   177
01.02.1982 13:00:00;   180
01.03.1982 19:30:00;   172
06.04.1982 20:30:00;   182
24.05.1982 06:30:00;   218
27.06.1982 10:00:00;   251
31.07.1982 16:00:00;   232
13.08.1982 21:30:00;   246
07.09.1982 16:30:00;   216
