Messstelle:                ;Leiben, Br 2039.001
HZB-Nummer:                ;322784
HD-Nummer:                 ;
DBMS-Nummer:               ;3002673
PorenGW-Gebiet:            ;188 Pöchlarner Feld
Grundwasserkörper:         ;Gruppe Böhmische Masse [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;29.08.1994
 Geländehöhe:              ;211,52
 Messpunkthöhe:            ;211,52
 Sohllage:                 ;204,52
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2009               ;15 17 06                 ;48 13 44
  25.06.1976               ;15 17 10                 ;48 13 44
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1983 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.06.1982 00:00:00   ;   207,21 ;     
01.07.1982 00:00:00   ;   207,10 ;     
01.08.1982 00:00:00   ;   207,14 ;     
01.09.1982 00:00:00   ;   207,13 ;     
01.10.1982 00:00:00   ;   207,10 ;     
01.11.1982 00:00:00   ;   207,02 ;     
01.12.1982 00:00:00   ;   207,07 ;     
01.01.1983 00:00:00   ;   207,15 ;     
01.02.1983 00:00:00   ;   207,39 ;     
01.03.1983 00:00:00   ;   207,54 ;     
01.04.1983 00:00:00   ;   207,59 ;     
01.05.1983 00:00:00   ;   207,64 ;     
01.06.1983 00:00:00   ;   207,65 ;     
01.07.1983 00:00:00   ;   207,67 ;     
01.08.1983 00:00:00   ;   207,79 ;     
01.09.1983 00:00:00   ;   207,77 ;     
01.10.1983 00:00:00   ;   207,79 ;     
01.11.1983 00:00:00   ;   207,75 ;     
01.12.1983 00:00:00   ;   207,74 ;     
01.01.1984 00:00:00   ;   207,69 ;     
01.02.1984 00:00:00   ;   207,68 ;     
01.03.1984 00:00:00   ;   207,69 ;     
01.04.1984 00:00:00   ;   207,68 ;     
01.05.1984 00:00:00   ;   207,70 ;     
01.06.1984 00:00:00   ;   207,71 ;     
01.07.1984 00:00:00   ;   207,72 ;     
01.08.1984 00:00:00   ;   207,73 ;     
01.09.1984 00:00:00   ;   207,72 ;     
01.10.1984 00:00:00   ;   207,72 ;     
01.11.1984 00:00:00   ;   207,70 ;     
01.12.1984 00:00:00   ;   207,67 ;     
01.01.1985 00:00:00   ;   207,64 ;     
01.02.1985 00:00:00   ;   207,67 ;     
01.03.1985 00:00:00   ;   207,67 ;     
01.04.1985 00:00:00   ;   207,66 ;     
01.05.1985 00:00:00   ;   207,60 ;     
01.06.1985 00:00:00   ;   207,62 ;     
01.07.1985 00:00:00   ;   207,59 ;     
01.08.1985 00:00:00   ;   207,70 ;     
01.09.1985 00:00:00   ;   207,59 ;     
01.10.1985 00:00:00   ;   207,54 ;     
01.11.1985 00:00:00   ;   207,52 ;     
01.12.1985 00:00:00   ;   207,57 ;     
01.01.1986 00:00:00   ;   207,61 ;     
01.02.1986 00:00:00   ;   207,55 ;     
01.03.1986 00:00:00   ;   207,60 ;     
01.04.1986 00:00:00   ;   207,59 ;     
01.05.1986 00:00:00   ;   207,57 ;     
01.06.1986 00:00:00   ;   207,53 ;     
01.07.1986 00:00:00   ;   207,40 ;     
01.08.1986 00:00:00   ;   207,45 ;     
01.09.1986 00:00:00   ;   207,46 ;     
01.10.1986 00:00:00   ;   207,47 ;     
01.11.1986 00:00:00   ;   207,50 ;     
01.12.1986 00:00:00   ;   207,50 ;     
01.01.1987 00:00:00   ;   207,59 ;     
01.02.1987 00:00:00   ;   207,64 ;     
01.03.1987 00:00:00   ;   207,62 ;     
01.04.1987 00:00:00   ;   207,66 ;     
01.05.1987 00:00:00   ;   207,66 ;     
01.06.1987 00:00:00   ;   207,60 ;     
01.07.1987 00:00:00   ;   207,58 ;     
01.08.1987 00:00:00   ;   207,58 ;     
01.09.1987 00:00:00   ;   207,52 ;     
01.10.1987 00:00:00   ;   207,50 ;     
01.11.1987 00:00:00   ;   207,47 ;     
01.12.1987 00:00:00   ;   207,67 ;     
01.01.1988 00:00:00   ;   207,48 ;     
01.02.1988 00:00:00   ;   207,56 ;     
01.03.1988 00:00:00   ;   207,77 ;     
01.04.1988 00:00:00   ;   207,69 ;     
01.05.1988 00:00:00   ;   207,58 ;     
01.06.1988 00:00:00   ;   207,51 ;     
01.07.1988 00:00:00   ;   207,43 ;     
01.08.1988 00:00:00   ;   207,46 ;     
01.09.1988 00:00:00   ;   207,40 ;     
01.10.1988 00:00:00   ;   207,39 ;     
01.11.1988 00:00:00   ;   207,42 ;     
01.12.1988 00:00:00   ;   207,61 ;     
01.01.1989 00:00:00   ;   207,47 ;     
01.02.1989 00:00:00   ;   207,43 ;     
01.03.1989 00:00:00   ;   207,42 ;     
01.04.1989 00:00:00   ;   207,40 ;     
01.05.1989 00:00:00   ;   207,46 ;     
01.06.1989 00:00:00   ;   207,44 ;     
01.07.1989 00:00:00   ;   207,42 ;     
01.08.1989 00:00:00   ;   207,45 ;     
01.09.1989 00:00:00   ;   207,39 ;     
01.10.1989 00:00:00   ;   207,37 ;     
01.11.1989 00:00:00   ;   207,37 ;     
01.12.1989 00:00:00   ;   207,44 ;     
01.01.1990 00:00:00   ;   207,36 ;     
01.02.1990 00:00:00   ;   207,40 ;     
01.03.1990 00:00:00   ;   207,48 ;     
01.04.1990 00:00:00   ;   207,43 ;     
01.05.1990 00:00:00   ;   207,36 ;     
01.06.1990 00:00:00   ;   207,34 ;     
01.07.1990 00:00:00   ;   207,30 ;     
01.08.1990 00:00:00   ;   207,21 ;     
01.09.1990 00:00:00   ;   207,29 ;     
01.10.1990 00:00:00   ;   207,26 ;     
01.11.1990 00:00:00   ;   207,30 ;     
01.12.1990 00:00:00   ;   207,31 ;     
01.01.1991 00:00:00   ;   207,36 ;     
01.02.1991 00:00:00   ;   207,27 ;     
01.03.1991 00:00:00   ;   207,26 ;     
01.04.1991 00:00:00   ;   207,29 ;     
01.05.1991 00:00:00   ;   207,46 ;     
01.06.1991 00:00:00   ;   207,45 ;     
01.07.1991 00:00:00   ;   207,57 ;     
01.08.1991 00:00:00   ;   208,23 ;     
01.09.1991 00:00:00   ;   207,27 ;     
01.10.1991 00:00:00   ;   207,30 ;     
01.11.1991 00:00:00   ;   207,30 ;     
01.12.1991 00:00:00   ;   207,49 ;     
01.01.1992 00:00:00   ;   207,43 ;     
01.02.1992 00:00:00   ;   207,36 ;     
01.03.1992 00:00:00   ;   207,51 ;     
01.04.1992 00:00:00   ;   207,42 ;     
01.05.1992 00:00:00   ;   207,36 ;     
01.06.1992 00:00:00   ;   207,42 ;     
01.07.1992 00:00:00   ;   207,32 ;     
01.08.1992 00:00:00   ;   207,38 ;     
01.09.1992 00:00:00   ;   207,51 ;     
01.10.1992 00:00:00   ;   207,53 ;     
01.11.1992 00:00:00   ;   207,56 ;     
01.12.1992 00:00:00   ;   207,28 ;     
01.01.1993 00:00:00   ;   207,22 ;     
01.02.1993 00:00:00   ;   207,29 ;     
01.03.1993 00:00:00   ;   207,37 ;     
01.04.1993 00:00:00   ;   207,45 ;     
01.05.1993 00:00:00   ;   207,60 ;     
01.06.1993 00:00:00   ;   207,44 ;     
01.07.1993 00:00:00   ;   207,27 ;     
