Messstelle:                ;Klagenfurt, Bl 216
HZB-Nummer:                ;318204
HD-Nummer:                 ;
DBMS-Nummer:               ;2002103
PorenGW-Gebiet:            ;442 Klagenfurter Becken
Grundwasserkörper:         ;Klagenfurter Becken [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;15.11.1990
 Geländehöhe:              ;440,21
 Messpunkthöhe:            ;440,85
 Sohllage:                 ;436,07
 T-Messtiefe u.GOK:        ;3,90
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.11.1990               ;14 17 17                 ;46 36 26
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2006 HG05 durch Baustelle teilweise beeinflusst
  2016 HG28 gerätetechnisch bedingte Datenausfälle
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.12.1990 00:00:00   ;   437,09 ;     
01.01.1991 00:00:00   ;   436,99 ;     
01.02.1991 00:00:00   ;   436,93 ;     
01.03.1991 00:00:00   ;   437,04 ;     
01.04.1991 00:00:00   ;   437,05 ;     
01.05.1991 00:00:00   ;   437,12 ;     
01.06.1991 00:00:00   ;   437,02 ;     
01.07.1991 00:00:00   ;   437,01 ;     
01.08.1991 00:00:00   ;   436,99 ;     
01.09.1991 00:00:00   ;   436,93 ;     
01.10.1991 00:00:00   ;   436,93 ;     
01.11.1991 00:00:00   ;   437,01 ;     
01.12.1991 00:00:00   ;   437,06 ;     
01.01.1992 00:00:00   ;   436,93 ;     
01.02.1992 00:00:00   ;   436,87 ;     
01.03.1992 00:00:00   ;   436,87 ;     
01.04.1992 00:00:00   ;   437,02 ;     
01.05.1992 00:00:00   ;   437,02 ;     
01.06.1992 00:00:00   ;   436,93 ;     
01.07.1992 00:00:00   ;   436,89 ;     
01.08.1992 00:00:00   ;   436,83 ;     
01.09.1992 00:00:00   ;   436,82 ;     
01.10.1992 00:00:00   ;   436,87 ;     
01.11.1992 00:00:00   ;   437,05 ;     
01.12.1992 00:00:00   ;   437,16 ;     
01.01.1993 00:00:00   ;   437,03 ;     
01.02.1993 00:00:00   ;   436,94 ;     
01.03.1993 00:00:00   ;   436,88 ;     
01.04.1993 00:00:00   ;   436,87 ;     
01.05.1993 00:00:00   ;   436,84 ;     
01.06.1993 00:00:00   ;   436,83 ;     
01.07.1993 00:00:00   ;   436,82 ;     
01.08.1993 00:00:00   ;   436,90 ;     
01.09.1993 00:00:00   ;   436,83 ;     
01.10.1993 00:00:00   ;   437,03 ;     
01.11.1993 00:00:00   ;   437,13 ;     
01.12.1993 00:00:00   ;   437,06 ;     
01.01.1994 00:00:00   ;   437,10 ;     
01.02.1994 00:00:00   ;   437,04 ;     
01.03.1994 00:00:00   ;   436,98 ;     
01.04.1994 00:00:00   ;   437,14 ;     
01.05.1994 00:00:00   ;   437,04 ;     
01.06.1994 00:00:00   ;   436,98 ;     
01.07.1994 00:00:00   ;   436,94 ;     
01.08.1994 00:00:00   ;   436,91 ;     
01.09.1994 00:00:00   ;   436,92 ;     
01.10.1994 00:00:00   ;   436,91 ;     
01.11.1994 00:00:00   ;   437,05 ;     
01.12.1994 00:00:00   ;   436,97 ;     
01.01.1995 00:00:00   ;   436,95 ;     
01.02.1995 00:00:00   ;   437,01 ;     
01.03.1995 00:00:00   ;   437,16 ;     
01.04.1995 00:00:00   ;   437,06 ;     
01.05.1995 00:00:00   ;   436,97 ;     
01.06.1995 00:00:00   ;   436,95 ;     
01.07.1995 00:00:00   ;   436,93 ;     
01.08.1995 00:00:00   ;   436,91 ;     
01.09.1995 00:00:00   ;   436,97 ;     
01.10.1995 00:00:00   ;   436,92 ;     
01.11.1995 00:00:00   ;   436,86 ;     
01.12.1995 00:00:00   ;   436,81 ;     
01.01.1996 00:00:00   ;   436,86 ;     
01.02.1996 00:00:00   ;   436,82 ;     
01.03.1996 00:00:00   ;   436,85 ;     
01.04.1996 00:00:00   ;   437,06 ;     
01.05.1996 00:00:00   ;   437,04 ;     
01.06.1996 00:00:00   ;   437,05 ;     
01.07.1996 00:00:00   ;   437,18 ;     
01.08.1996 00:00:00   ;   437,09 ;     
01.09.1996 00:00:00   ;   437,05 ;     
01.10.1996 00:00:00   ;   437,20 ;     
01.11.1996 00:00:00   ;   437,30 ;     
01.12.1996 00:00:00   ;   437,23 ;     
01.01.1997 00:00:00   ;   437,09 ;     
01.02.1997 00:00:00   ;   437,04 ;     
01.03.1997 00:00:00   ;   437,01 ;     
01.04.1997 00:00:00   ;   436,95 ;     
01.05.1997 00:00:00   ;   436,92 ;     
01.06.1997 00:00:00   ;   436,92 ;     
01.07.1997 00:00:00   ;   436,91 ;     
01.08.1997 00:00:00   ;   436,93 ;     
01.09.1997 00:00:00   ;   436,96 ;     
01.10.1997 00:00:00   ;   436,89 ;     
01.11.1997 00:00:00   ;   436,86 ;     
01.12.1997 00:00:00   ;   436,96 ;     
01.01.1998 00:00:00   ;   436,95 ;     
01.02.1998 00:00:00   ;   436,87 ;     
01.03.1998 00:00:00   ;   436,82 ;     
01.04.1998 00:00:00   ;   436,80 ;     
01.05.1998 00:00:00   ;   436,78 ;     
01.06.1998 00:00:00   ;   436,80 ;     
01.07.1998 00:00:00   ;   436,98 ;     
01.08.1998 00:00:00   ;   436,95 ;     
01.09.1998 00:00:00   ;   437,08 ;     
01.10.1998 00:00:00   ;   437,34 ;     
01.11.1998 00:00:00   ;   437,31 ;     
01.12.1998 00:00:00   ;   437,07 ;     
01.01.1999 00:00:00   ;   436,97 ;     
01.02.1999 00:00:00   ;   436,91 ;     
01.03.1999 00:00:00   ;   436,99 ;     
01.04.1999 00:00:00   ;   436,95 ;     
01.05.1999 00:00:00   ;   436,94 ;     
01.06.1999 00:00:00   ;   436,97 ;     
01.07.1999 00:00:00   ;   437,02 ;     
01.08.1999 00:00:00   ;   437,13 ;     
01.09.1999 00:00:00   ;   437,22 ;     
01.10.1999 00:00:00   ;   437,20 ;     
01.11.1999 00:00:00   ;   437,16 ;     
01.12.1999 00:00:00   ;   437,08 ;     
01.01.2000 00:00:00   ;   436,99 ;     
01.02.2000 00:00:00   ;   436,93 ;     
01.03.2000 00:00:00   ;   436,95 ;     
01.04.2000 00:00:00   ;   436,95 ;     
01.05.2000 00:00:00   ;   436,97 ;     
01.06.2000 00:00:00   ;   437,00 ;     
01.07.2000 00:00:00   ;   437,04 ;     
01.08.2000 00:00:00   ;   437,01 ;     
01.09.2000 00:00:00   ;   436,95 ;     
01.10.2000 00:00:00   ;   437,12 ;     
01.11.2000 00:00:00   ;   437,93 ;     
01.12.2000 00:00:00   ;   437,71 ;     
01.01.2001 00:00:00   ;   437,47 ;     
01.02.2001 00:00:00   ;   437,24 ;     
01.03.2001 00:00:00   ;   437,15 ;     
01.04.2001 00:00:00   ;   437,16 ;     
01.05.2001 00:00:00   ;   437,10 ;     
01.06.2001 00:00:00   ;   437,06 ;     
01.07.2001 00:00:00   ;   437,03 ;     
01.08.2001 00:00:00   ;   436,99 ;     
01.09.2001 00:00:00   ;   436,98 ;     
01.10.2001 00:00:00   ;   437,02 ;     
01.11.2001 00:00:00   ;   436,94 ;     
01.12.2001 00:00:00   ;   436,88 ;     
01.01.2002 00:00:00   ;   436,82 ;     
01.02.2002 00:00:00   ;   436,81 ;     
01.03.2002 00:00:00   ;   436,80 ;     
01.04.2002 00:00:00   ;   436,82 ;     
01.05.2002 00:00:00   ;   436,87 ;     
01.06.2002 00:00:00   ;   436,88 ;     
01.07.2002 00:00:00   ;   436,96 ;     
01.08.2002 00:00:00   ;   437,08 ;     
01.09.2002 00:00:00   ;   437,04 ;     
01.10.2002 00:00:00   ;   437,13 ;     
01.11.2002 00:00:00   ;   437,22 ;     
01.12.2002 00:00:00   ;   437,42 ;     
01.01.2003 00:00:00   ;   437,12 ;     
01.02.2003 00:00:00   ;   437,03 ;     
01.03.2003 00:00:00   ;   436,97 ;     
01.04.2003 00:00:00   ;   436,94 ;     
01.05.2003 00:00:00   ;   436,95 ;     
01.06.2003 00:00:00   ;   437,02 ;     
01.07.2003 00:00:00   ;   437,08 ;     
01.08.2003 00:00:00   ;   436,99 ;     
01.09.2003 00:00:00   ;   437,26 ;     
01.10.2003 00:00:00   ;   437,12 ;     
01.11.2003 00:00:00   ;   437,24 ;     
01.12.2003 00:00:00   ;   437,18 ;     
01.01.2004 00:00:00   ;   437,07 ;     
01.02.2004 00:00:00   ;   436,96 ;     
01.03.2004 00:00:00   ;   437,20 ;     
01.04.2004 00:00:00   ;   437,72 ;     
01.05.2004 00:00:00   ;   437,35 ;     
01.06.2004 00:00:00   ;   437,47 ;     
01.07.2004 00:00:00   ;   437,89 ;     
01.08.2004 00:00:00   ;   437,61 ;     
01.09.2004 00:00:00   ;   437,53 ;     
01.10.2004 00:00:00   ;   437,35 ;     
01.11.2004 00:00:00   ;   437,58 ;     
01.12.2004 00:00:00   ;   437,40 ;     
01.01.2005 00:00:00   ;   437,33 ;     
01.02.2005 00:00:00   ;   437,17 ;     
01.03.2005 00:00:00   ;   437,10 ;     
01.04.2005 00:00:00   ;   437,17 ;     
01.05.2005 00:00:00   ;   437,13 ;     
01.06.2005 00:00:00   ;   437,04 ;     
01.07.2005 00:00:00   ;   437,09 ;     
01.08.2005 00:00:00   ;   437,15 ;     
01.09.2005 00:00:00   ;   437,21 ;     
01.10.2005 00:00:00   ;   437,23 ;     
01.11.2005 00:00:00   ;   437,02 ;     
01.12.2005 00:00:00   ;   436,85 ;     
01.01.2006 00:00:00   ;   436,79 ;     
01.02.2006 00:00:00   ;   436,76 ;     
01.03.2006 00:00:00   ;   436,92 ;     
01.04.2006 00:00:00   ;   437,02 ;     
01.05.2006 00:00:00   ;   436,93 ;     
