Messstelle:                ;Hofkirchen, Br   5982
HZB-Nummer:                ;343798
HD-Nummer:                 ;uw5982
DBMS-Nummer:               ;6003354
PorenGW-Gebiet:            ;337 Safental
Grundwasserkörper:         ;Safental [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Privat
Höhenangaben [m ü.A.]:     ;gültig seit: ;05.06.2019
 Geländehöhe:              ;329,74
 Messpunkthöhe:            ;330,34
 Sohllage:                 ;327,34
 T-Messtiefe u.GOK:        ;2,20
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  18.05.2004               ;15 54 06                 ;47 13 54
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.06.2004 00:00:00   ;   328,44 ;     
01.07.2004 00:00:00   ;   328,34 ;     
01.08.2004 00:00:00   ;   328,24 ;     
01.09.2004 00:00:00   ;   328,17 ;     
01.10.2004 00:00:00   ;   328,17 ;     
01.11.2004 00:00:00   ;   328,16 ;     
01.12.2004 00:00:00   ;   328,16 ;     
01.01.2005 00:00:00   ;   328,17 ;     
01.02.2005 00:00:00   ;   328,15 ;     
01.03.2005 00:00:00   ;   328,21 ;     
01.04.2005 00:00:00   ;   328,21 ;     
01.05.2005 00:00:00   ;   328,15 ;     
01.06.2005 00:00:00   ;   328,07 ;     
01.07.2005 00:00:00   ;   328,13 ;     
01.08.2005 00:00:00   ;   328,19 ;     
01.09.2005 00:00:00   ;   328,20 ;     
01.10.2005 00:00:00   ;   328,14 ;     
01.11.2005 00:00:00   ;   328,15 ;     
01.12.2005 00:00:00   ;   328,20 ;     
01.01.2006 00:00:00   ;   328,20 ;     
01.02.2006 00:00:00   ;   328,18 ;     
01.03.2006 00:00:00   ;   328,35 ;     
01.04.2006 00:00:00   ;   328,28 ;     
01.05.2006 00:00:00   ;   328,39 ;     
01.06.2006 00:00:00   ;   328,40 ;     
01.07.2006 00:00:00   ;   328,33 ;     
01.08.2006 00:00:00   ;   328,21 ;     
01.09.2006 00:00:00   ;   328,11 ;     
01.10.2006 00:00:00   ;   328,09 ;     
01.11.2006 00:00:00   ;   328,10 ;     
01.12.2006 00:00:00   ;   328,08 ;     
01.01.2007 00:00:00   ;   328,09 ;     
01.02.2007 00:00:00   ;   328,10 ;     
01.03.2007 00:00:00   ;   328,15 ;     
01.04.2007 00:00:00   ;   328,12 ;     
01.05.2007 00:00:00   ;   328,09 ;     
01.06.2007 00:00:00   ;   328,15 ;     
01.07.2007 00:00:00   ;   328,11 ;     
01.08.2007 00:00:00   ;   328,18 ;     
01.09.2007 00:00:00   ;   328,20 ;     
01.10.2007 00:00:00   ;   328,16 ;     
01.11.2007 00:00:00   ;   328,15 ;     
01.12.2007 00:00:00   ;   328,22 ;     
01.01.2008 00:00:00   ;   328,14 ;     
01.02.2008 00:00:00   ;   328,12 ;     
01.03.2008 00:00:00   ;   328,11 ;     
01.04.2008 00:00:00   ;   328,12 ;     
01.05.2008 00:00:00   ;   328,09 ;     
01.06.2008 00:00:00   ;   328,15 ;     
01.07.2008 00:00:00   ;   328,25 ;     
01.08.2008 00:00:00   ;   328,25 ;     
01.09.2008 00:00:00   ;   328,11 ;     
01.10.2008 00:00:00   ;   328,08 ;     
01.11.2008 00:00:00   ;   328,11 ;     
01.12.2008 00:00:00   ;   328,25 ;     
01.01.2009 00:00:00   ;   328,18 ;     
01.02.2009 00:00:00   ;   328,26 ;     
01.03.2009 00:00:00   ;   328,26 ;     
01.04.2009 00:00:00   ;   328,20 ;     
01.05.2009 00:00:00   ;   328,14 ;     
01.06.2009 00:00:00   ;   328,18 ;     
01.07.2009 00:00:00   ;   328,31 ;     
01.08.2009 00:00:00   ;   328,37 ;     
01.09.2009 00:00:00   ;   328,37 ;     
01.10.2009 00:00:00   ;   328,23 ;     
01.11.2009 00:00:00   ;   328,24 ;     
01.12.2009 00:00:00   ;   328,26 ;     
01.01.2010 00:00:00   ;   328,23 ;     
01.02.2010 00:00:00   ;   328,21 ;     
01.03.2010 00:00:00   ;   328,26 ;     
01.04.2010 00:00:00   ;   328,18 ;     
01.05.2010 00:00:00   ;   328,16 ;     
01.06.2010 00:00:00   ;   328,27 ;     
01.07.2010 00:00:00   ;   328,21 ;     
01.08.2010 00:00:00   ;   328,37 ;     
01.09.2010 00:00:00   ;   328,42 ;     
01.10.2010 00:00:00   ;   328,40 ;     
01.11.2010 00:00:00   ;   328,39 ;     
01.12.2010 00:00:00   ;   328,42 ;     
01.01.2011 00:00:00   ;   328,27 ;     
01.02.2011 00:00:00   ;   328,21 ;     
01.03.2011 00:00:00   ;   328,26 ;     
01.04.2011 00:00:00   ;   328,22 ;     
01.05.2011 00:00:00   ;   328,20 ;     
01.06.2011 00:00:00   ;   328,31 ;     
01.07.2011 00:00:00   ;   328,23 ;     
01.08.2011 00:00:00   ;   328,22 ;     
01.09.2011 00:00:00   ;   328,19 ;     
01.10.2011 00:00:00   ;   328,20 ;     
01.11.2011 00:00:00   ;   328,19 ;     
01.12.2011 00:00:00   ;   328,18 ;     
01.01.2012 00:00:00   ;   328,17 ;     
01.02.2012 00:00:00   ;   328,17 ;     
01.03.2012 00:00:00   ;   328,16 ;     
01.04.2012 00:00:00   ;   328,16 ;     
01.05.2012 00:00:00   ;   328,17 ;     
01.06.2012 00:00:00   ;   328,19 ;     
01.07.2012 00:00:00   ;   328,33 ;     
01.08.2012 00:00:00   ;   328,29 ;     
01.09.2012 00:00:00   ;   328,33 ;     
01.10.2012 00:00:00   ;   328,32 ;     
01.11.2012 00:00:00   ;   328,48 ;     
01.12.2012 00:00:00   ;   328,32 ;     
01.01.2013 00:00:00   ;   328,33 ;     
01.02.2013 00:00:00   ;   328,42 ;     
01.03.2013 00:00:00   ;   328,53 ;     
01.04.2013 00:00:00   ;   328,47 ;     
01.05.2013 00:00:00   ;   328,50 ;     
01.06.2013 00:00:00   ;   328,38 ;     
01.07.2013 00:00:00   ;   328,23 ;     
01.08.2013 00:00:00   ;   328,20 ;     
01.09.2013 00:00:00   ;   328,29 ;     
01.10.2013 00:00:00   ;   328,31 ;     
01.11.2013 00:00:00   ;   328,45 ;     
01.12.2013 00:00:00   ;   328,35 ;     
01.01.2014 00:00:00   ;   328,30 ;     
01.02.2014 00:00:00   ;   328,54 ;     
01.03.2014 00:00:00   ;   328,37 ;     
01.04.2014 00:00:00   ;   328,29 ;     
01.05.2014 00:00:00   ;   328,49 ;     
01.06.2014 00:00:00   ;   328,29 ;     
01.07.2014 00:00:00   ;   328,35 ;     
01.08.2014 00:00:00   ;   328,46 ;     
01.09.2014 00:00:00   ;   328,54 ;     
01.10.2014 00:00:00   ;   328,38 ;     
01.11.2014 00:00:00   ;   328,43 ;     
01.12.2014 00:00:00   ;   328,44 ;     
01.01.2015 00:00:00   ;   328,34 ;     
01.02.2015 00:00:00   ;   328,34 ;     
01.03.2015 00:00:00   ;   328,31 ;     
01.04.2015 00:00:00   ;   328,27 ;     
01.05.2015 00:00:00   ;   328,29 ;     
01.06.2015 00:00:00   ;   328,23 ;     
01.07.2015 00:00:00   ;   328,20 ;     
01.08.2015 00:00:00   ;   328,16 ;     
01.09.2015 00:00:00   ;   328,15 ;     
01.10.2015 00:00:00   ;   328,29 ;     
01.11.2015 00:00:00   ;   328,24 ;     
01.12.2015 00:00:00   ;   328,20 ;     
01.01.2016 00:00:00   ;   328,20 ;     
01.02.2016 00:00:00   ;   328,30 ;     
01.03.2016 00:00:00   ;   328,34 ;     
01.04.2016 00:00:00   ;   328,24 ;     
01.05.2016 00:00:00   ;   328,27 ;     
01.06.2016 00:00:00   ;   328,29 ;     
01.07.2016 00:00:00   ;   328,34 ;     
01.08.2016 00:00:00   ;   328,37 ;     
01.09.2016 00:00:00   ;   328,24 ;     
01.10.2016 00:00:00   ;   328,25 ;     
01.11.2016 00:00:00   ;   328,39 ;     
01.12.2016 00:00:00   ;   328,31 ;     
01.01.2017 00:00:00   ;   328,26 ;     
01.02.2017 00:00:00   ;   328,29 ;     
01.03.2017 00:00:00   ;   328,26 ;     
01.04.2017 00:00:00   ;   328,22 ;     
01.05.2017 00:00:00   ;   328,22 ;     
01.06.2017 00:00:00   ;   328,17 ;     
01.07.2017 00:00:00   ;   328,20 ;     
01.08.2017 00:00:00   ;   328,39 ;     
01.09.2017 00:00:00   ;   328,33 ;     
01.10.2017 00:00:00   ;   328,27 ;     
01.11.2017 00:00:00   ;   328,27 ;     
01.12.2017 00:00:00   ;   328,30 ;     
01.01.2018 00:00:00   ;   328,31 ;     
01.02.2018 00:00:00   ;   328,34 ;     
01.03.2018 00:00:00   ;   328,35 ;     
01.04.2018 00:00:00   ;   328,33 ;     
01.05.2018 00:00:00   ;   328,42 ;     
01.06.2018 00:00:00   ;   328,53 ;     
01.07.2018 00:00:00   ;   328,40 ;     
01.08.2018 00:00:00   ;   328,40 ;     
01.09.2018 00:00:00   ;   328,39 ;     
01.10.2018 00:00:00   ;   328,29 ;     
01.11.2018 00:00:00   ;   328,32 ;     
01.12.2018 00:00:00   ;   328,33 ;     
01.01.2019 00:00:00   ;   328,22 ;     
01.02.2019 00:00:00   ;   328,25 ;     
01.03.2019 00:00:00   ;   328,20 ;     
01.04.2019 00:00:00   ;   328,19 ;     
01.05.2019 00:00:00   ;   328,19 ;     
01.06.2019 00:00:00   ;   328,26 ;     
01.07.2019 00:00:00   ;   328,22 ;     
01.08.2019 00:00:00   ;   328,26 ;     
01.09.2019 00:00:00   ;   328,30 ;     
01.10.2019 00:00:00   ;   328,28 ;     
01.11.2019 00:00:00   ;   328,46 ;     
01.12.2019 00:00:00   ;   328,43 ;     
01.01.2020 00:00:00   ;   328,36 ;     
01.02.2020 00:00:00   ;   328,31 ;     
01.03.2020 00:00:00   ;   328,30 ;     
01.04.2020 00:00:00   ;   328,27 ;     
01.05.2020 00:00:00   ;   328,27 ;     
01.06.2020 00:00:00   ;   328,24 ;     
01.07.2020 00:00:00   ;   328,43 ;     
01.08.2020 00:00:00   ;   328,55 ;     
01.09.2020 00:00:00   ;   328,47 ;     
01.10.2020 00:00:00   ;   328,53 ;     
01.11.2020 00:00:00   ;   328,32 ;     
01.12.2020 00:00:00   ;   328,38 ;     
01.01.2021 00:00:00   ;   328,37 ;     
01.02.2021 00:00:00   ;   328,35 ;     
01.03.2021 00:00:00   ;   328,23 ;     
01.04.2021 00:00:00   ;   328,19 ;     
01.05.2021 00:00:00   ;   328,20 ;     
01.06.2021 00:00:00   ;   328,18 ;     
01.07.2021 00:00:00   ;   328,15 ;     
01.08.2021 00:00:00   ;   328,21 ;     
01.09.2021 00:00:00   ;   328,18 ;     
01.10.2021 00:00:00   ;   328,17 ;     
01.11.2021 00:00:00   ;   328,18 ;     
01.12.2021 00:00:00   ;   328,21 ;     
01.01.2022 00:00:00   ;Lücke         ; 
