Messstelle:                ;Schalchen, Bl GWS5
HZB-Nummer:                ;381335
HD-Nummer:                 ;HD4003323
DBMS-Nummer:               ;4003323
Fremdnummer:               ;GWS5
PorenGW-Gebiet:            ;055 Mattigtal
Grundwasserkörper:         ;Gruppe Zwischen Salzach und Mattig [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Land OÖ, Straßenbau
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.12.2013
 Geländehöhe:              ;440,06
 Messpunkthöhe:            ;440,06
 Sohllage:                 ;425,06
 T-Messtiefe u.GOK:        ;-99,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2012               ;13 09 22                 ;48 06 58
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.12.2013 00:00:00   ;   436,91 ;     
01.01.2014 00:00:00   ;   436,80 ;     
01.02.2014 00:00:00   ;   436,74 ;     
01.03.2014 00:00:00   ;   436,66 ;     
01.04.2014 00:00:00   ;   436,59 ;     
01.05.2014 00:00:00   ;   436,65 ;     
01.06.2014 00:00:00   ;   436,72 ;     
01.07.2014 00:00:00   ;   436,60 ;     
01.08.2014 00:00:00   ;   436,77 ;     
01.09.2014 00:00:00   ;   436,85 ;     
01.10.2014 00:00:00   ;   436,74 ;     
01.11.2014 00:00:00   ;   436,74 ;     
01.12.2014 00:00:00   ;   436,64 ;     
01.01.2015 00:00:00   ;   436,89 ;     
01.02.2015 00:00:00   ;   436,65 ;     
01.03.2015 00:00:00   ;   436,66 ;     
01.04.2015 00:00:00   ;   436,74 ;     
01.05.2015 00:00:00   ;   436,83 ;     
01.06.2015 00:00:00   ;   436,79 ;     
01.07.2015 00:00:00   ;   436,66 ;     
01.08.2015 00:00:00   ;   436,54 ;     
01.09.2015 00:00:00   ;   436,43 ;     
01.10.2015 00:00:00   ;   436,30 ;     
01.11.2015 00:00:00   ;   436,20 ;     
01.12.2015 00:00:00   ;   436,10 ;     
01.01.2016 00:00:00   ;   436,07 ;     
01.02.2016 00:00:00   ;   436,46 ;     
01.03.2016 00:00:00   ;   436,40 ;     
01.04.2016 00:00:00   ;   436,19 ;     
01.05.2016 00:00:00   ;   436,41 ;     
01.06.2016 00:00:00   ;   437,07 ;     
01.07.2016 00:00:00   ;   436,91 ;     
01.08.2016 00:00:00   ;   436,81 ;     
01.09.2016 00:00:00   ;   436,84 ;     
01.10.2016 00:00:00   ;   436,78 ;     
01.11.2016 00:00:00   ;   436,88 ;     
01.12.2016 00:00:00   ;   436,67 ;     
01.01.2017 00:00:00   ;   436,60 ;     
01.02.2017 00:00:00   ;   436,72 ;     
01.03.2017 00:00:00   ;   436,79 ;     
01.04.2017 00:00:00   ;   436,66 ;     
01.05.2017 00:00:00   ;   436,81 ;     
01.06.2017 00:00:00   ;   436,62 ;     
01.07.2017 00:00:00   ;   436,59 ;     
01.08.2017 00:00:00   ;   436,73 ;     
01.09.2017 00:00:00   ;   436,70 ;     
01.10.2017 00:00:00   ;   436,64 ;     
01.11.2017 00:00:00   ;   436,68 ;     
01.12.2017 00:00:00   ;   436,74 ;     
01.01.2018 00:00:00   ;   436,95 ;     
01.02.2018 00:00:00   ;   436,81 ;     
01.03.2018 00:00:00   ;   436,72 ;     
01.04.2018 00:00:00   ;   436,68 ;     
01.05.2018 00:00:00   ;   436,58 ;     
01.06.2018 00:00:00   ;   436,51 ;     
01.07.2018 00:00:00   ;   436,48 ;     
01.08.2018 00:00:00   ;   436,39 ;     
01.09.2018 00:00:00   ;   436,36 ;     
01.10.2018 00:00:00   ;   436,15 ;     
01.11.2018 00:00:00   ;   435,90 ;     
01.12.2018 00:00:00   ;   436,19 ;     
