Messstelle:                ;Hartkirchen, Br 2158.022
HZB-Nummer:                ;378810
HD-Nummer:                 ;2158.022
DBMS-Nummer:               ;4003163
Fremdnummer:               ;8
PorenGW-Gebiet:            ;096 Südliches Eferdinger Becken
Grundwasserkörper:         ;Eferdinger Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;05.10.2012
 Geländehöhe:              ;268,17
 Messpunkthöhe:            ;268,47
 Sohllage:                 ;262,49
 T-Messtiefe u.GOK:        ;5,85
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.08.2000               ;14 00 01                 ;48 20 55
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2021 HG14 fehlende Monatsmittel zufolge Datensammlerausfall
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.08.2000 00:00:00   ;   262,94 ;     
01.09.2000 00:00:00   ;   262,80 ;     
01.10.2000 00:00:00   ;   262,80 ;     
01.11.2000 00:00:00   ;   262,70 ;     
01.12.2000 00:00:00   ;   262,66 ;     
01.01.2001 00:00:00   ;   262,62 ;     
01.02.2001 00:00:00   ;   262,78 ;     
01.03.2001 00:00:00   ;   263,04 ;     
01.04.2001 00:00:00   ;   263,34 ;     
01.05.2001 00:00:00   ;   263,19 ;     
01.06.2001 00:00:00   ;   263,08 ;     
01.07.2001 00:00:00   ;   262,93 ;     
01.08.2001 00:00:00   ;   262,81 ;     
01.09.2001 00:00:00   ;   262,85 ;     
01.10.2001 00:00:00   ;   262,79 ;     
01.11.2001 00:00:00   ;   262,70 ;     
01.12.2001 00:00:00   ;   262,79 ;     
01.01.2002 00:00:00   ;   263,18 ;     
01.02.2002 00:00:00   ;   263,50 ;     
01.03.2002 00:00:00   ;   263,82 ;     
01.04.2002 00:00:00   ;   263,78 ;     
01.05.2002 00:00:00   ;   263,47 ;     
01.06.2002 00:00:00   ;   263,28 ;     
01.07.2002 00:00:00   ;   263,16 ;     
01.08.2002 00:00:00   ;   263,93 ;     
01.09.2002 00:00:00   ;   263,95 ;     
01.10.2002 00:00:00   ;   263,91 ;     
01.11.2002 00:00:00   ;   264,13 ;     
01.12.2002 00:00:00   ;   263,99 ;     
01.01.2003 00:00:00   ;   264,13 ;     
01.02.2003 00:00:00   ;   263,89 ;     
01.03.2003 00:00:00   ;   263,82 ;     
01.04.2003 00:00:00   ;   263,76 ;     
01.05.2003 00:00:00   ;   263,62 ;     
01.06.2003 00:00:00   ;   263,53 ;     
01.07.2003 00:00:00   ;   263,39 ;     
01.08.2003 00:00:00   ;   263,26 ;     
01.09.2003 00:00:00   ;   263,10 ;     
01.10.2003 00:00:00   ;   263,03 ;     
01.11.2003 00:00:00   ;   262,90 ;     
01.12.2003 00:00:00   ;   262,85 ;     
01.01.2004 00:00:00   ;   263,24 ;     
