Messstelle:                ;Nofels, Bl 01.32.49
HZB-Nummer:                ;379180
HD-Nummer:                 ;01.32.49
DBMS-Nummer:               ;8002462
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;14.12.2010
 Geländehöhe:              ;427,99
 Messpunkthöhe:            ;428,92
 Sohllage:                 ;418,22
 T-Messtiefe u.GOK:        ;8,77
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1980               ;09 33 23                 ;47 17 40
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2005 00:00:00   ;   422,31 ;     
01.02.2005 00:00:00   ;   422,41 ;     
01.03.2005 00:00:00   ;   422,45 ;     
01.04.2005 00:00:00   ;   422,63 ;     
01.05.2005 00:00:00   ;   423,18 ;     
01.06.2005 00:00:00   ;   423,28 ;     
01.07.2005 00:00:00   ;   422,90 ;     
01.08.2005 00:00:00   ;   423,09 ;     
01.09.2005 00:00:00   ;   423,31 ;     
01.10.2005 00:00:00   ;   423,06 ;     
01.11.2005 00:00:00   ;   422,79 ;     
01.12.2005 00:00:00   ;   422,80 ;     
01.01.2006 00:00:00   ;   422,69 ;     
01.02.2006 00:00:00   ;   422,68 ;     
01.03.2006 00:00:00   ;   422,94 ;     
01.04.2006 00:00:00   ;   423,16 ;     
01.05.2006 00:00:00   ;Lücke     ;     
01.06.2006 00:00:00   ;Lücke     ;     
01.07.2006 00:00:00   ;Lücke     ;     
01.08.2006 00:00:00   ;Lücke     ;     
01.09.2006 00:00:00   ;Lücke     ;     
01.10.2006 00:00:00   ;   423,77 ;     
01.11.2006 00:00:00   ;   423,01 ;     
01.12.2006 00:00:00   ;Lücke     ;     
01.01.2007 00:00:00   ;Lücke     ;     
01.02.2007 00:00:00   ;Lücke     ;     
01.03.2007 00:00:00   ;Lücke     ;     
01.04.2007 00:00:00   ;   422,91 ;     
01.05.2007 00:00:00   ;   423,09 ;     
01.06.2007 00:00:00   ;   423,51 ;     
01.07.2007 00:00:00   ;   423,75 ;     
01.08.2007 00:00:00   ;   423,38 ;     
01.09.2007 00:00:00   ;   423,45 ;     
01.10.2007 00:00:00   ;   423,03 ;     
01.11.2007 00:00:00   ;   422,83 ;     
01.12.2007 00:00:00   ;   422,81 ;     
01.01.2008 00:00:00   ;   422,65 ;     
01.02.2008 00:00:00   ;   422,71 ;     
01.03.2008 00:00:00   ;   422,70 ;     
01.04.2008 00:00:00   ;   423,04 ;     
01.05.2008 00:00:00   ;   423,84 ;     
01.06.2008 00:00:00   ;   424,08 ;     
01.07.2008 00:00:00   ;   423,80 ;     
01.08.2008 00:00:00   ;   423,46 ;     
01.09.2008 00:00:00   ;   423,69 ;     
01.10.2008 00:00:00   ;   423,01 ;     
01.11.2008 00:00:00   ;   422,91 ;     
01.12.2008 00:00:00   ;   422,85 ;     
01.01.2009 00:00:00   ;   422,76 ;     
01.02.2009 00:00:00   ;   422,71 ;     
01.03.2009 00:00:00   ;   422,85 ;     
01.04.2009 00:00:00   ;   423,25 ;     
01.05.2009 00:00:00   ;   423,73 ;     
01.06.2009 00:00:00   ;   423,71 ;     
01.07.2009 00:00:00   ;   423,59 ;     
01.08.2009 00:00:00   ;   423,27 ;     
01.09.2009 00:00:00   ;   422,86 ;     
01.10.2009 00:00:00   ;   422,73 ;     
01.11.2009 00:00:00   ;   422,62 ;     
01.12.2009 00:00:00   ;   422,63 ;     
01.01.2010 00:00:00   ;   422,59 ;     
01.02.2010 00:00:00   ;   422,56 ;     
01.03.2010 00:00:00   ;   422,57 ;     
01.04.2010 00:00:00   ;   422,77 ;     
01.05.2010 00:00:00   ;   423,26 ;     
01.06.2010 00:00:00   ;   423,81 ;     
01.07.2010 00:00:00   ;   423,35 ;     
01.08.2010 00:00:00   ;   423,56 ;     
01.09.2010 00:00:00   ;   423,26 ;     
01.10.2010 00:00:00   ;   422,94 ;     
01.11.2010 00:00:00   ;   422,80 ;     
01.12.2010 00:00:00   ;   422,71 ;     
01.01.2011 00:00:00   ;   422,67 ;     
01.02.2011 00:00:00   ;   422,59 ;     
01.03.2011 00:00:00   ;   422,56 ;     
01.04.2011 00:00:00   ;   422,66 ;     
01.05.2011 00:00:00   ;   422,91 ;     
01.06.2011 00:00:00   ;   423,17 ;     
01.07.2011 00:00:00   ;   423,26 ;     
01.08.2011 00:00:00   ;   423,09 ;     
01.09.2011 00:00:00   ;   422,88 ;     
01.10.2011 00:00:00   ;   422,82 ;     
01.11.2011 00:00:00   ;   422,44 ;     
01.12.2011 00:00:00   ;   422,30 ;     
01.01.2012 00:00:00   ;   422,55 ;     
01.02.2012 00:00:00   ;   422,47 ;     
01.03.2012 00:00:00   ;   422,59 ;     
01.04.2012 00:00:00   ;   422,78 ;     
01.05.2012 00:00:00   ;   423,50 ;     
01.06.2012 00:00:00   ;   424,06 ;     
01.07.2012 00:00:00   ;   423,43 ;     
01.08.2012 00:00:00   ;   423,19 ;     
01.09.2012 00:00:00   ;   423,26 ;     
01.10.2012 00:00:00   ;   423,63 ;     
01.11.2012 00:00:00   ;   423,31 ;     
01.12.2012 00:00:00   ;   423,12 ;     
01.01.2013 00:00:00   ;   423,02 ;     
01.02.2013 00:00:00   ;   422,98 ;     
01.03.2013 00:00:00   ;   422,91 ;     
01.04.2013 00:00:00   ;   423,21 ;     
01.05.2013 00:00:00   ;   423,68 ;     
01.06.2013 00:00:00   ;   424,07 ;     
01.07.2013 00:00:00   ;   423,56 ;     
01.08.2013 00:00:00   ;   423,13 ;     
01.09.2013 00:00:00   ;   423,06 ;     
01.10.2013 00:00:00   ;   423,22 ;     
01.11.2013 00:00:00   ;   423,16 ;     
01.12.2013 00:00:00   ;   422,85 ;     
01.01.2014 00:00:00   ;   422,75 ;     
01.02.2014 00:00:00   ;   422,75 ;     
01.03.2014 00:00:00   ;   422,92 ;     
01.04.2014 00:00:00   ;   423,09 ;     
01.05.2014 00:00:00   ;   423,40 ;     
01.06.2014 00:00:00   ;   423,56 ;     
01.07.2014 00:00:00   ;   423,73 ;     
01.08.2014 00:00:00   ;   423,93 ;     
01.09.2014 00:00:00   ;   423,72 ;     
01.10.2014 00:00:00   ;   423,71 ;     
01.11.2014 00:00:00   ;   423,72 ;     
01.12.2014 00:00:00   ;   423,42 ;     
01.01.2015 00:00:00   ;   423,38 ;     
01.02.2015 00:00:00   ;   423,39 ;     
01.03.2015 00:00:00   ;   423,35 ;     
01.04.2015 00:00:00   ;   423,63 ;     
01.05.2015 00:00:00   ;   424,02 ;     
01.06.2015 00:00:00   ;   424,04 ;     
01.07.2015 00:00:00   ;   423,53 ;     
01.08.2015 00:00:00   ;   423,15 ;     
01.09.2015 00:00:00   ;   423,27 ;     
01.10.2015 00:00:00   ;   423,16 ;     
01.11.2015 00:00:00   ;   422,94 ;     
01.12.2015 00:00:00   ;   422,85 ;     
01.01.2016 00:00:00   ;   422,76 ;     
01.02.2016 00:00:00   ;   423,03 ;     
01.03.2016 00:00:00   ;   423,05 ;     
01.04.2016 00:00:00   ;   423,38 ;     
01.05.2016 00:00:00   ;   423,59 ;     
01.06.2016 00:00:00   ;   424,30 ;     
01.07.2016 00:00:00   ;   423,80 ;     
01.08.2016 00:00:00   ;   423,56 ;     
01.09.2016 00:00:00   ;   423,24 ;     
01.10.2016 00:00:00   ;   423,04 ;     
01.11.2016 00:00:00   ;   422,93 ;     
01.12.2016 00:00:00   ;   422,94 ;     
01.01.2017 00:00:00   ;   422,94 ;     
01.02.2017 00:00:00   ;   422,87 ;     
01.03.2017 00:00:00   ;   423,11 ;     
01.04.2017 00:00:00   ;   423,14 ;     
01.05.2017 00:00:00   ;   423,55 ;     
01.06.2017 00:00:00   ;   423,76 ;     
01.07.2017 00:00:00   ;   423,41 ;     
01.08.2017 00:00:00   ;   423,32 ;     
01.09.2017 00:00:00   ;   423,71 ;     
01.10.2017 00:00:00   ;   423,23 ;     
01.11.2017 00:00:00   ;   423,13 ;     
01.12.2017 00:00:00   ;   423,10 ;     
01.01.2018 00:00:00   ;   423,23 ;     
01.02.2018 00:00:00   ;   423,18 ;     
01.03.2018 00:00:00   ;   423,02 ;     
01.04.2018 00:00:00   ;   423,52 ;     
01.05.2018 00:00:00   ;   423,90 ;     
01.06.2018 00:00:00   ;   423,70 ;     
01.07.2018 00:00:00   ;   423,15 ;     
01.08.2018 00:00:00   ;   423,01 ;     
01.09.2018 00:00:00   ;   422,93 ;     
01.10.2018 00:00:00   ;   422,89 ;     
01.11.2018 00:00:00   ;   422,94 ;     
01.12.2018 00:00:00   ;   422,98 ;     
01.01.2019 00:00:00   ;   423,00 ;     
01.02.2019 00:00:00   ;   422,87 ;     
01.03.2019 00:00:00   ;   422,96 ;     
01.04.2019 00:00:00   ;   423,15 ;     
01.05.2019 00:00:00   ;   423,36 ;     
01.06.2019 00:00:00   ;   424,33 ;     
01.07.2019 00:00:00   ;   423,71 ;     
01.08.2019 00:00:00   ;   423,64 ;     
01.09.2019 00:00:00   ;   423,25 ;     
01.10.2019 00:00:00   ;   423,30 ;     
01.11.2019 00:00:00   ;   423,21 ;     
01.12.2019 00:00:00   ;   423,05 ;     
01.01.2020 00:00:00   ;   423,04 ;     
01.02.2020 00:00:00   ;   423,17 ;     
01.03.2020 00:00:00   ;   423,14 ;     
01.04.2020 00:00:00   ;   423,24 ;     
01.05.2020 00:00:00   ;   423,51 ;     
01.06.2020 00:00:00   ;   423,64 ;     
01.07.2020 00:00:00   ;   423,47 ;     
01.08.2020 00:00:00   ;   423,41 ;     
01.09.2020 00:00:00   ;   423,43 ;     
01.10.2020 00:00:00   ;   423,51 ;     
01.11.2020 00:00:00   ;   423,24 ;     
01.12.2020 00:00:00   ;   423,07 ;     
01.01.2021 00:00:00   ;   423,09 ;     
01.02.2021 00:00:00   ;   423,23 ;     
