Messstelle:                ;Klagenfurt, Bl 260
HZB-Nummer:                ;354266
HD-Nummer:                 ;
DBMS-Nummer:               ;2002540
PorenGW-Gebiet:            ;442 Klagenfurter Becken
Grundwasserkörper:         ;Klagenfurter Becken [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Stadtwerke Klagenfurt
Höhenangaben [m ü.A.]:     ;gültig seit: ;16.11.2021
 Geländehöhe:              ;440,75
 Messpunkthöhe:            ;441,60
 Sohllage:                 ;432,42
 T-Messtiefe u.GOK:        ;7,15
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  04.12.2008               ;14 18 04                 ;46 36 45
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2019 HG28 gerätetechnisch bedingte Datenausfälle
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2009 00:00:00   ;   435,38 ;     
01.02.2009 00:00:00   ;   435,38 ;     
01.03.2009 00:00:00   ;   435,38 ;     
01.04.2009 00:00:00   ;   435,53 ;     
01.05.2009 00:00:00   ;   435,46 ;     
01.06.2009 00:00:00   ;   435,46 ;     
01.07.2009 00:00:00   ;   435,60 ;     
01.08.2009 00:00:00   ;   435,57 ;     
01.09.2009 00:00:00   ;   435,78 ;     
01.10.2009 00:00:00   ;   435,77 ;     
01.11.2009 00:00:00   ;   435,62 ;     
01.12.2009 00:00:00   ;   435,52 ;     
01.01.2010 00:00:00   ;   435,58 ;     
01.02.2010 00:00:00   ;   435,39 ;     
01.03.2010 00:00:00   ;   435,38 ;     
01.04.2010 00:00:00   ;   435,29 ;     
01.05.2010 00:00:00   ;   435,16 ;     
01.06.2010 00:00:00   ;   435,13 ;     
01.07.2010 00:00:00   ;   435,06 ;     
01.08.2010 00:00:00   ;   435,11 ;     
01.09.2010 00:00:00   ;   435,31 ;     
01.10.2010 00:00:00   ;   435,47 ;     
01.11.2010 00:00:00   ;   435,60 ;     
01.12.2010 00:00:00   ;   435,73 ;     
01.01.2011 00:00:00   ;   435,67 ;     
01.02.2011 00:00:00   ;   435,52 ;     
01.03.2011 00:00:00   ;   435,34 ;     
01.04.2011 00:00:00   ;   435,22 ;     
01.05.2011 00:00:00   ;   435,07 ;     
01.06.2011 00:00:00   ;   435,15 ;     
01.07.2011 00:00:00   ;   435,22 ;     
01.08.2011 00:00:00   ;   435,33 ;     
01.09.2011 00:00:00   ;   435,31 ;     
