Messstelle:                ;Treibach, Bl 211
HZB-Nummer:                ;338970
HD-Nummer:                 ;
DBMS-Nummer:               ;2002150
PorenGW-Gebiet:            ;437 Krappfeld-Hauptstockwerk
Grundwasserkörper:         ;Krappfeld [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;02.01.1988
 Geländehöhe:              ;605,60
 Messpunkthöhe:            ;606,25
 Sohllage:                 ;557,15
 T-Messtiefe u.GOK:        ;48,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  07.01.1988               ;14 27 52                 ;46 51 29
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.06.1988 00:00:00   ;   566,19 ;     
01.07.1988 00:00:00   ;   566,35 ;     
01.08.1988 00:00:00   ;   566,40 ;     
01.09.1988 00:00:00   ;Lücke     ;     
01.10.1988 00:00:00   ;Lücke     ;     
01.11.1988 00:00:00   ;Lücke     ;     
01.12.1988 00:00:00   ;Lücke     ;     
01.01.1989 00:00:00   ;Lücke     ;     
01.02.1989 00:00:00   ;   565,72 ;     
01.03.1989 00:00:00   ;   565,48 ;     
01.04.1989 00:00:00   ;   565,27 ;     
01.05.1989 00:00:00   ;Lücke     ;     
01.06.1989 00:00:00   ;Lücke     ;     
01.07.1989 00:00:00   ;Lücke     ;     
01.08.1989 00:00:00   ;Lücke     ;     
01.09.1989 00:00:00   ;Lücke     ;     
01.10.1989 00:00:00   ;Lücke     ;     
01.11.1989 00:00:00   ;Lücke     ;     
01.12.1989 00:00:00   ;Lücke     ;     
01.01.1990 00:00:00   ;   565,69 ;     
01.02.1990 00:00:00   ;   565,55 ;     
01.03.1990 00:00:00   ;   565,37 ;     
01.04.1990 00:00:00   ;   565,22 ;     
01.05.1990 00:00:00   ;   565,18 ;     
01.06.1990 00:00:00   ;   565,19 ;     
01.07.1990 00:00:00   ;   565,36 ;     
01.08.1990 00:00:00   ;   565,52 ;     
01.09.1990 00:00:00   ;   565,59 ;     
01.10.1990 00:00:00   ;Lücke     ;     
01.11.1990 00:00:00   ;Lücke     ;     
01.12.1990 00:00:00   ;Lücke     ;     
01.01.1991 00:00:00   ;Lücke     ;     
01.02.1991 00:00:00   ;Lücke     ;     
01.03.1991 00:00:00   ;Lücke     ;     
01.04.1991 00:00:00   ;Lücke     ;     
01.05.1991 00:00:00   ;Lücke     ;     
01.06.1991 00:00:00   ;Lücke     ;     
01.07.1991 00:00:00   ;Lücke     ;     
01.08.1991 00:00:00   ;Lücke     ;     
01.09.1991 00:00:00   ;Lücke     ;     
01.10.1991 00:00:00   ;Lücke     ;     
01.11.1991 00:00:00   ;Lücke     ;     
01.12.1991 00:00:00   ;Lücke     ;     
01.01.1992 00:00:00   ;Lücke     ;     
01.02.1992 00:00:00   ;Lücke     ;     
01.03.1992 00:00:00   ;Lücke     ;     
01.04.1992 00:00:00   ;Lücke     ;     
01.05.1992 00:00:00   ;Lücke     ;     
01.06.1992 00:00:00   ;Lücke     ;     
01.07.1992 00:00:00   ;Lücke     ;     
01.08.1992 00:00:00   ;Lücke     ;     
01.09.1992 00:00:00   ;Lücke     ;     
01.10.1992 00:00:00   ;Lücke     ;     
01.11.1992 00:00:00   ;Lücke     ;     
01.12.1992 00:00:00   ;   566,18 ;     
01.01.1993 00:00:00   ;   566,17 ;     
01.02.1993 00:00:00   ;   566,02 ;     
01.03.1993 00:00:00   ;   565,87 ;     
01.04.1993 00:00:00   ;   565,74 ;     
01.05.1993 00:00:00   ;   565,65 ;     
01.06.1993 00:00:00   ;   565,62 ;     
01.07.1993 00:00:00   ;   565,60 ;     
01.08.1993 00:00:00   ;   565,65 ;     
01.09.1993 00:00:00   ;   565,71 ;     
01.10.1993 00:00:00   ;   565,85 ;     
01.11.1993 00:00:00   ;   566,32 ;     
01.12.1993 00:00:00   ;   566,78 ;     
01.01.1994 00:00:00   ;   567,18 ;     
01.02.1994 00:00:00   ;   567,34 ;     
01.03.1994 00:00:00   ;   567,37 ;     
01.04.1994 00:00:00   ;   567,35 ;     
01.05.1994 00:00:00   ;   567,29 ;     
01.06.1994 00:00:00   ;   567,21 ;     
01.07.1994 00:00:00   ;   567,20 ;     
01.08.1994 00:00:00   ;   567,27 ;     
01.09.1994 00:00:00   ;   567,27 ;     
01.10.1994 00:00:00   ;   567,24 ;     
01.11.1994 00:00:00   ;   567,14 ;     
01.12.1994 00:00:00   ;   566,99 ;     
01.01.1995 00:00:00   ;   566,79 ;     
01.02.1995 00:00:00   ;   566,58 ;     
01.03.1995 00:00:00   ;   566,42 ;     
01.04.1995 00:00:00   ;   566,34 ;     
01.05.1995 00:00:00   ;   566,38 ;     
01.06.1995 00:00:00   ;   566,50 ;     
01.07.1995 00:00:00   ;   566,66 ;     
01.08.1995 00:00:00   ;   566,78 ;     
01.09.1995 00:00:00   ;   566,81 ;     
01.10.1995 00:00:00   ;   566,79 ;     
01.11.1995 00:00:00   ;   566,68 ;     
01.12.1995 00:00:00   ;   566,50 ;     
01.01.1996 00:00:00   ;   566,34 ;     
01.02.1996 00:00:00   ;   566,14 ;     
01.03.1996 00:00:00   ;   565,94 ;     
01.04.1996 00:00:00   ;   565,79 ;     
01.05.1996 00:00:00   ;   565,80 ;     
01.06.1996 00:00:00   ;   565,87 ;     
01.07.1996 00:00:00   ;   566,00 ;     
01.08.1996 00:00:00   ;   566,12 ;     
01.09.1996 00:00:00   ;   566,19 ;     
01.10.1996 00:00:00   ;   566,29 ;     
01.11.1996 00:00:00   ;   566,41 ;     
01.12.1996 00:00:00   ;   566,52 ;     
01.01.1997 00:00:00   ;   566,52 ;     
01.02.1997 00:00:00   ;   566,40 ;     
01.03.1997 00:00:00   ;   566,25 ;     
01.04.1997 00:00:00   ;   566,19 ;     
01.05.1997 00:00:00   ;   566,06 ;     
