Messstelle:                ;Schachendorf, Br 1
HZB-Nummer:                ;326306
HD-Nummer:                 ;
DBMS-Nummer:               ;1002189
PorenGW-Gebiet:            ;330 Tauchenbachtal
Grundwasserkörper:         ;Gruppe Hügelland Raab Ost [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;23.04.1981
 Geländehöhe:              ;276,77
 Messpunkthöhe:            ;277,52
 Sohllage:                 ;268,94
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  23.04.1981               ;16 26 08                 ;47 15 48
  22.04.1981               ;16 26 04                 ;47 15 46
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2014 HG29 Daten zeitweise wegen zu großer Beeinflussung nicht auswertbar
  2015 HG28 gerätetechnisch bedingte Datenausfälle
  2015 HG13 fehlende Monatsmittel zufolge Beobachterausfall
  2016 HG13 fehlende Monatsmittel zufolge Beobachterausfall
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1988 00:00:00   ;   274,11 ;     
01.02.1988 00:00:00   ;   274,79 ;     
01.03.1988 00:00:00   ;   274,69 ;     
01.04.1988 00:00:00   ;   274,39 ;     
01.05.1988 00:00:00   ;   274,28 ;     
01.06.1988 00:00:00   ;   274,56 ;     
01.07.1988 00:00:00   ;   274,29 ;     
01.08.1988 00:00:00   ;   273,91 ;     
01.09.1988 00:00:00   ;   274,39 ;     
01.10.1988 00:00:00   ;   273,92 ;     
01.11.1988 00:00:00   ;   273,63 ;     
01.12.1988 00:00:00   ;   273,79 ;     
01.01.1989 00:00:00   ;   273,49 ;     
01.02.1989 00:00:00   ;   273,37 ;     
01.03.1989 00:00:00   ;   273,76 ;     
01.04.1989 00:00:00   ;   273,90 ;     
01.05.1989 00:00:00   ;   274,36 ;     
01.06.1989 00:00:00   ;   274,51 ;     
01.07.1989 00:00:00   ;   274,28 ;     
01.08.1989 00:00:00   ;   274,25 ;     
01.09.1989 00:00:00   ;   274,30 ;     
01.10.1989 00:00:00   ;   273,74 ;     
01.11.1989 00:00:00   ;   273,45 ;     
01.12.1989 00:00:00   ;   273,26 ;     
01.01.1990 00:00:00   ;   273,17 ;     
01.02.1990 00:00:00   ;   273,25 ;     
01.03.1990 00:00:00   ;   273,13 ;     
01.04.1990 00:00:00   ;   273,84 ;     
01.05.1990 00:00:00   ;   274,11 ;     
01.06.1990 00:00:00   ;   274,54 ;     
01.07.1990 00:00:00   ;   274,41 ;     
01.08.1990 00:00:00   ;   273,40 ;     
