Messstelle:                ;St. Peter, Bl 26.16
HZB-Nummer:                ;377937
HD-Nummer:                 ;2126.016
DBMS-Nummer:               ;4002825
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;18.01.2009
 Geländehöhe:              ;252,28
 Messpunkthöhe:            ;253,26
 Sohllage:                 ;242,82
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 20 55                 ;48 16 12
  01.01.2003               ;14 21 05                 ;48 16 17
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2000 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.12.1999 00:00:00   ;   247,91 ;     
01.01.2000 00:00:00   ;   247,73 ;     
01.02.2000 00:00:00   ;   247,71 ;     
01.03.2000 00:00:00   ;   247,68 ;     
01.04.2000 00:00:00   ;   247,69 ;     
01.05.2000 00:00:00   ;   247,72 ;     
01.06.2000 00:00:00   ;   247,52 ;     
01.07.2000 00:00:00   ;   247,50 ;     
01.08.2000 00:00:00   ;   247,64 ;     
01.09.2000 00:00:00   ;   247,62 ;     
