Messstelle:                ;Nickelsdorf, Bl 28
HZB-Nummer:                ;345157
HD-Nummer:                 ;
DBMS-Nummer:               ;1002319
PorenGW-Gebiet:            ;288 Heideboden
Grundwasserkörper:         ;Heideboden [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;19.02.2002
 Geländehöhe:              ;131,27
 Messpunkthöhe:            ;131,72
 Sohllage:                 ;119,67
 T-Messtiefe u.GOK:        ;9,65
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.08.1995               ;17 03 26                 ;47 58 27
  31.07.1995               ;17 03 26                 ;47 58 27
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.08.1995 00:00:00   ;   129,69 ;     
01.09.1995 00:00:00   ;   130,31 ;     
01.10.1995 00:00:00   ;   130,35 ;     
01.11.1995 00:00:00   ;   130,44 ;     
01.12.1995 00:00:00   ;   130,75 ;     
01.01.1996 00:00:00   ;   131,01 ;     
01.02.1996 00:00:00   ;   131,01 ;     
01.03.1996 00:00:00   ;   131,00 ;     
01.04.1996 00:00:00   ;   131,01 ;     
01.05.1996 00:00:00   ;   131,06 ;     
01.06.1996 00:00:00   ;   130,70 ;     
01.07.1996 00:00:00   ;   130,57 ;     
01.08.1996 00:00:00   ;   130,17 ;     
01.09.1996 00:00:00   ;   130,70 ;     
01.10.1996 00:00:00   ;   130,85 ;     
01.11.1996 00:00:00   ;   130,91 ;     
01.12.1996 00:00:00   ;   130,76 ;     
01.01.1997 00:00:00   ;   130,75 ;     
01.02.1997 00:00:00   ;   130,79 ;     
01.03.1997 00:00:00   ;   130,82 ;     
01.04.1997 00:00:00   ;   130,95 ;     
01.05.1997 00:00:00   ;   130,71 ;     
01.06.1997 00:00:00   ;   130,45 ;     
01.07.1997 00:00:00   ;   130,91 ;     
01.08.1997 00:00:00   ;   130,60 ;     
01.09.1997 00:00:00   ;   130,18 ;     
01.10.1997 00:00:00   ;   130,24 ;     
01.11.1997 00:00:00   ;   130,43 ;     
01.12.1997 00:00:00   ;   130,73 ;     
01.01.1998 00:00:00   ;   130,70 ;     
01.02.1998 00:00:00   ;   130,48 ;     
01.03.1998 00:00:00   ;   130,46 ;     
01.04.1998 00:00:00   ;   130,51 ;     
01.05.1998 00:00:00   ;   130,21 ;     
01.06.1998 00:00:00   ;   130,06 ;     
01.07.1998 00:00:00   ;   130,06 ;     
01.08.1998 00:00:00   ;   129,78 ;     
01.09.1998 00:00:00   ;   130,24 ;     
01.10.1998 00:00:00   ;   130,54 ;     
01.11.1998 00:00:00   ;   130,68 ;     
01.12.1998 00:00:00   ;   130,71 ;     
01.01.1999 00:00:00   ;   130,67 ;     
01.02.1999 00:00:00   ;   130,82 ;     
01.03.1999 00:00:00   ;   130,81 ;     
01.04.1999 00:00:00   ;   130,69 ;     
