Messstelle:                ;Kleblach-Lind, Bl 412
HZB-Nummer:                ;317933
HD-Nummer:                 ;
DBMS-Nummer:               ;2002077
PorenGW-Gebiet:            ;410 Oberes Drautal
Grundwasserkörper:         ;Drautal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;26.04.2016
 Geländehöhe:              ;573,21
 Messpunkthöhe:            ;574,21
 Sohllage:                 ;566,21
 T-Messtiefe u.GOK:        ;6,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  15.01.2015               ;13 18 14                 ;46 45 12
  31.03.1987               ;13 18 09                 ;46 45 11
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.04.1988 00:00:00   ;   570,28 ;     
01.05.1988 00:00:00   ;   570,86 ;     
01.06.1988 00:00:00   ;   570,98 ;     
01.07.1988 00:00:00   ;   571,15 ;     
01.08.1988 00:00:00   ;   570,98 ;     
01.09.1988 00:00:00   ;   570,72 ;     
01.10.1988 00:00:00   ;   570,40 ;     
01.11.1988 00:00:00   ;   570,14 ;     
01.12.1988 00:00:00   ;   570,03 ;     
01.01.1989 00:00:00   ;   569,95 ;     
01.02.1989 00:00:00   ;   569,94 ;     
01.03.1989 00:00:00   ;   570,03 ;     
01.04.1989 00:00:00   ;   570,24 ;     
01.05.1989 00:00:00   ;   570,65 ;     
01.06.1989 00:00:00   ;   570,97 ;     
01.07.1989 00:00:00   ;   571,46 ;     
01.08.1989 00:00:00   ;   570,92 ;     
01.09.1989 00:00:00   ;   570,44 ;     
01.10.1989 00:00:00   ;   570,17 ;     
01.11.1989 00:00:00   ;   570,12 ;     
01.12.1989 00:00:00   ;   570,05 ;     
01.01.1990 00:00:00   ;   569,99 ;     
01.02.1990 00:00:00   ;   569,92 ;     
01.03.1990 00:00:00   ;   569,99 ;     
01.04.1990 00:00:00   ;   570,12 ;     
01.05.1990 00:00:00   ;   570,58 ;     
01.06.1990 00:00:00   ;   570,86 ;     
01.07.1990 00:00:00   ;   571,19 ;     
01.08.1990 00:00:00   ;   570,65 ;     
01.09.1990 00:00:00   ;   570,28 ;     
01.10.1990 00:00:00   ;   570,22 ;     
01.11.1990 00:00:00   ;   570,35 ;     
01.12.1990 00:00:00   ;   570,22 ;     
01.01.1991 00:00:00   ;   570,01 ;     
01.02.1991 00:00:00   ;   569,98 ;     
01.03.1991 00:00:00   ;   570,28 ;     
01.04.1991 00:00:00   ;   570,24 ;     
01.05.1991 00:00:00   ;   570,37 ;     
01.06.1991 00:00:00   ;   571,49 ;     
01.07.1991 00:00:00   ;   571,45 ;     
01.08.1991 00:00:00   ;   570,94 ;     
01.09.1991 00:00:00   ;   570,47 ;     
01.10.1991 00:00:00   ;   570,30 ;     
01.11.1991 00:00:00   ;   570,10 ;     
01.12.1991 00:00:00   ;   570,00 ;     
01.01.1992 00:00:00   ;   569,92 ;     
01.02.1992 00:00:00   ;   569,92 ;     
01.03.1992 00:00:00   ;   570,04 ;     
01.04.1992 00:00:00   ;   570,34 ;     
01.05.1992 00:00:00   ;   570,99 ;     
01.06.1992 00:00:00   ;   571,12 ;     
01.07.1992 00:00:00   ;   570,90 ;     
01.08.1992 00:00:00   ;   570,67 ;     
01.09.1992 00:00:00   ;   570,43 ;     
01.10.1992 00:00:00   ;   570,61 ;     
01.11.1992 00:00:00   ;   570,36 ;     
01.12.1992 00:00:00   ;   570,20 ;     
01.01.1993 00:00:00   ;   569,99 ;     
01.02.1993 00:00:00   ;   569,92 ;     
01.03.1993 00:00:00   ;   569,94 ;     
01.04.1993 00:00:00   ;   570,01 ;     
01.05.1993 00:00:00   ;   570,57 ;     
01.06.1993 00:00:00   ;   570,94 ;     
01.07.1993 00:00:00   ;   570,88 ;     
01.08.1993 00:00:00   ;   570,76 ;     
01.09.1993 00:00:00   ;Lücke     ;     
01.10.1993 00:00:00   ;Lücke     ;     
01.11.1993 00:00:00   ;   570,59 ;     
01.12.1993 00:00:00   ;   570,18 ;     
01.01.1994 00:00:00   ;   570,13 ;     
01.02.1994 00:00:00   ;   570,00 ;     
01.03.1994 00:00:00   ;   570,07 ;     
01.04.1994 00:00:00   ;   570,15 ;     
01.05.1994 00:00:00   ;   570,73 ;     
01.06.1994 00:00:00   ;   570,96 ;     
01.07.1994 00:00:00   ;   571,04 ;     
01.08.1994 00:00:00   ;   570,77 ;     
01.09.1994 00:00:00   ;   570,95 ;     
01.10.1994 00:00:00   ;   570,40 ;     
01.11.1994 00:00:00   ;   570,15 ;     
01.12.1994 00:00:00   ;   570,01 ;     
01.01.1995 00:00:00   ;   569,94 ;     
01.02.1995 00:00:00   ;   569,92 ;     
01.03.1995 00:00:00   ;   569,94 ;     
01.04.1995 00:00:00   ;   570,04 ;     
01.05.1995 00:00:00   ;   570,36 ;     
01.06.1995 00:00:00   ;   571,22 ;     
01.07.1995 00:00:00   ;   571,21 ;     
01.08.1995 00:00:00   ;   570,70 ;     
01.09.1995 00:00:00   ;   570,67 ;     
01.10.1995 00:00:00   ;   570,27 ;     
01.11.1995 00:00:00   ;   570,03 ;     
01.12.1995 00:00:00   ;   569,96 ;     
01.01.1996 00:00:00   ;   569,92 ;     
01.02.1996 00:00:00   ;   569,87 ;     
01.03.1996 00:00:00   ;   569,91 ;     
01.04.1996 00:00:00   ;   569,98 ;     
01.05.1996 00:00:00   ;   570,51 ;     
01.06.1996 00:00:00   ;   570,83 ;     
01.07.1996 00:00:00   ;   570,86 ;     
01.08.1996 00:00:00   ;   570,78 ;     
01.09.1996 00:00:00   ;   570,47 ;     
01.10.1996 00:00:00   ;   571,00 ;     
01.11.1996 00:00:00   ;   570,82 ;     
01.12.1996 00:00:00   ;   570,28 ;     
01.01.1997 00:00:00   ;   570,09 ;     
01.02.1997 00:00:00   ;   570,06 ;     
01.03.1997 00:00:00   ;   570,07 ;     
01.04.1997 00:00:00   ;   570,05 ;     
01.05.1997 00:00:00   ;   570,65 ;     
01.06.1997 00:00:00   ;   571,31 ;     
01.07.1997 00:00:00   ;   571,15 ;     
01.08.1997 00:00:00   ;   570,94 ;     
01.09.1997 00:00:00   ;   570,64 ;     
01.10.1997 00:00:00   ;   570,36 ;     
01.11.1997 00:00:00   ;   570,19 ;     
01.12.1997 00:00:00   ;   570,10 ;     
01.01.1998 00:00:00   ;   570,01 ;     
01.02.1998 00:00:00   ;   569,94 ;     
01.03.1998 00:00:00   ;   569,94 ;     
01.04.1998 00:00:00   ;   570,06 ;     
01.05.1998 00:00:00   ;   570,65 ;     
01.06.1998 00:00:00   ;   570,97 ;     
01.07.1998 00:00:00   ;   571,10 ;     
01.08.1998 00:00:00   ;   570,80 ;     
01.09.1998 00:00:00   ;   570,74 ;     
01.10.1998 00:00:00   ;   571,13 ;     
01.11.1998 00:00:00   ;   570,37 ;     
01.12.1998 00:00:00   ;   570,11 ;     
01.01.1999 00:00:00   ;   570,00 ;     
01.02.1999 00:00:00   ;   569,95 ;     
01.03.1999 00:00:00   ;   570,01 ;     
01.04.1999 00:00:00   ;   570,19 ;     
01.05.1999 00:00:00   ;   571,01 ;     
01.06.1999 00:00:00   ;   571,13 ;     
01.07.1999 00:00:00   ;   571,15 ;     
01.08.1999 00:00:00   ;   571,07 ;     
01.09.1999 00:00:00   ;   570,82 ;     
01.10.1999 00:00:00   ;   570,64 ;     
01.11.1999 00:00:00   ;   570,32 ;     
01.12.1999 00:00:00   ;   570,15 ;     
01.01.2000 00:00:00   ;   570,09 ;     
01.02.2000 00:00:00   ;   570,04 ;     
01.03.2000 00:00:00   ;   570,05 ;     
01.04.2000 00:00:00   ;   570,42 ;     
01.05.2000 00:00:00   ;   571,20 ;     
01.06.2000 00:00:00   ;   571,48 ;     
01.07.2000 00:00:00   ;   571,38 ;     
01.08.2000 00:00:00   ;   570,97 ;     
01.09.2000 00:00:00   ;   570,50 ;     
01.10.2000 00:00:00   ;   571,29 ;     
01.11.2000 00:00:00   ;   571,24 ;     
01.12.2000 00:00:00   ;   570,54 ;     
01.01.2001 00:00:00   ;   570,39 ;     
