Messstelle:                ;Klagenfurt, Bl 269
HZB-Nummer:                ;361584
HD-Nummer:                 ;
DBMS-Nummer:               ;2900111
PorenGW-Gebiet:            ;442 Klagenfurter Becken
Grundwasserkörper:         ;Klagenfurter Becken [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Stadtwerke Klagenfurt
Höhenangaben [m ü.A.]:     ;gültig seit: ;21.10.2016
 Geländehöhe:              ;439,95
 Messpunkthöhe:            ;440,93
 Sohllage:                 ;432,03
 T-Messtiefe u.GOK:        ;7,02
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  21.10.2016               ;14 16 43                 ;46 36 19
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.11.2016 00:00:00   ;   438,77 ;     
01.12.2016 00:00:00   ;   438,56 ;     
01.01.2017 00:00:00   ;   438,42 ;     
01.02.2017 00:00:00   ;   438,34 ;     
01.03.2017 00:00:00   ;   438,50 ;     
01.04.2017 00:00:00   ;   438,40 ;     
01.05.2017 00:00:00   ;   438,49 ;     
01.06.2017 00:00:00   ;   438,47 ;     
01.07.2017 00:00:00   ;   438,43 ;     
01.08.2017 00:00:00   ;   438,45 ;     
01.09.2017 00:00:00   ;   439,03 ;     
01.10.2017 00:00:00   ;   438,77 ;     
01.11.2017 00:00:00   ;   438,75 ;     
01.12.2017 00:00:00   ;   438,97 ;     
01.01.2018 00:00:00   ;   438,89 ;     
01.02.2018 00:00:00   ;   438,64 ;     
01.03.2018 00:00:00   ;   438,76 ;     
01.04.2018 00:00:00   ;   438,74 ;     
01.05.2018 00:00:00   ;   438,66 ;     
01.06.2018 00:00:00   ;   438,58 ;     
01.07.2018 00:00:00   ;   438,46 ;     
01.08.2018 00:00:00   ;   438,39 ;     
01.09.2018 00:00:00   ;   438,40 ;     
01.10.2018 00:00:00   ;   438,32 ;     
01.11.2018 00:00:00   ;   438,47 ;     
01.12.2018 00:00:00   ;   438,45 ;     
01.01.2019 00:00:00   ;   438,35 ;     
01.02.2019 00:00:00   ;   438,61 ;     
01.03.2019 00:00:00   ;   438,56 ;     
01.04.2019 00:00:00   ;   438,50 ;     
01.05.2019 00:00:00   ;   438,71 ;     
01.06.2019 00:00:00   ;   438,71 ;     
01.07.2019 00:00:00   ;   438,48 ;     
01.08.2019 00:00:00   ;   438,46 ;     
01.09.2019 00:00:00   ;   438,49 ;     
01.10.2019 00:00:00   ;   438,51 ;     
01.11.2019 00:00:00   ;   439,15 ;     
01.12.2019 00:00:00   ;   439,10 ;     
01.01.2020 00:00:00   ;   438,82 ;     
01.02.2020 00:00:00   ;   438,49 ;     
01.03.2020 00:00:00   ;   438,50 ;     
01.04.2020 00:00:00   ;   438,41 ;     
01.05.2020 00:00:00   ;   438,45 ;     
01.06.2020 00:00:00   ;   438,65 ;     
01.07.2020 00:00:00   ;   438,89 ;     
01.08.2020 00:00:00   ;   438,90 ;     
01.09.2020 00:00:00   ;   438,90 ;     
01.10.2020 00:00:00   ;   439,49 ;     
01.11.2020 00:00:00   ;   439,13 ;     
01.12.2020 00:00:00   ;   439,32 ;     
01.01.2021 00:00:00   ;   439,16 ;     
01.02.2021 00:00:00   ;   439,29 ;     
01.03.2021 00:00:00   ;   438,91 ;     
01.04.2021 00:00:00   ;   438,68 ;     
01.05.2021 00:00:00   ;   438,95 ;     
01.06.2021 00:00:00   ;   438,89 ;     
01.07.2021 00:00:00   ;   438,68 ;     
01.08.2021 00:00:00   ;   438,66 ;     
01.09.2021 00:00:00   ;   438,65 ;     
01.10.2021 00:00:00   ;   438,49 ;     
01.11.2021 00:00:00   ;   438,55 ;     
01.12.2021 00:00:00   ;   438,70 ;     
01.01.2022 00:00:00   ;Lücke         ; 
