Messstelle:                ;Eckartsau, Bl 1892.3
HZB-Nummer:                ;356147
HD-Nummer:                 ;3HD39203
DBMS-Nummer:               ;10001124
Fremdnummer:               ;1892.003
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;via donau (WSD)
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;19.04.2012
 Geländehöhe:              ;145,02
 Messpunkthöhe:            ;145,98
 Sohllage:                 ;137,97
 T-Messtiefe u.GOK:        ;7,70
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.10.2021               ;16 49 46                 ;48 07 40
  01.01.2010               ;16 49 44                 ;48 07 39
  02.07.1982               ;16 49 44                 ;48 07 39
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1998 00:00:00   ;   141,26 ;     
01.02.1998 00:00:00   ;   141,04 ;     
01.03.1998 00:00:00   ;   141,45 ;     
01.04.1998 00:00:00   ;   141,73 ;     
01.05.1998 00:00:00   ;   141,54 ;     
01.06.1998 00:00:00   ;   141,59 ;     
01.07.1998 00:00:00   ;   141,67 ;     
01.08.1998 00:00:00   ;   141,31 ;     
01.09.1998 00:00:00   ;   141,52 ;     
01.10.1998 00:00:00   ;   141,64 ;     
01.11.1998 00:00:00   ;Lücke     ;     
01.12.1998 00:00:00   ;   142,34 ;     
01.01.1999 00:00:00   ;   141,84 ;     
01.02.1999 00:00:00   ;Lücke     ;     
01.03.1999 00:00:00   ;Lücke     ;     
01.04.1999 00:00:00   ;   142,65 ;     
01.05.1999 00:00:00   ;   143,39 ;     
01.06.1999 00:00:00   ;Lücke     ;     
01.07.1999 00:00:00   ;   142,71 ;     
01.08.1999 00:00:00   ;   142,07 ;     
01.09.1999 00:00:00   ;   141,68 ;     
01.10.1999 00:00:00   ;   141,40 ;     
01.11.1999 00:00:00   ;   141,17 ;     
01.12.1999 00:00:00   ;Lücke     ;     
01.01.2000 00:00:00   ;Lücke     ;     
01.02.2000 00:00:00   ;   142,38 ;     
01.03.2000 00:00:00   ;   142,79 ;     
01.04.2000 00:00:00   ;   143,06 ;     
01.05.2000 00:00:00   ;   142,92 ;     
01.06.2000 00:00:00   ;   142,25 ;     
01.07.2000 00:00:00   ;   141,80 ;     
01.08.2000 00:00:00   ;   142,16 ;     
01.09.2000 00:00:00   ;   141,61 ;     
01.10.2000 00:00:00   ;   141,69 ;     
01.11.2000 00:00:00   ;   141,30 ;     
01.12.2000 00:00:00   ;   141,17 ;     
01.01.2001 00:00:00   ;Lücke     ;     
01.02.2001 00:00:00   ;   141,36 ;     
01.03.2001 00:00:00   ;   141,99 ;     
01.04.2001 00:00:00   ;   142,70 ;     
01.05.2001 00:00:00   ;   142,30 ;     
01.06.2001 00:00:00   ;   142,60 ;     
01.07.2001 00:00:00   ;   142,23 ;     
