Messstelle:                ;Möllbrücke, Bl 646
HZB-Nummer:                ;359950
HD-Nummer:                 ;
DBMS-Nummer:               ;2900065
PorenGW-Gebiet:            ;412 Lurnfeld
Grundwasserkörper:         ;Drautal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Österreichische Draukraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;25.05.2023
 Geländehöhe:              ;555,98
 Messpunkthöhe:            ;556,92
 Sohllage:                 ;547,97
 T-Messtiefe u.GOK:        ;7,06
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  10.12.2014               ;13 22 36                 ;46 49 54
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2015 00:00:00   ;   551,23 ;     
01.02.2015 00:00:00   ;   551,21 ;     
01.03.2015 00:00:00   ;   551,10 ;     
01.04.2015 00:00:00   ;   551,11 ;     
01.05.2015 00:00:00   ;   551,38 ;     
01.06.2015 00:00:00   ;   551,47 ;     
01.07.2015 00:00:00   ;   551,38 ;     
01.08.2015 00:00:00   ;   551,40 ;     
01.09.2015 00:00:00   ;   551,23 ;     
01.10.2015 00:00:00   ;   551,25 ;     
01.11.2015 00:00:00   ;   551,12 ;     
01.12.2015 00:00:00   ;   550,99 ;     
01.01.2016 00:00:00   ;   550,93 ;     
01.02.2016 00:00:00   ;   550,91 ;     
01.03.2016 00:00:00   ;   551,04 ;     
01.04.2016 00:00:00   ;   551,14 ;     
01.05.2016 00:00:00   ;   551,20 ;     
01.06.2016 00:00:00   ;   551,60 ;     
01.07.2016 00:00:00   ;   551,53 ;     
01.08.2016 00:00:00   ;   551,42 ;     
01.09.2016 00:00:00   ;   551,24 ;     
01.10.2016 00:00:00   ;   551,15 ;     
01.11.2016 00:00:00   ;   551,13 ;     
01.12.2016 00:00:00   ;   551,07 ;     
01.01.2017 00:00:00   ;   550,99 ;     
01.02.2017 00:00:00   ;   550,94 ;     
01.03.2017 00:00:00   ;   550,95 ;     
01.04.2017 00:00:00   ;   550,99 ;     
01.05.2017 00:00:00   ;   551,16 ;     
01.06.2017 00:00:00   ;   551,34 ;     
01.07.2017 00:00:00   ;   551,38 ;     
01.08.2017 00:00:00   ;   551,44 ;     
01.09.2017 00:00:00   ;   551,43 ;     
01.10.2017 00:00:00   ;   551,22 ;     
01.11.2017 00:00:00   ;   551,12 ;     
01.12.2017 00:00:00   ;   551,10 ;     
01.01.2018 00:00:00   ;   551,12 ;     
01.02.2018 00:00:00   ;   551,13 ;     
01.03.2018 00:00:00   ;   551,16 ;     
01.04.2018 00:00:00   ;   551,38 ;     
01.05.2018 00:00:00   ;   551,61 ;     
01.06.2018 00:00:00   ;   551,57 ;     
01.07.2018 00:00:00   ;   551,34 ;     
01.08.2018 00:00:00   ;   551,25 ;     
01.09.2018 00:00:00   ;   551,28 ;     
01.10.2018 00:00:00   ;   551,19 ;     
01.11.2018 00:00:00   ;   551,56 ;     
01.12.2018 00:00:00   ;   551,17 ;     
01.01.2019 00:00:00   ;   551,06 ;     
01.02.2019 00:00:00   ;   551,15 ;     
01.03.2019 00:00:00   ;   551,13 ;     
01.04.2019 00:00:00   ;   551,22 ;     
01.05.2019 00:00:00   ;   551,31 ;     
01.06.2019 00:00:00   ;   551,78 ;     
01.07.2019 00:00:00   ;   551,44 ;     
01.08.2019 00:00:00   ;   551,30 ;     
01.09.2019 00:00:00   ;   551,26 ;     
01.10.2019 00:00:00   ;   551,15 ;     
01.11.2019 00:00:00   ;   551,59 ;     
01.12.2019 00:00:00   ;   551,32 ;     
01.01.2020 00:00:00   ;   551,17 ;     
01.02.2020 00:00:00   ;   551,04 ;     
01.03.2020 00:00:00   ;   551,06 ;     
01.04.2020 00:00:00   ;   551,18 ;     
01.05.2020 00:00:00   ;   551,45 ;     
01.06.2020 00:00:00   ;   551,56 ;     
01.07.2020 00:00:00   ;   551,55 ;     
01.08.2020 00:00:00   ;   551,54 ;     
01.09.2020 00:00:00   ;   551,58 ;     
01.10.2020 00:00:00   ;   551,55 ;     
01.11.2020 00:00:00   ;   551,36 ;     
01.12.2020 00:00:00   ;   551,40 ;     
01.01.2021 00:00:00   ;   551,23 ;     
01.02.2021 00:00:00   ;   551,33 ;     
01.03.2021 00:00:00   ;   551,33 ;     
01.04.2021 00:00:00   ;   551,27 ;     
01.05.2021 00:00:00   ;   551,44 ;     
01.06.2021 00:00:00   ;   551,98 ;     
01.07.2021 00:00:00   ;   551,69 ;     
01.08.2021 00:00:00   ;   551,56 ;     
01.09.2021 00:00:00   ;   551,26 ;     
01.10.2021 00:00:00   ;   551,16 ;     
01.11.2021 00:00:00   ;   551,14 ;     
01.12.2021 00:00:00   ;   551,05 ;     
01.01.2022 00:00:00   ;Lücke         ; 
