Messstelle:                ;Baumgarten, Bl 2097.013
HZB-Nummer:                ;314591
HD-Nummer:                 ;2097.013
DBMS-Nummer:               ;4002325
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Wasserverband Naarn
Höhenangaben [m ü.A.]:     ;gültig seit: ;05.03.1968
 Geländehöhe:              ;239,48
 Messpunkthöhe:            ;240,28
 Sohllage:                 ;234,34
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 40 31                 ;48 12 58
  01.01.2003               ;14 40 42                 ;48 12 59
  05.03.1968               ;14 40 42                 ;48 12 59
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
FEHLER
FEHLER
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  1970 AKorr 2001: Regimeänderung durch Frussregulierung
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.12.2017 00:00:00   ;   236,11 ;     
01.01.2018 00:00:00   ;   236,46 ;     
01.02.2018 00:00:00   ;   236,47 ;     
01.03.2018 00:00:00   ;   236,36 ;     
01.04.2018 00:00:00   ;   236,31 ;     
01.05.2018 00:00:00   ;   236,24 ;     
01.06.2018 00:00:00   ;   236,21 ;     
01.07.2018 00:00:00   ;   236,15 ;     
01.08.2018 00:00:00   ;   236,08 ;     
01.09.2018 00:00:00   ;   236,01 ;     
01.10.2018 00:00:00   ;   235,95 ;     
01.11.2018 00:00:00   ;   235,90 ;     
01.12.2018 00:00:00   ;   236,04 ;     
01.01.2019 00:00:00   ;   236,28 ;     
01.02.2019 00:00:00   ;   236,30 ;     
01.03.2019 00:00:00   ;   236,76 ;     
01.04.2019 00:00:00   ;   236,42 ;     
01.05.2019 00:00:00   ;   236,42 ;     
01.06.2019 00:00:00   ;   236,46 ;     
01.07.2019 00:00:00   ;   236,34 ;     
01.08.2019 00:00:00   ;   236,23 ;     
01.09.2019 00:00:00   ;   236,14 ;     
01.10.2019 00:00:00   ;   236,06 ;     
01.11.2019 00:00:00   ;   236,00 ;     
01.12.2019 00:00:00   ;   235,96 ;     
01.01.2020 00:00:00   ;   235,98 ;     
01.02.2020 00:00:00   ;   236,30 ;     
01.03.2020 00:00:00   ;   236,32 ;     
01.04.2020 00:00:00   ;   236,21 ;     
01.05.2020 00:00:00   ;   236,14 ;     
01.06.2020 00:00:00   ;   236,35 ;     
01.07.2020 00:00:00   ;   236,51 ;     
01.08.2020 00:00:00   ;   236,58 ;     
01.09.2020 00:00:00   ;   236,50 ;     
01.10.2020 00:00:00   ;   236,47 ;     
01.11.2020 00:00:00   ;   236,57 ;     
01.12.2020 00:00:00   ;   236,47 ;     
01.01.2021 00:00:00   ;   236,40 ;     
01.02.2021 00:00:00   ;   236,60 ;     
01.03.2021 00:00:00   ;   236,44 ;     
01.04.2021 00:00:00   ;   236,39 ;     
01.05.2021 00:00:00   ;   236,44 ;     
01.06.2021 00:00:00   ;   236,48 ;     
01.07.2021 00:00:00   ;   236,41 ;     
01.08.2021 00:00:00   ;   236,51 ;     
01.09.2021 00:00:00   ;   236,40 ;     
01.10.2021 00:00:00   ;   236,25 ;     
01.11.2021 00:00:00   ;   236,17 ;     
01.12.2021 00:00:00   ;   236,14 ;     
01.01.2022 00:00:00   ;Lücke         ; 
