Messstelle:                ;Marchtrenk, Br 23.11
HZB-Nummer:                ;375600
HD-Nummer:                 ;W23.11
DBMS-Nummer:               ;4002959
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;08.05.1992
 Geländehöhe:              ;304,32
 Messpunkthöhe:            ;304,77
 Sohllage:                 ;294,01
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 06 25                 ;48 11 42
  01.01.2003               ;14 06 27                 ;48 11 44
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1993 00:00:00   ;   295,98 ;     
01.02.1993 00:00:00   ;   295,98 ;     
01.03.1993 00:00:00   ;   296,02 ;     
01.04.1993 00:00:00   ;   296,09 ;     
01.05.1993 00:00:00   ;   295,91 ;     
01.06.1993 00:00:00   ;   295,74 ;     
01.07.1993 00:00:00   ;   295,54 ;     
01.08.1993 00:00:00   ;   295,54 ;     
01.09.1993 00:00:00   ;   295,61 ;     
01.10.1993 00:00:00   ;   295,65 ;     
01.11.1993 00:00:00   ;   295,64 ;     
01.12.1993 00:00:00   ;   295,62 ;     
01.01.1994 00:00:00   ;   295,97 ;     
01.02.1994 00:00:00   ;   296,26 ;     
01.03.1994 00:00:00   ;   296,25 ;     
01.04.1994 00:00:00   ;   296,74 ;     
01.05.1994 00:00:00   ;   296,95 ;     
01.06.1994 00:00:00   ;   296,65 ;     
01.07.1994 00:00:00   ;   296,24 ;     
01.08.1994 00:00:00   ;   295,85 ;     
01.09.1994 00:00:00   ;   295,60 ;     
01.10.1994 00:00:00   ;   295,43 ;     
01.11.1994 00:00:00   ;   295,33 ;     
01.12.1994 00:00:00   ;   295,39 ;     
01.01.1995 00:00:00   ;   295,58 ;     
01.02.1995 00:00:00   ;   295,85 ;     
01.03.1995 00:00:00   ;   296,17 ;     
01.04.1995 00:00:00   ;   296,35 ;     
01.05.1995 00:00:00   ;   296,40 ;     
01.06.1995 00:00:00   ;   296,26 ;     
01.07.1995 00:00:00   ;   296,15 ;     
01.08.1995 00:00:00   ;   295,90 ;     
01.09.1995 00:00:00   ;   295,81 ;     
01.10.1995 00:00:00   ;   295,83 ;     
01.11.1995 00:00:00   ;   295,72 ;     
01.12.1995 00:00:00   ;   295,71 ;     
01.01.1996 00:00:00   ;   295,90 ;     
01.02.1996 00:00:00   ;   295,75 ;     
01.03.1996 00:00:00   ;   295,58 ;     
01.04.1996 00:00:00   ;   295,73 ;     
01.05.1996 00:00:00   ;   296,21 ;     
01.06.1996 00:00:00   ;   296,69 ;     
01.07.1996 00:00:00   ;   296,59 ;     
01.08.1996 00:00:00   ;   296,36 ;     
01.09.1996 00:00:00   ;   296,17 ;     
01.10.1996 00:00:00   ;   296,10 ;     
01.11.1996 00:00:00   ;   296,21 ;     
01.12.1996 00:00:00   ;   296,22 ;     
01.01.1997 00:00:00   ;   296,00 ;     
01.02.1997 00:00:00   ;   295,74 ;     
01.03.1997 00:00:00   ;   295,98 ;     
01.04.1997 00:00:00   ;   296,35 ;     
01.05.1997 00:00:00   ;   296,50 ;     
01.06.1997 00:00:00   ;   296,34 ;     
01.07.1997 00:00:00   ;   296,25 ;     
01.08.1997 00:00:00   ;   296,43 ;     
01.09.1997 00:00:00   ;   296,24 ;     
01.10.1997 00:00:00   ;   296,05 ;     
01.11.1997 00:00:00   ;   295,81 ;     
01.12.1997 00:00:00   ;   295,84 ;     
01.01.1998 00:00:00   ;   295,89 ;     
01.02.1998 00:00:00   ;   295,72 ;     
01.03.1998 00:00:00   ;   295,64 ;     
01.04.1998 00:00:00   ;   295,64 ;     
01.05.1998 00:00:00   ;   295,55 ;     
01.06.1998 00:00:00   ;   295,49 ;     
01.07.1998 00:00:00   ;   295,43 ;     
01.08.1998 00:00:00   ;   295,41 ;     
01.09.1998 00:00:00   ;   295,38 ;     
01.10.1998 00:00:00   ;   295,38 ;     
01.11.1998 00:00:00   ;   295,58 ;     
01.12.1998 00:00:00   ;   295,72 ;     
01.01.1999 00:00:00   ;   295,74 ;     
01.02.1999 00:00:00   ;   295,80 ;     
01.03.1999 00:00:00   ;   296,37 ;     
01.04.1999 00:00:00   ;   296,23 ;     
01.05.1999 00:00:00   ;   296,21 ;     
01.06.1999 00:00:00   ;   296,03 ;     
01.07.1999 00:00:00   ;   295,84 ;     
01.08.1999 00:00:00   ;   295,62 ;     
01.09.1999 00:00:00   ;   295,48 ;     
01.10.1999 00:00:00   ;   295,36 ;     
01.11.1999 00:00:00   ;   295,25 ;     
01.12.1999 00:00:00   ;   295,21 ;     
01.01.2000 00:00:00   ;   295,39 ;     
01.02.2000 00:00:00   ;   295,76 ;     
01.03.2000 00:00:00   ;   296,13 ;     
01.04.2000 00:00:00   ;   296,37 ;     
01.05.2000 00:00:00   ;   296,17 ;     
01.06.2000 00:00:00   ;   295,86 ;     
01.07.2000 00:00:00   ;   295,58 ;     
01.08.2000 00:00:00   ;   295,47 ;     
01.09.2000 00:00:00   ;   295,33 ;     
01.10.2000 00:00:00   ;   295,34 ;     
01.11.2000 00:00:00   ;   295,35 ;     
01.12.2000 00:00:00   ;   295,29 ;     
01.01.2001 00:00:00   ;   295,32 ;     
01.02.2001 00:00:00   ;   295,48 ;     
01.03.2001 00:00:00   ;   295,77 ;     
01.04.2001 00:00:00   ;   296,16 ;     
01.05.2001 00:00:00   ;   296,25 ;     
01.06.2001 00:00:00   ;   296,15 ;     
01.07.2001 00:00:00   ;   295,97 ;     
01.08.2001 00:00:00   ;   295,80 ;     
01.09.2001 00:00:00   ;   295,74 ;     
01.10.2001 00:00:00   ;   295,75 ;     
01.11.2001 00:00:00   ;   295,61 ;     
01.12.2001 00:00:00   ;   295,57 ;     
01.01.2002 00:00:00   ;   295,69 ;     
01.02.2002 00:00:00   ;   295,71 ;     
01.03.2002 00:00:00   ;   296,04 ;     
01.04.2002 00:00:00   ;   296,57 ;     
01.05.2002 00:00:00   ;   296,14 ;     
01.06.2002 00:00:00   ;   295,70 ;     
01.07.2002 00:00:00   ;   295,46 ;     
01.08.2002 00:00:00   ;   296,10 ;     
01.09.2002 00:00:00   ;   296,45 ;     
01.10.2002 00:00:00   ;   296,37 ;     
01.11.2002 00:00:00   ;   296,60 ;     
01.12.2002 00:00:00   ;   296,50 ;     
01.01.2003 00:00:00   ;   296,74 ;     
01.02.2003 00:00:00   ;   296,55 ;     
01.03.2003 00:00:00   ;   296,20 ;     
01.04.2003 00:00:00   ;   296,00 ;     
01.05.2003 00:00:00   ;   295,95 ;     
01.06.2003 00:00:00   ;   295,85 ;     
01.07.2003 00:00:00   ;   295,67 ;     
01.08.2003 00:00:00   ;   295,50 ;     
