Messstelle:                ;Vöcklabruck, Br 1.1
HZB-Nummer:                ;344754
HD-Nummer:                 ;HD4003265
DBMS-Nummer:               ;4003265
PorenGW-Gebiet:            ;109 Vöckla-Agergebiet
Grundwasserkörper:         ;Gruppe Traun und Zubringertäler [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Privat
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.06.2010
 Geländehöhe:              ;429,15
 Messpunkthöhe:            ;429,85
 Sohllage:                 ;416,85
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.06.2010               ;13 38 48                 ;48 00 38
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.06.2010 00:00:00   ;   424,72 ;     
01.07.2010 00:00:00   ;   424,86 ;     
01.08.2010 00:00:00   ;   424,77 ;     
01.09.2010 00:00:00   ;   424,49 ;     
01.10.2010 00:00:00   ;   424,26 ;     
01.11.2010 00:00:00   ;   424,17 ;     
01.12.2010 00:00:00   ;   424,16 ;     
01.01.2011 00:00:00   ;   424,59 ;     
01.02.2011 00:00:00   ;   424,78 ;     
01.03.2011 00:00:00   ;   424,25 ;     
01.04.2011 00:00:00   ;   424,24 ;     
01.05.2011 00:00:00   ;   424,13 ;     
01.06.2011 00:00:00   ;   424,15 ;     
01.07.2011 00:00:00   ;   424,49 ;     
01.08.2011 00:00:00   ;   424,66 ;     
01.09.2011 00:00:00   ;   424,08 ;     
01.10.2011 00:00:00   ;   424,12 ;     
01.11.2011 00:00:00   ;   423,85 ;     
01.12.2011 00:00:00   ;   423,85 ;     
01.01.2012 00:00:00   ;   424,52 ;     
01.02.2012 00:00:00   ;   424,41 ;     
01.03.2012 00:00:00   ;   424,44 ;     
01.04.2012 00:00:00   ;   424,26 ;     
01.05.2012 00:00:00   ;   424,53 ;     
01.06.2012 00:00:00   ;   424,92 ;     
01.07.2012 00:00:00   ;   424,44 ;     
