Messstelle:                ;Lorüns, Bl 08.27.18
HZB-Nummer:                ;378992
HD-Nummer:                 ;08.27.18
DBMS-Nummer:               ;8002438
PorenGW-Gebiet:            ;001 Montafon
Grundwasserkörper:         ;Gruppe Nördliche Kalkalpen [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Land Vorarlberg, Straßenbau
Höhenangaben [m ü.A.]:     ;gültig seit: ;15.12.2021
 Geländehöhe:              ;592,56
 Messpunkthöhe:            ;593,56
 Sohllage:                 ;585,56
 T-Messtiefe u.GOK:        ;6,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.11.1996               ;09 51 32                 ;47 07 37
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2019 HG28 gerätetechnisch bedingte Datenausfälle
  2020 HG28 gerätetechnisch bedingte Datenausfälle
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.05.2005 00:00:00   ;   589,98 ;     
01.06.2005 00:00:00   ;   589,94 ;     
01.07.2005 00:00:00   ;   589,89 ;     
01.08.2005 00:00:00   ;   590,11 ;     
01.09.2005 00:00:00   ;   590,15 ;     
01.10.2005 00:00:00   ;   590,10 ;     
01.11.2005 00:00:00   ;   590,01 ;     
01.12.2005 00:00:00   ;   589,77 ;     
01.01.2006 00:00:00   ;   589,75 ;     
01.02.2006 00:00:00   ;   589,73 ;     
01.03.2006 00:00:00   ;   589,81 ;     
01.04.2006 00:00:00   ;   589,87 ;     
01.05.2006 00:00:00   ;   589,93 ;     
01.06.2006 00:00:00   ;   589,96 ;     
01.07.2006 00:00:00   ;   589,86 ;     
01.08.2006 00:00:00   ;   589,88 ;     
01.09.2006 00:00:00   ;   589,87 ;     
01.10.2006 00:00:00   ;   589,82 ;     
01.11.2006 00:00:00   ;   589,80 ;     
01.12.2006 00:00:00   ;   589,80 ;     
01.01.2007 00:00:00   ;   589,81 ;     
01.02.2007 00:00:00   ;   589,80 ;     
01.03.2007 00:00:00   ;   589,84 ;     
01.04.2007 00:00:00   ;   589,81 ;     
01.05.2007 00:00:00   ;   589,80 ;     
01.06.2007 00:00:00   ;   589,87 ;     
01.07.2007 00:00:00   ;   589,97 ;     
01.08.2007 00:00:00   ;   589,95 ;     
01.09.2007 00:00:00   ;   589,95 ;     
01.10.2007 00:00:00   ;   589,86 ;     
01.11.2007 00:00:00   ;   589,90 ;     
01.12.2007 00:00:00   ;   589,94 ;     
01.01.2008 00:00:00   ;   589,88 ;     
01.02.2008 00:00:00   ;   589,84 ;     
01.03.2008 00:00:00   ;   589,87 ;     
01.04.2008 00:00:00   ;   589,96 ;     
01.05.2008 00:00:00   ;   589,99 ;     
01.06.2008 00:00:00   ;   589,97 ;     
01.07.2008 00:00:00   ;   590,09 ;     
01.08.2008 00:00:00   ;   589,95 ;     
01.09.2008 00:00:00   ;   589,87 ;     
01.10.2008 00:00:00   ;   589,83 ;     
01.11.2008 00:00:00   ;   589,83 ;     
01.12.2008 00:00:00   ;   589,91 ;     
01.01.2009 00:00:00   ;   589,86 ;     
01.02.2009 00:00:00   ;   589,83 ;     
01.03.2009 00:00:00   ;   589,94 ;     
01.04.2009 00:00:00   ;   589,93 ;     
01.05.2009 00:00:00   ;   589,92 ;     
01.06.2009 00:00:00   ;   590,04 ;     
01.07.2009 00:00:00   ;   589,98 ;     
01.08.2009 00:00:00   ;   589,89 ;     
01.09.2009 00:00:00   ;   589,82 ;     
01.10.2009 00:00:00   ;   589,80 ;     
01.11.2009 00:00:00   ;   589,80 ;     
01.12.2009 00:00:00   ;   589,84 ;     
01.01.2010 00:00:00   ;   589,81 ;     
01.02.2010 00:00:00   ;   589,78 ;     
