Messstelle:                ;Weisskirchen, Br 24.6
HZB-Nummer:                ;375840
HD-Nummer:                 ;W24.6
DBMS-Nummer:               ;4002841
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;04.07.2002
 Geländehöhe:              ;301,08
 Messpunkthöhe:            ;301,08
 Sohllage:                 ;295,09
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 06 40                 ;48 09 59
  01.01.2003               ;14 06 43                 ;48 09 59
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2004 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2004 00:00:00   ;   295,18 ;     
01.02.2004 00:00:00   ;   295,17 ;     
01.03.2004 00:00:00   ;   295,18 ;     
01.04.2004 00:00:00   ;   295,24 ;     
01.05.2004 00:00:00   ;   295,11 ;     
01.06.2004 00:00:00   ;   295,18 ;     
01.07.2004 00:00:00   ;   295,17 ;     
01.08.2004 00:00:00   ;   295,11 ;     
01.09.2004 00:00:00   ;   295,11 ;     
01.10.2004 00:00:00   ;   295,18 ;     
01.11.2004 00:00:00   ;   295,12 ;     
01.12.2004 00:00:00   ;   295,09 ;     
01.01.2005 00:00:00   ;   295,07 ;     
01.02.2005 00:00:00   ;   295,26 ;     
01.03.2005 00:00:00   ;   295,20 ;     
01.04.2005 00:00:00   ;   295,25 ;     
01.05.2005 00:00:00   ;   295,29 ;     
01.06.2005 00:00:00   ;   295,14 ;     
01.07.2005 00:00:00   ;   295,29 ;     
01.08.2005 00:00:00   ;   295,23 ;     
01.09.2005 00:00:00   ;   295,20 ;     
01.10.2005 00:00:00   ;   295,21 ;     
01.11.2005 00:00:00   ;   295,13 ;     
01.12.2005 00:00:00   ;   295,12 ;     
01.01.2006 00:00:00   ;   295,19 ;     
01.02.2006 00:00:00   ;   295,23 ;     
01.03.2006 00:00:00   ;   295,38 ;     
01.04.2006 00:00:00   ;   295,48 ;     
01.05.2006 00:00:00   ;   295,29 ;     
01.06.2006 00:00:00   ;   295,36 ;     
01.07.2006 00:00:00   ;   295,25 ;     
01.08.2006 00:00:00   ;   295,31 ;     
01.09.2006 00:00:00   ;   295,23 ;     
01.10.2006 00:00:00   ;   295,16 ;     
01.11.2006 00:00:00   ;   295,12 ;     
01.12.2006 00:00:00   ;   295,11 ;     
01.01.2007 00:00:00   ;   295,16 ;     
01.02.2007 00:00:00   ;   295,20 ;     
01.03.2007 00:00:00   ;   295,23 ;     
01.04.2007 00:00:00   ;   295,14 ;     
01.05.2007 00:00:00   ;   295,15 ;     
01.06.2007 00:00:00   ;   295,09 ;     
01.07.2007 00:00:00   ;   295,13 ;     
01.08.2007 00:00:00   ;   295,09 ;     
01.09.2007 00:00:00   ;   295,24 ;     
01.10.2007 00:00:00   ;   295,08 ;     
01.11.2007 00:00:00   ;   295,15 ;     
01.12.2007 00:00:00   ;   295,23 ;     
01.01.2008 00:00:00   ;   295,12 ;     
01.02.2008 00:00:00   ;   295,09 ;     
01.03.2008 00:00:00   ;   295,14 ;     
01.04.2008 00:00:00   ;   295,15 ;     
01.05.2008 00:00:00   ;   295,15 ;     
01.06.2008 00:00:00   ;   295,12 ;     
01.07.2008 00:00:00   ;   295,12 ;     
01.08.2008 00:00:00   ;   295,10 ;     
01.09.2008 00:00:00   ;   295,14 ;     
01.10.2008 00:00:00   ;   295,10 ;     
01.11.2008 00:00:00   ;   295,09 ;     
01.12.2008 00:00:00   ;   295,13 ;     
01.01.2009 00:00:00   ;   295,09 ;     
01.02.2009 00:00:00   ;   295,15 ;     
01.03.2009 00:00:00   ;   295,43 ;     
01.04.2009 00:00:00   ;   295,26 ;     
01.05.2009 00:00:00   ;   295,13 ;     
01.06.2009 00:00:00   ;   295,30 ;     
01.07.2009 00:00:00   ;   295,42 ;     
01.08.2009 00:00:00   ;   295,25 ;     
01.09.2009 00:00:00   ;   295,17 ;     
01.10.2009 00:00:00   ;   295,16 ;     
01.11.2009 00:00:00   ;   295,15 ;     
01.12.2009 00:00:00   ;   295,16 ;     
01.01.2010 00:00:00   ;   295,13 ;     
01.02.2010 00:00:00   ;   295,13 ;     
01.03.2010 00:00:00   ;   295,28 ;     
01.04.2010 00:00:00   ;   295,21 ;     
01.05.2010 00:00:00   ;   295,21 ;     
01.06.2010 00:00:00   ;   295,33 ;     
01.07.2010 00:00:00   ;   295,27 ;     
01.08.2010 00:00:00   ;   295,29 ;     
01.09.2010 00:00:00   ;   295,19 ;     
01.10.2010 00:00:00   ;   295,16 ;     
01.11.2010 00:00:00   ;   295,12 ;     
01.12.2010 00:00:00   ;   295,14 ;     
01.01.2011 00:00:00   ;   295,21 ;     
01.02.2011 00:00:00   ;   295,15 ;     
01.03.2011 00:00:00   ;   295,12 ;     
01.04.2011 00:00:00   ;   295,11 ;     
01.05.2011 00:00:00   ;   295,09 ;     
01.06.2011 00:00:00   ;   295,16 ;     
01.07.2011 00:00:00   ;   295,16 ;     
01.08.2011 00:00:00   ;   295,15 ;     
01.09.2011 00:00:00   ;   295,16 ;     
01.10.2011 00:00:00   ;   295,21 ;     
01.11.2011 00:00:00   ;   295,10 ;     
01.12.2011 00:00:00   ;   295,09 ;     
01.01.2012 00:00:00   ;   295,31 ;     
01.02.2012 00:00:00   ;   295,21 ;     
01.03.2012 00:00:00   ;   295,15 ;     
01.04.2012 00:00:00   ;   295,12 ;     
01.05.2012 00:00:00   ;   295,09 ;     
01.06.2012 00:00:00   ;   295,21 ;     
01.07.2012 00:00:00   ;   295,17 ;     
01.08.2012 00:00:00   ;   295,22 ;     
01.09.2012 00:00:00   ;   295,18 ;     
01.10.2012 00:00:00   ;   295,10 ;     
01.11.2012 00:00:00   ;   295,11 ;     
01.12.2012 00:00:00   ;   295,17 ;     
01.01.2013 00:00:00   ;   295,24 ;     
01.02.2013 00:00:00   ;   295,38 ;     
01.03.2013 00:00:00   ;   295,24 ;     
01.04.2013 00:00:00   ;   295,24 ;     
01.05.2013 00:00:00   ;   295,25 ;     
01.06.2013 00:00:00   ;   295,57 ;     
01.07.2013 00:00:00   ;   295,26 ;     
01.08.2013 00:00:00   ;   295,20 ;     
01.09.2013 00:00:00   ;   295,23 ;     
01.10.2013 00:00:00   ;   295,18 ;     
01.11.2013 00:00:00   ;   295,19 ;     
01.12.2013 00:00:00   ;   295,21 ;     
01.01.2014 00:00:00   ;   295,12 ;     
01.02.2014 00:00:00   ;   295,12 ;     
01.03.2014 00:00:00   ;   295,11 ;     
01.04.2014 00:00:00   ;   295,10 ;     
01.05.2014 00:00:00   ;   295,16 ;     
01.06.2014 00:00:00   ;   295,22 ;     
01.07.2014 00:00:00   ;   295,13 ;     
01.08.2014 00:00:00   ;   295,16 ;     
01.09.2014 00:00:00   ;   295,23 ;     
01.10.2014 00:00:00   ;   295,25 ;     
01.11.2014 00:00:00   ;   295,20 ;     
01.12.2014 00:00:00   ;   295,13 ;     
01.01.2015 00:00:00   ;   295,25 ;     
01.02.2015 00:00:00   ;   295,18 ;     
01.03.2015 00:00:00   ;   295,16 ;     
01.04.2015 00:00:00   ;   295,26 ;     
01.05.2015 00:00:00   ;   295,26 ;     
01.06.2015 00:00:00   ;   295,29 ;     
01.07.2015 00:00:00   ;   295,17 ;     
01.08.2015 00:00:00   ;   295,11 ;     
01.09.2015 00:00:00   ;   295,13 ;     
01.10.2015 00:00:00   ;   295,11 ;     
01.11.2015 00:00:00   ;   295,10 ;     
01.12.2015 00:00:00   ;   295,10 ;     
01.01.2016 00:00:00   ;   295,14 ;     
01.02.2016 00:00:00   ;   295,28 ;     
01.03.2016 00:00:00   ;   295,23 ;     
01.04.2016 00:00:00   ;   295,17 ;     
01.05.2016 00:00:00   ;   295,28 ;     
01.06.2016 00:00:00   ;   295,35 ;     
01.07.2016 00:00:00   ;   295,28 ;     
01.08.2016 00:00:00   ;   295,28 ;     
01.09.2016 00:00:00   ;   295,19 ;     
01.10.2016 00:00:00   ;   295,17 ;     
01.11.2016 00:00:00   ;   295,22 ;     
01.12.2016 00:00:00   ;   295,12 ;     
01.01.2017 00:00:00   ;   295,01 ;     
01.02.2017 00:00:00   ;   295,09 ;     
01.03.2017 00:00:00   ;   295,27 ;     
01.04.2017 00:00:00   ;   295,24 ;     
01.05.2017 00:00:00   ;   295,33 ;     
01.06.2017 00:00:00   ;   295,19 ;     
01.07.2017 00:00:00   ;   295,15 ;     
01.08.2017 00:00:00   ;   295,28 ;     
01.09.2017 00:00:00   ;   295,23 ;     
01.10.2017 00:00:00   ;   295,12 ;     
01.11.2017 00:00:00   ;   295,15 ;     
01.12.2017 00:00:00   ;   295,16 ;     
01.01.2018 00:00:00   ;   295,38 ;     
01.02.2018 00:00:00   ;   295,20 ;     
01.03.2018 00:00:00   ;   295,13 ;     
01.04.2018 00:00:00   ;   295,15 ;     
01.05.2018 00:00:00   ;   295,12 ;     
01.06.2018 00:00:00   ;   295,14 ;     
01.07.2018 00:00:00   ;   295,16 ;     
01.08.2018 00:00:00   ;   295,08 ;     
01.09.2018 00:00:00   ;   295,11 ;     
01.10.2018 00:00:00   ;   295,07 ;     
01.11.2018 00:00:00   ;   295,05 ;     
01.12.2018 00:00:00   ;   295,16 ;     
01.01.2019 00:00:00   ;   295,24 ;     
01.02.2019 00:00:00   ;   295,14 ;     
01.03.2019 00:00:00   ;   295,12 ;     
01.04.2019 00:00:00   ;   295,08 ;     
01.05.2019 00:00:00   ;   295,19 ;     
01.06.2019 00:00:00   ;   295,18 ;     
01.07.2019 00:00:00   ;   295,08 ;     
01.08.2019 00:00:00   ;   295,04 ;     
01.09.2019 00:00:00   ;   295,04 ;     
01.10.2019 00:00:00   ;   295,03 ;     
01.11.2019 00:00:00   ;   295,06 ;     
01.12.2019 00:00:00   ;   295,03 ;     
01.01.2020 00:00:00   ;   295,04 ;     
01.02.2020 00:00:00   ;   295,15 ;     
01.03.2020 00:00:00   ;   295,11 ;     
01.04.2020 00:00:00   ;   295,05 ;     
01.05.2020 00:00:00   ;   295,05 ;     
01.06.2020 00:00:00   ;   295,13 ;     
01.07.2020 00:00:00   ;   295,11 ;     
01.08.2020 00:00:00   ;   295,16 ;     
01.09.2020 00:00:00   ;   295,08 ;     
01.10.2020 00:00:00   ;   295,08 ;     
01.11.2020 00:00:00   ;   295,11 ;     
01.12.2020 00:00:00   ;   295,07 ;     
01.01.2021 00:00:00   ;   295,10 ;     
01.02.2021 00:00:00   ;   295,17 ;     
01.03.2021 00:00:00   ;   295,10 ;     
01.04.2021 00:00:00   ;   295,08 ;     
01.05.2021 00:00:00   ;   295,12 ;     
01.06.2021 00:00:00   ;   295,09 ;     
01.07.2021 00:00:00   ;   295,22 ;     
