Messstelle:                ;Reindorf, S 407
HZB-Nummer:                ;361386
HD-Nummer:                 ;
DBMS-Nummer:               ;5002462
PorenGW-Gebiet:            ;029 Mittleres Salzachtal
Grundwasserkörper:         ;Gruppe Zentralzone [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Salzburg AG für Energie, Verkehr und Telekommunikation
Höhenangaben [m ü.A.]:     ;gültig seit: ;17.03.2016
 Geländehöhe:              ;568,89
 Messpunkthöhe:            ;570,09
 Sohllage:                 ;556,07
 T-Messtiefe u.GOK:        ;10,80
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  17.03.2016               ;13 11 32                 ;47 20 25
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.04.2016 00:00:00   ;   561,84 ;     
01.05.2016 00:00:00   ;   562,03 ;     
01.06.2016 00:00:00   ;   562,73 ;     
01.07.2016 00:00:00   ;   562,77 ;     
01.08.2016 00:00:00   ;   562,66 ;     
01.09.2016 00:00:00   ;   562,25 ;     
01.10.2016 00:00:00   ;   561,93 ;     
01.11.2016 00:00:00   ;   561,75 ;     
01.12.2016 00:00:00   ;   561,61 ;     
01.01.2017 00:00:00   ;   561,47 ;     
01.02.2017 00:00:00   ;   561,42 ;     
01.03.2017 00:00:00   ;   561,66 ;     
01.04.2017 00:00:00   ;   561,71 ;     
01.05.2017 00:00:00   ;   561,95 ;     
01.06.2017 00:00:00   ;   562,10 ;     
01.07.2017 00:00:00   ;   562,07 ;     
01.08.2017 00:00:00   ;   562,40 ;     
01.09.2017 00:00:00   ;   562,34 ;     
01.10.2017 00:00:00   ;   562,06 ;     
01.11.2017 00:00:00   ;   561,89 ;     
01.12.2017 00:00:00   ;   561,81 ;     
01.01.2018 00:00:00   ;   561,86 ;     
01.02.2018 00:00:00   ;   561,83 ;     
01.03.2018 00:00:00   ;   561,82 ;     
01.04.2018 00:00:00   ;   562,31 ;     
01.05.2018 00:00:00   ;   562,54 ;     
01.06.2018 00:00:00   ;   562,33 ;     
01.07.2018 00:00:00   ;   562,18 ;     
01.08.2018 00:00:00   ;   561,92 ;     
01.09.2018 00:00:00   ;   561,92 ;     
01.10.2018 00:00:00   ;   561,69 ;     
01.11.2018 00:00:00   ;   561,99 ;     
01.12.2018 00:00:00   ;   561,84 ;     
01.01.2019 00:00:00   ;   561,99 ;     
01.02.2019 00:00:00   ;   561,97 ;     
01.03.2019 00:00:00   ;   562,46 ;     
01.04.2019 00:00:00   ;   562,82 ;     
01.05.2019 00:00:00   ;   562,72 ;     
01.06.2019 00:00:00   ;   563,22 ;     
01.07.2019 00:00:00   ;   562,50 ;     
01.08.2019 00:00:00   ;   562,19 ;     
01.09.2019 00:00:00   ;   562,04 ;     
01.10.2019 00:00:00   ;   561,82 ;     
01.11.2019 00:00:00   ;   562,05 ;     
01.12.2019 00:00:00   ;   562,07 ;     
01.01.2020 00:00:00   ;   561,99 ;     
01.02.2020 00:00:00   ;   562,01 ;     
01.03.2020 00:00:00   ;   562,13 ;     
01.04.2020 00:00:00   ;   562,17 ;     
01.05.2020 00:00:00   ;   562,28 ;     
01.06.2020 00:00:00   ;   562,32 ;     
01.07.2020 00:00:00   ;   562,48 ;     
01.08.2020 00:00:00   ;   562,61 ;     
01.09.2020 00:00:00   ;   562,54 ;     
01.10.2020 00:00:00   ;   562,36 ;     
01.11.2020 00:00:00   ;   562,20 ;     
01.12.2020 00:00:00   ;   562,02 ;     
01.01.2021 00:00:00   ;   561,84 ;     
01.02.2021 00:00:00   ;   561,81 ;     
01.03.2021 00:00:00   ;   561,82 ;     
01.04.2021 00:00:00   ;   561,89 ;     
01.05.2021 00:00:00   ;   562,14 ;     
01.06.2021 00:00:00   ;   562,52 ;     
01.07.2021 00:00:00   ;   562,66 ;     
01.08.2021 00:00:00   ;   562,84 ;     
01.09.2021 00:00:00   ;   562,64 ;     
01.10.2021 00:00:00   ;   562,27 ;     
01.11.2021 00:00:00   ;   562,08 ;     
01.12.2021 00:00:00   ;   561,92 ;     
01.01.2022 00:00:00   ;Lücke         ; 
