Messstelle:                ;St. Marein i. M., Br  3044
HZB-Nummer:                ;336727
HD-Nummer:                 ;uw3044
DBMS-Nummer:               ;6002775
PorenGW-Gebiet:            ;375 Mürztal
Grundwasserkörper:         ;Mürz [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1991
 Geländehöhe:              ;530,16
 Messpunkthöhe:            ;530,76
 Sohllage:                 ;523,66
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 23 01                 ;47 28 26
  01.01.1991               ;15 23 00                 ;47 28 25
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1991 00:00:00   ;   525,77 ;     
01.02.1991 00:00:00   ;   525,51 ;     
01.03.1991 00:00:00   ;   525,74 ;     
01.04.1991 00:00:00   ;   525,84 ;     
01.05.1991 00:00:00   ;   526,21 ;     
01.06.1991 00:00:00   ;   526,53 ;     
01.07.1991 00:00:00   ;   527,11 ;     
01.08.1991 00:00:00   ;   528,49 ;     
01.09.1991 00:00:00   ;   527,62 ;     
01.10.1991 00:00:00   ;   527,27 ;     
01.11.1991 00:00:00   ;   527,16 ;     
01.12.1991 00:00:00   ;   526,97 ;     
01.01.1992 00:00:00   ;   526,81 ;     
01.02.1992 00:00:00   ;   526,79 ;     
01.03.1992 00:00:00   ;   526,96 ;     
01.04.1992 00:00:00   ;   527,39 ;     
01.05.1992 00:00:00   ;   527,75 ;     
01.06.1992 00:00:00   ;   527,38 ;     
01.07.1992 00:00:00   ;   527,11 ;     
01.08.1992 00:00:00   ;   526,98 ;     
01.09.1992 00:00:00   ;   526,87 ;     
01.10.1992 00:00:00   ;   526,76 ;     
01.11.1992 00:00:00   ;   526,71 ;     
01.12.1992 00:00:00   ;   527,13 ;     
01.01.1993 00:00:00   ;   526,57 ;     
01.02.1993 00:00:00   ;   526,27 ;     
01.03.1993 00:00:00   ;   526,18 ;     
01.04.1993 00:00:00   ;   526,41 ;     
01.05.1993 00:00:00   ;   526,53 ;     
01.06.1993 00:00:00   ;   526,14 ;     
01.07.1993 00:00:00   ;   526,11 ;     
01.08.1993 00:00:00   ;   526,32 ;     
01.09.1993 00:00:00   ;   526,24 ;     
01.10.1993 00:00:00   ;   526,42 ;     
01.11.1993 00:00:00   ;   526,64 ;     
01.12.1993 00:00:00   ;   526,05 ;     
01.01.1994 00:00:00   ;   526,05 ;     
01.02.1994 00:00:00   ;   526,03 ;     
01.03.1994 00:00:00   ;   526,18 ;     
01.04.1994 00:00:00   ;   526,40 ;     
01.05.1994 00:00:00   ;   526,51 ;     
01.06.1994 00:00:00   ;   526,54 ;     
01.07.1994 00:00:00   ;   526,30 ;     
01.08.1994 00:00:00   ;   526,08 ;     
01.09.1994 00:00:00   ;   526,13 ;     
01.10.1994 00:00:00   ;   526,01 ;     
01.11.1994 00:00:00   ;   525,97 ;     
01.12.1994 00:00:00   ;   525,93 ;     
01.01.1995 00:00:00   ;   525,80 ;     
01.02.1995 00:00:00   ;   525,77 ;     
01.03.1995 00:00:00   ;   526,29 ;     
01.04.1995 00:00:00   ;   526,89 ;     
01.05.1995 00:00:00   ;   527,01 ;     
01.06.1995 00:00:00   ;   526,62 ;     
01.07.1995 00:00:00   ;   526,49 ;     
01.08.1995 00:00:00   ;   526,18 ;     
01.09.1995 00:00:00   ;   526,37 ;     
01.10.1995 00:00:00   ;   526,23 ;     
01.11.1995 00:00:00   ;   525,95 ;     
01.12.1995 00:00:00   ;   525,75 ;     
01.01.1996 00:00:00   ;   525,65 ;     
01.02.1996 00:00:00   ;   525,48 ;     
01.03.1996 00:00:00   ;   525,47 ;     
01.04.1996 00:00:00   ;   526,61 ;     
01.05.1996 00:00:00   ;   527,73 ;     
01.06.1996 00:00:00   ;   527,13 ;     
01.07.1996 00:00:00   ;   526,95 ;     
01.08.1996 00:00:00   ;   526,65 ;     
01.09.1996 00:00:00   ;   526,85 ;     
01.10.1996 00:00:00   ;   527,27 ;     
01.11.1996 00:00:00   ;   527,55 ;     
01.12.1996 00:00:00   ;   526,51 ;     
01.01.1997 00:00:00   ;   525,96 ;     
01.02.1997 00:00:00   ;   525,61 ;     
01.03.1997 00:00:00   ;   525,78 ;     
01.04.1997 00:00:00   ;   526,54 ;     
01.05.1997 00:00:00   ;   527,09 ;     
01.06.1997 00:00:00   ;   526,73 ;     
01.07.1997 00:00:00   ;   527,32 ;     
01.08.1997 00:00:00   ;   527,33 ;     
01.09.1997 00:00:00   ;   526,68 ;     
01.10.1997 00:00:00   ;   526,17 ;     
01.11.1997 00:00:00   ;   525,90 ;     
01.12.1997 00:00:00   ;   526,58 ;     
01.01.1998 00:00:00   ;   526,82 ;     
01.02.1998 00:00:00   ;   526,81 ;     
01.03.1998 00:00:00   ;   526,92 ;     
01.04.1998 00:00:00   ;   527,31 ;     
01.05.1998 00:00:00   ;   527,25 ;     
01.06.1998 00:00:00   ;   526,90 ;     
01.07.1998 00:00:00   ;   526,80 ;     
01.08.1998 00:00:00   ;   526,59 ;     
01.09.1998 00:00:00   ;   526,67 ;     
01.10.1998 00:00:00   ;   526,71 ;     
01.11.1998 00:00:00   ;   526,41 ;     
01.12.1998 00:00:00   ;   526,06 ;     
01.01.1999 00:00:00   ;   525,93 ;     
01.02.1999 00:00:00   ;   525,72 ;     
01.03.1999 00:00:00   ;   525,97 ;     
01.04.1999 00:00:00   ;   526,48 ;     
01.05.1999 00:00:00   ;   526,71 ;     
01.06.1999 00:00:00   ;   526,50 ;     
01.07.1999 00:00:00   ;   526,61 ;     
01.08.1999 00:00:00   ;   526,84 ;     
01.09.1999 00:00:00   ;   527,23 ;     
01.10.1999 00:00:00   ;   526,62 ;     
01.11.1999 00:00:00   ;   526,07 ;     
01.12.1999 00:00:00   ;   525,66 ;     
01.01.2000 00:00:00   ;   525,42 ;     
01.02.2000 00:00:00   ;   525,86 ;     
01.03.2000 00:00:00   ;   526,44 ;     
01.04.2000 00:00:00   ;   528,03 ;     
01.05.2000 00:00:00   ;   527,78 ;     
01.06.2000 00:00:00   ;   526,89 ;     
01.07.2000 00:00:00   ;   526,28 ;     
01.08.2000 00:00:00   ;   526,17 ;     
01.09.2000 00:00:00   ;   526,02 ;     
01.10.2000 00:00:00   ;   526,04 ;     
01.11.2000 00:00:00   ;   526,06 ;     
01.12.2000 00:00:00   ;   525,86 ;     
01.01.2001 00:00:00   ;   525,72 ;     
01.02.2001 00:00:00   ;   525,71 ;     
01.03.2001 00:00:00   ;   526,12 ;     
01.04.2001 00:00:00   ;   526,33 ;     
01.05.2001 00:00:00   ;   526,24 ;     
01.06.2001 00:00:00   ;   526,07 ;     
01.07.2001 00:00:00   ;   525,95 ;     
01.08.2001 00:00:00   ;   525,87 ;     
01.09.2001 00:00:00   ;   525,99 ;     
01.10.2001 00:00:00   ;   525,90 ;     
01.11.2001 00:00:00   ;   525,65 ;     
01.12.2001 00:00:00   ;   525,42 ;     
01.01.2002 00:00:00   ;   525,27 ;     
01.02.2002 00:00:00   ;   525,49 ;     
01.03.2002 00:00:00   ;   525,82 ;     
01.04.2002 00:00:00   ;   526,18 ;     
01.05.2002 00:00:00   ;   526,28 ;     
01.06.2002 00:00:00   ;   526,37 ;     
01.07.2002 00:00:00   ;   526,17 ;     
01.08.2002 00:00:00   ;   526,26 ;     
01.09.2002 00:00:00   ;   526,12 ;     
01.10.2002 00:00:00   ;   525,98 ;     
01.11.2002 00:00:00   ;   526,07 ;     
01.12.2002 00:00:00   ;   526,21 ;     
01.01.2003 00:00:00   ;   526,09 ;     
01.02.2003 00:00:00   ;   525,75 ;     
01.03.2003 00:00:00   ;   525,56 ;     
01.04.2003 00:00:00   ;   525,63 ;     
01.05.2003 00:00:00   ;   525,71 ;     
01.06.2003 00:00:00   ;   525,67 ;     
01.07.2003 00:00:00   ;   525,60 ;     
01.08.2003 00:00:00   ;   525,59 ;     
01.09.2003 00:00:00   ;   525,61 ;     
01.10.2003 00:00:00   ;   525,70 ;     
01.11.2003 00:00:00   ;   525,55 ;     
01.12.2003 00:00:00   ;   525,36 ;     
01.01.2004 00:00:00   ;   525,48 ;     
01.02.2004 00:00:00   ;   525,72 ;     
01.03.2004 00:00:00   ;   525,85 ;     
01.04.2004 00:00:00   ;   526,55 ;     
01.05.2004 00:00:00   ;   526,65 ;     
01.06.2004 00:00:00   ;   526,71 ;     
01.07.2004 00:00:00   ;   526,89 ;     
01.08.2004 00:00:00   ;   526,35 ;     
01.09.2004 00:00:00   ;   526,14 ;     
01.10.2004 00:00:00   ;   526,06 ;     
01.11.2004 00:00:00   ;   525,96 ;     
01.12.2004 00:00:00   ;   525,77 ;     
01.01.2005 00:00:00   ;   525,66 ;     
01.02.2005 00:00:00   ;   525,53 ;     
01.03.2005 00:00:00   ;   526,08 ;     
01.04.2005 00:00:00   ;   527,37 ;     
01.05.2005 00:00:00   ;   527,18 ;     
01.06.2005 00:00:00   ;   526,69 ;     
01.07.2005 00:00:00   ;   526,68 ;     
01.08.2005 00:00:00   ;   527,24 ;     
01.09.2005 00:00:00   ;   527,49 ;     
01.10.2005 00:00:00   ;   526,84 ;     
01.11.2005 00:00:00   ;   526,34 ;     
01.12.2005 00:00:00   ;   525,88 ;     
01.01.2006 00:00:00   ;   525,65 ;     
01.02.2006 00:00:00   ;   525,62 ;     
01.03.2006 00:00:00   ;   525,88 ;     
01.04.2006 00:00:00   ;   527,10 ;     
01.05.2006 00:00:00   ;   527,76 ;     
01.06.2006 00:00:00   ;   527,77 ;     
01.07.2006 00:00:00   ;   527,08 ;     
01.08.2006 00:00:00   ;   527,10 ;     
01.09.2006 00:00:00   ;   526,90 ;     
01.10.2006 00:00:00   ;   526,41 ;     
01.11.2006 00:00:00   ;   526,23 ;     
01.12.2006 00:00:00   ;   526,00 ;     
01.01.2007 00:00:00   ;   525,90 ;     
01.02.2007 00:00:00   ;   525,96 ;     
01.03.2007 00:00:00   ;   526,19 ;     
01.04.2007 00:00:00   ;   526,38 ;     
01.05.2007 00:00:00   ;   526,36 ;     
01.06.2007 00:00:00   ;   526,32 ;     
01.07.2007 00:00:00   ;   526,26 ;     
01.08.2007 00:00:00   ;   526,23 ;     
01.09.2007 00:00:00   ;   527,52 ;     
01.10.2007 00:00:00   ;   527,29 ;     
01.11.2007 00:00:00   ;   527,25 ;     
01.12.2007 00:00:00   ;   527,17 ;     
01.01.2008 00:00:00   ;   526,92 ;     
01.02.2008 00:00:00   ;   526,83 ;     
01.03.2008 00:00:00   ;   526,98 ;     
