Messstelle:                ;Pinggau, Bl 59993
HZB-Nummer:                ;356261
HD-Nummer:                 ;uw59993
DBMS-Nummer:               ;6003504
Fremdnummer:               ;361
PorenGW-Gebiet:            ;332 Oberes Pinkatal
Grundwasserkörper:         ;Pinkatal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;04.10.2018
 Geländehöhe:              ;492,29
 Messpunkthöhe:            ;493,29
 Sohllage:                 ;483,14
 T-Messtiefe u.GOK:        ;6,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  13.08.2009               ;16 04 18                 ;47 26 03
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.09.2009 00:00:00   ;   489,60 ;     
01.10.2009 00:00:00   ;   489,59 ;     
01.11.2009 00:00:00   ;   489,60 ;     
01.12.2009 00:00:00   ;   489,62 ;     
01.01.2010 00:00:00   ;   489,62 ;     
01.02.2010 00:00:00   ;   489,64 ;     
01.03.2010 00:00:00   ;   489,69 ;     
01.04.2010 00:00:00   ;   489,63 ;     
01.05.2010 00:00:00   ;   489,60 ;     
01.06.2010 00:00:00   ;   489,70 ;     
01.07.2010 00:00:00   ;   489,60 ;     
01.08.2010 00:00:00   ;   489,68 ;     
01.09.2010 00:00:00   ;   489,74 ;     
01.10.2010 00:00:00   ;   489,75 ;     
01.11.2010 00:00:00   ;   489,79 ;     
01.12.2010 00:00:00   ;   489,79 ;     
01.01.2011 00:00:00   ;   489,73 ;     
01.02.2011 00:00:00   ;   489,68 ;     
01.03.2011 00:00:00   ;   489,72 ;     
01.04.2011 00:00:00   ;   489,67 ;     
01.05.2011 00:00:00   ;   489,62 ;     
01.06.2011 00:00:00   ;   489,63 ;     
01.07.2011 00:00:00   ;   489,60 ;     
01.08.2011 00:00:00   ;   489,61 ;     
01.09.2011 00:00:00   ;   489,60 ;     
01.10.2011 00:00:00   ;   489,58 ;     
01.11.2011 00:00:00   ;   489,57 ;     
01.12.2011 00:00:00   ;   489,57 ;     
01.01.2012 00:00:00   ;   489,58 ;     
01.02.2012 00:00:00   ;   489,60 ;     
01.03.2012 00:00:00   ;   489,58 ;     
01.04.2012 00:00:00   ;   489,58 ;     
01.05.2012 00:00:00   ;   489,57 ;     
01.06.2012 00:00:00   ;   489,54 ;     
01.07.2012 00:00:00   ;   489,68 ;     
01.08.2012 00:00:00   ;   489,70 ;     
01.09.2012 00:00:00   ;   489,69 ;     
01.10.2012 00:00:00   ;   489,64 ;     
01.11.2012 00:00:00   ;   489,82 ;     
01.12.2012 00:00:00   ;   489,65 ;     
01.01.2013 00:00:00   ;   489,66 ;     
01.02.2013 00:00:00   ;   489,76 ;     
01.03.2013 00:00:00   ;   490,08 ;     
01.04.2013 00:00:00   ;   489,88 ;     
01.05.2013 00:00:00   ;   489,75 ;     
01.06.2013 00:00:00   ;   489,72 ;     
01.07.2013 00:00:00   ;   489,62 ;     
01.08.2013 00:00:00   ;   489,58 ;     
01.09.2013 00:00:00   ;   489,59 ;     
01.10.2013 00:00:00   ;   489,59 ;     
01.11.2013 00:00:00   ;   489,75 ;     
01.12.2013 00:00:00   ;   489,69 ;     
01.01.2014 00:00:00   ;   489,64 ;     
01.02.2014 00:00:00   ;   489,97 ;     
01.03.2014 00:00:00   ;   489,74 ;     
01.04.2014 00:00:00   ;   489,63 ;     
01.05.2014 00:00:00   ;   489,87 ;     
01.06.2014 00:00:00   ;   489,67 ;     
01.07.2014 00:00:00   ;   489,62 ;     
01.08.2014 00:00:00   ;   489,67 ;     
01.09.2014 00:00:00   ;   489,86 ;     
01.10.2014 00:00:00   ;   489,71 ;     
01.11.2014 00:00:00   ;   489,76 ;     
01.12.2014 00:00:00   ;   489,80 ;     
01.01.2015 00:00:00   ;   489,74 ;     
01.02.2015 00:00:00   ;   489,71 ;     
01.03.2015 00:00:00   ;   489,66 ;     
01.04.2015 00:00:00   ;   489,64 ;     
01.05.2015 00:00:00   ;   489,72 ;     
01.06.2015 00:00:00   ;   489,66 ;     
01.07.2015 00:00:00   ;   489,60 ;     
01.08.2015 00:00:00   ;   489,57 ;     
01.09.2015 00:00:00   ;   489,54 ;     
