Messstelle:                ;Grafendorf, Br   5960
HZB-Nummer:                ;343764
HD-Nummer:                 ;uw5960
DBMS-Nummer:               ;6003349
PorenGW-Gebiet:            ;337 Safental
Grundwasserkörper:         ;Gruppe Hügelland Raab West [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Privat
Höhenangaben [m ü.A.]:     ;gültig seit: ;12.06.2019
 Geländehöhe:              ;389,00
 Messpunkthöhe:            ;389,30
 Sohllage:                 ;379,45
 T-Messtiefe u.GOK:        ;8,70
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  23.12.2003               ;15 59 22                 ;47 20 17
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2005 00:00:00   ;   384,49 ;     
01.02.2005 00:00:00   ;   384,29 ;     
01.03.2005 00:00:00   ;   384,47 ;     
01.04.2005 00:00:00   ;   385,16 ;     
01.05.2005 00:00:00   ;   384,09 ;     
01.06.2005 00:00:00   ;   383,43 ;     
01.07.2005 00:00:00   ;   383,88 ;     
01.08.2005 00:00:00   ;   383,91 ;     
01.09.2005 00:00:00   ;   383,76 ;     
01.10.2005 00:00:00   ;   383,99 ;     
01.11.2005 00:00:00   ;   384,07 ;     
01.12.2005 00:00:00   ;   384,44 ;     
01.01.2006 00:00:00   ;   384,54 ;     
01.02.2006 00:00:00   ;   384,68 ;     
01.03.2006 00:00:00   ;   385,11 ;     
01.04.2006 00:00:00   ;   384,53 ;     
01.05.2006 00:00:00   ;   385,24 ;     
01.06.2006 00:00:00   ;   385,46 ;     
01.07.2006 00:00:00   ;   384,89 ;     
01.08.2006 00:00:00   ;   385,70 ;     
01.09.2006 00:00:00   ;   385,09 ;     
01.10.2006 00:00:00   ;   383,91 ;     
01.11.2006 00:00:00   ;Lücke     ;     
01.12.2006 00:00:00   ;Lücke     ;     
