Messstelle:                ;Rapperswinkel, Bl 12.6
HZB-Nummer:                ;375451
HD-Nummer:                 ;W12.6
DBMS-Nummer:               ;4002739
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1993
 Geländehöhe:              ;271,43
 Messpunkthöhe:            ;272,23
 Sohllage:                 ;264,02
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 15 01                 ;48 12 39
  01.01.2003               ;14 15 09                 ;48 12 45
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1993 00:00:00   ;   268,87 ;     
01.02.1993 00:00:00   ;   268,62 ;     
01.03.1993 00:00:00   ;   268,79 ;     
01.04.1993 00:00:00   ;   268,55 ;     
01.05.1993 00:00:00   ;   268,27 ;     
01.06.1993 00:00:00   ;   268,22 ;     
01.07.1993 00:00:00   ;   268,36 ;     
01.08.1993 00:00:00   ;   268,43 ;     
01.09.1993 00:00:00   ;   268,49 ;     
01.10.1993 00:00:00   ;   268,44 ;     
01.11.1993 00:00:00   ;   268,56 ;     
01.12.1993 00:00:00   ;   268,90 ;     
01.01.1994 00:00:00   ;   269,02 ;     
01.02.1994 00:00:00   ;   268,60 ;     
01.03.1994 00:00:00   ;   268,68 ;     
01.04.1994 00:00:00   ;   269,33 ;     
01.05.1994 00:00:00   ;   269,07 ;     
01.06.1994 00:00:00   ;   268,59 ;     
01.07.1994 00:00:00   ;   268,38 ;     
01.08.1994 00:00:00   ;   268,30 ;     
01.09.1994 00:00:00   ;   268,18 ;     
01.10.1994 00:00:00   ;   268,18 ;     
01.11.1994 00:00:00   ;   268,34 ;     
01.12.1994 00:00:00   ;   268,37 ;     
01.01.1995 00:00:00   ;   268,47 ;     
01.02.1995 00:00:00   ;   268,55 ;     
01.03.1995 00:00:00   ;   268,75 ;     
01.04.1995 00:00:00   ;   268,67 ;     
01.05.1995 00:00:00   ;   268,46 ;     
01.06.1995 00:00:00   ;   268,40 ;     
01.07.1995 00:00:00   ;   268,25 ;     
01.08.1995 00:00:00   ;   268,19 ;     
01.09.1995 00:00:00   ;   268,41 ;     
01.10.1995 00:00:00   ;   268,19 ;     
01.11.1995 00:00:00   ;   268,36 ;     
01.12.1995 00:00:00   ;   268,44 ;     
01.01.1996 00:00:00   ;   268,43 ;     
01.02.1996 00:00:00   ;   268,22 ;     
01.03.1996 00:00:00   ;   268,17 ;     
01.04.1996 00:00:00   ;   268,49 ;     
01.05.1996 00:00:00   ;   269,03 ;     
01.06.1996 00:00:00   ;   268,97 ;     
01.07.1996 00:00:00   ;   268,66 ;     
01.08.1996 00:00:00   ;   268,49 ;     
01.09.1996 00:00:00   ;   268,56 ;     
01.10.1996 00:00:00   ;   268,81 ;     
01.11.1996 00:00:00   ;   268,69 ;     
01.12.1996 00:00:00   ;   268,50 ;     
01.01.1997 00:00:00   ;   268,41 ;     
01.02.1997 00:00:00   ;   268,41 ;     
01.03.1997 00:00:00   ;   268,55 ;     
01.04.1997 00:00:00   ;   268,57 ;     
01.05.1997 00:00:00   ;   268,58 ;     
01.06.1997 00:00:00   ;   268,47 ;     
01.07.1997 00:00:00   ;   268,72 ;     
01.08.1997 00:00:00   ;   268,59 ;     
01.09.1997 00:00:00   ;   268,43 ;     
01.10.1997 00:00:00   ;   268,33 ;     
01.11.1997 00:00:00   ;   268,24 ;     
01.12.1997 00:00:00   ;   268,58 ;     
01.01.1998 00:00:00   ;   268,35 ;     
01.02.1998 00:00:00   ;   268,20 ;     
01.03.1998 00:00:00   ;   268,32 ;     
01.04.1998 00:00:00   ;   268,46 ;     
01.05.1998 00:00:00   ;   268,40 ;     
01.06.1998 00:00:00   ;   268,40 ;     
01.07.1998 00:00:00   ;   268,44 ;     
01.08.1998 00:00:00   ;   268,38 ;     
01.09.1998 00:00:00   ;   268,41 ;     
01.10.1998 00:00:00   ;   268,35 ;     
01.11.1998 00:00:00   ;   268,64 ;     
01.12.1998 00:00:00   ;   268,40 ;     
01.01.1999 00:00:00   ;   268,33 ;     
01.02.1999 00:00:00   ;   268,45 ;     
01.03.1999 00:00:00   ;   268,77 ;     
01.04.1999 00:00:00   ;   268,49 ;     
01.05.1999 00:00:00   ;   268,40 ;     
01.06.1999 00:00:00   ;   268,32 ;     
01.07.1999 00:00:00   ;   268,34 ;     
01.08.1999 00:00:00   ;   268,24 ;     
01.09.1999 00:00:00   ;   268,16 ;     
01.10.1999 00:00:00   ;   268,07 ;     
01.11.1999 00:00:00   ;   268,08 ;     
01.12.1999 00:00:00   ;   268,06 ;     
01.01.2000 00:00:00   ;   268,18 ;     
01.02.2000 00:00:00   ;   268,46 ;     
01.03.2000 00:00:00   ;   268,67 ;     
01.04.2000 00:00:00   ;   268,73 ;     
01.05.2000 00:00:00   ;   268,36 ;     
01.06.2000 00:00:00   ;   268,22 ;     
01.07.2000 00:00:00   ;   268,13 ;     
01.08.2000 00:00:00   ;   268,16 ;     
01.09.2000 00:00:00   ;   268,12 ;     
01.10.2000 00:00:00   ;   268,58 ;     
01.11.2000 00:00:00   ;   268,33 ;     
01.12.2000 00:00:00   ;   268,30 ;     
01.01.2001 00:00:00   ;   268,43 ;     
01.02.2001 00:00:00   ;   268,81 ;     
01.03.2001 00:00:00   ;   268,61 ;     
01.04.2001 00:00:00   ;   268,62 ;     
01.05.2001 00:00:00   ;   268,37 ;     
01.06.2001 00:00:00   ;   268,23 ;     
01.07.2001 00:00:00   ;   268,10 ;     
01.08.2001 00:00:00   ;   268,05 ;     
01.09.2001 00:00:00   ;   268,09 ;     
01.10.2001 00:00:00   ;   268,00 ;     
01.11.2001 00:00:00   ;   267,98 ;     
01.12.2001 00:00:00   ;   268,13 ;     
01.01.2002 00:00:00   ;   268,38 ;     
01.02.2002 00:00:00   ;   268,32 ;     
01.03.2002 00:00:00   ;   268,79 ;     
01.04.2002 00:00:00   ;   268,77 ;     
01.05.2002 00:00:00   ;   268,37 ;     
01.06.2002 00:00:00   ;   268,20 ;     
01.07.2002 00:00:00   ;   268,12 ;     
01.08.2002 00:00:00   ;   269,18 ;     
01.09.2002 00:00:00   ;   268,88 ;     
01.10.2002 00:00:00   ;   268,75 ;     
01.11.2002 00:00:00   ;   269,02 ;     
01.12.2002 00:00:00   ;   268,77 ;     
01.01.2003 00:00:00   ;   269,01 ;     
01.02.2003 00:00:00   ;   268,82 ;     
01.03.2003 00:00:00   ;   268,51 ;     
01.04.2003 00:00:00   ;   268,39 ;     
01.05.2003 00:00:00   ;   268,32 ;     
01.06.2003 00:00:00   ;   268,29 ;     
01.07.2003 00:00:00   ;   268,24 ;     
01.08.2003 00:00:00   ;   268,18 ;     
01.09.2003 00:00:00   ;   268,10 ;     
01.10.2003 00:00:00   ;   268,13 ;     
01.11.2003 00:00:00   ;   268,09 ;     
01.12.2003 00:00:00   ;   268,08 ;     
01.01.2004 00:00:00   ;   268,37 ;     
01.02.2004 00:00:00   ;   268,36 ;     
01.03.2004 00:00:00   ;   268,39 ;     
01.04.2004 00:00:00   ;   268,46 ;     
01.05.2004 00:00:00   ;   268,26 ;     
01.06.2004 00:00:00   ;   268,37 ;     
01.07.2004 00:00:00   ;   268,30 ;     
01.08.2004 00:00:00   ;   268,19 ;     
01.09.2004 00:00:00   ;   268,12 ;     
01.10.2004 00:00:00   ;   268,24 ;     
01.11.2004 00:00:00   ;   268,26 ;     
01.12.2004 00:00:00   ;   268,13 ;     
01.01.2005 00:00:00   ;   268,08 ;     
01.02.2005 00:00:00   ;   268,39 ;     
01.03.2005 00:00:00   ;   268,55 ;     
01.04.2005 00:00:00   ;   268,56 ;     
01.05.2005 00:00:00   ;   268,66 ;     
01.06.2005 00:00:00   ;   268,49 ;     
01.07.2005 00:00:00   ;   268,63 ;     
01.08.2005 00:00:00   ;   268,55 ;     
01.09.2005 00:00:00   ;   268,50 ;     
01.10.2005 00:00:00   ;   268,45 ;     
01.11.2005 00:00:00   ;   268,34 ;     
01.12.2005 00:00:00   ;   268,29 ;     
01.01.2006 00:00:00   ;   268,29 ;     
01.02.2006 00:00:00   ;   268,33 ;     
01.03.2006 00:00:00   ;   268,74 ;     
01.04.2006 00:00:00   ;   269,18 ;     
01.05.2006 00:00:00   ;   268,80 ;     
01.06.2006 00:00:00   ;   268,66 ;     
01.07.2006 00:00:00   ;   268,52 ;     
01.08.2006 00:00:00   ;   268,58 ;     
01.09.2006 00:00:00   ;   268,41 ;     
01.10.2006 00:00:00   ;   268,29 ;     
01.11.2006 00:00:00   ;   268,20 ;     
01.12.2006 00:00:00   ;   268,12 ;     
01.01.2007 00:00:00   ;   268,34 ;     
01.02.2007 00:00:00   ;   268,58 ;     
01.03.2007 00:00:00   ;   268,71 ;     
01.04.2007 00:00:00   ;   268,56 ;     
01.05.2007 00:00:00   ;   268,55 ;     
01.06.2007 00:00:00   ;   268,49 ;     
01.07.2007 00:00:00   ;   268,51 ;     
01.08.2007 00:00:00   ;   268,44 ;     
01.09.2007 00:00:00   ;   268,78 ;     
01.10.2007 00:00:00   ;   268,63 ;     
01.11.2007 00:00:00   ;   268,63 ;     
01.12.2007 00:00:00   ;   268,57 ;     
01.01.2008 00:00:00   ;   268,43 ;     
01.02.2008 00:00:00   ;   268,38 ;     
01.03.2008 00:00:00   ;   268,65 ;     
01.04.2008 00:00:00   ;   268,74 ;     
01.05.2008 00:00:00   ;   268,65 ;     
01.06.2008 00:00:00   ;   268,60 ;     
01.07.2008 00:00:00   ;   268,68 ;     
01.08.2008 00:00:00   ;   268,70 ;     
01.09.2008 00:00:00   ;   268,66 ;     
01.10.2008 00:00:00   ;   268,66 ;     
01.11.2008 00:00:00   ;   268,53 ;     
01.12.2008 00:00:00   ;   268,63 ;     
01.01.2009 00:00:00   ;   268,51 ;     
01.02.2009 00:00:00   ;   268,59 ;     
01.03.2009 00:00:00   ;   269,33 ;     
01.04.2009 00:00:00   ;   268,98 ;     
01.05.2009 00:00:00   ;   268,59 ;     
01.06.2009 00:00:00   ;   268,83 ;     
01.07.2009 00:00:00   ;   269,26 ;     
01.08.2009 00:00:00   ;   269,15 ;     
01.09.2009 00:00:00   ;   268,91 ;     
01.10.2009 00:00:00   ;   268,71 ;     
01.11.2009 00:00:00   ;   268,68 ;     
01.12.2009 00:00:00   ;   268,57 ;     
01.01.2010 00:00:00   ;   268,34 ;     
01.02.2010 00:00:00   ;   268,30 ;     
