Messstelle:                ;Hötting, Bl  5 (42 A)
HZB-Nummer:                ;334102
HD-Nummer:                 ;
DBMS-Nummer:               ;7002089
Fremdnummer:               ;GW70101239
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Innsbrucker Kommunalbetriebe AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.02.2018
 Geländehöhe:              ;579,91
 Messpunkthöhe:            ;581,21
 Sohllage:                 ;573,78
 T-Messtiefe u.GOK:        ;5,70
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1977               ;11 20 31                 ;47 15 13
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2018 bis -> FG10 kommuniziert stark mit nahegelegenem Oberflächengewässer
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1988 00:00:00   ;   575,58 ;     
01.02.1988 00:00:00   ;   575,55 ;     
01.03.1988 00:00:00   ;   575,67 ;     
01.04.1988 00:00:00   ;   576,07 ;     
01.05.1988 00:00:00   ;   576,92 ;     
01.06.1988 00:00:00   ;   577,08 ;     
01.07.1988 00:00:00   ;   577,05 ;     
01.08.1988 00:00:00   ;   576,89 ;     
01.09.1988 00:00:00   ;   576,39 ;     
01.10.1988 00:00:00   ;   576,15 ;     
01.11.1988 00:00:00   ;   575,89 ;     
01.12.1988 00:00:00   ;   575,73 ;     
01.01.1989 00:00:00   ;   575,66 ;     
01.02.1989 00:00:00   ;   575,64 ;     
01.03.1989 00:00:00   ;   575,67 ;     
01.04.1989 00:00:00   ;   575,91 ;     
01.05.1989 00:00:00   ;   576,38 ;     
01.06.1989 00:00:00   ;   576,83 ;     
01.07.1989 00:00:00   ;   577,22 ;     
01.08.1989 00:00:00   ;   576,57 ;     
01.09.1989 00:00:00   ;   576,19 ;     
01.10.1989 00:00:00   ;   575,85 ;     
01.11.1989 00:00:00   ;   575,75 ;     
01.12.1989 00:00:00   ;   575,64 ;     
01.01.1990 00:00:00   ;   575,49 ;     
01.02.1990 00:00:00   ;   575,61 ;     
01.03.1990 00:00:00   ;   575,84 ;     
01.04.1990 00:00:00   ;   575,84 ;     
01.05.1990 00:00:00   ;   576,60 ;     
01.06.1990 00:00:00   ;   576,93 ;     
01.07.1990 00:00:00   ;   577,08 ;     
01.08.1990 00:00:00   ;   576,54 ;     
01.09.1990 00:00:00   ;   576,18 ;     
01.10.1990 00:00:00   ;   575,82 ;     
01.11.1990 00:00:00   ;   575,72 ;     
01.12.1990 00:00:00   ;   575,65 ;     
01.01.1991 00:00:00   ;   575,63 ;     
01.02.1991 00:00:00   ;   575,61 ;     
01.03.1991 00:00:00   ;   575,67 ;     
01.04.1991 00:00:00   ;   575,70 ;     
01.05.1991 00:00:00   ;   575,98 ;     
01.06.1991 00:00:00   ;   577,38 ;     
01.07.1991 00:00:00   ;   577,17 ;     
01.08.1991 00:00:00   ;   576,62 ;     
01.09.1991 00:00:00   ;   576,16 ;     
01.10.1991 00:00:00   ;   575,81 ;     
01.11.1991 00:00:00   ;   575,50 ;     
01.12.1991 00:00:00   ;   575,42 ;     
01.01.1992 00:00:00   ;   575,29 ;     
01.02.1992 00:00:00   ;   575,36 ;     
01.03.1992 00:00:00   ;   575,70 ;     
01.04.1992 00:00:00   ;   575,92 ;     
01.05.1992 00:00:00   ;   576,90 ;     
01.06.1992 00:00:00   ;   576,95 ;     
01.07.1992 00:00:00   ;   577,07 ;     
01.08.1992 00:00:00   ;   576,81 ;     
01.09.1992 00:00:00   ;   576,09 ;     
01.10.1992 00:00:00   ;   575,89 ;     
01.11.1992 00:00:00   ;   575,94 ;     
01.12.1992 00:00:00   ;   575,83 ;     
01.01.1993 00:00:00   ;   575,67 ;     
01.02.1993 00:00:00   ;   575,66 ;     
01.03.1993 00:00:00   ;   575,67 ;     
01.04.1993 00:00:00   ;   575,86 ;     
01.05.1993 00:00:00   ;   576,42 ;     
01.06.1993 00:00:00   ;   576,85 ;     
01.07.1993 00:00:00   ;   576,80 ;     
01.08.1993 00:00:00   ;   576,54 ;     
01.09.1993 00:00:00   ;   576,26 ;     
01.10.1993 00:00:00   ;   576,38 ;     
01.11.1993 00:00:00   ;   575,84 ;     
01.12.1993 00:00:00   ;   575,61 ;     
01.01.1994 00:00:00   ;   575,61 ;     
01.02.1994 00:00:00   ;   575,75 ;     
01.03.1994 00:00:00   ;   575,72 ;     
01.04.1994 00:00:00   ;   575,75 ;     
01.05.1994 00:00:00   ;   576,47 ;     
01.06.1994 00:00:00   ;   576,94 ;     
01.07.1994 00:00:00   ;   576,95 ;     
01.08.1994 00:00:00   ;   576,57 ;     
01.09.1994 00:00:00   ;   576,53 ;     
01.10.1994 00:00:00   ;   576,01 ;     
01.11.1994 00:00:00   ;   575,78 ;     
01.12.1994 00:00:00   ;   575,63 ;     
01.01.1995 00:00:00   ;   575,72 ;     
01.02.1995 00:00:00   ;   575,83 ;     
01.03.1995 00:00:00   ;   575,87 ;     
01.04.1995 00:00:00   ;   576,14 ;     
01.05.1995 00:00:00   ;   576,70 ;     
01.06.1995 00:00:00   ;   577,30 ;     
01.07.1995 00:00:00   ;   577,67 ;     
01.08.1995 00:00:00   ;   576,82 ;     
01.09.1995 00:00:00   ;   576,63 ;     
01.10.1995 00:00:00   ;   576,10 ;     
01.11.1995 00:00:00   ;   575,90 ;     
01.12.1995 00:00:00   ;   575,76 ;     
01.01.1996 00:00:00   ;   575,61 ;     
01.02.1996 00:00:00   ;   575,46 ;     
01.03.1996 00:00:00   ;   575,35 ;     
01.04.1996 00:00:00   ;   575,75 ;     
01.05.1996 00:00:00   ;   576,34 ;     
01.06.1996 00:00:00   ;   576,85 ;     
01.07.1996 00:00:00   ;   576,74 ;     
01.08.1996 00:00:00   ;   576,76 ;     
01.09.1996 00:00:00   ;   576,34 ;     
01.10.1996 00:00:00   ;   576,17 ;     
01.11.1996 00:00:00   ;   576,10 ;     
01.12.1996 00:00:00   ;   575,92 ;     
01.01.1997 00:00:00   ;   575,93 ;     
01.02.1997 00:00:00   ;   575,84 ;     
01.03.1997 00:00:00   ;   575,93 ;     
01.04.1997 00:00:00   ;   576,00 ;     
01.05.1997 00:00:00   ;   576,61 ;     
01.06.1997 00:00:00   ;   577,33 ;     
01.07.1997 00:00:00   ;   577,17 ;     
01.08.1997 00:00:00   ;   576,94 ;     
01.09.1997 00:00:00   ;   576,46 ;     
01.10.1997 00:00:00   ;   576,10 ;     
01.11.1997 00:00:00   ;   575,97 ;     
01.12.1997 00:00:00   ;   575,82 ;     
01.01.1998 00:00:00   ;   575,82 ;     
01.02.1998 00:00:00   ;   575,82 ;     
01.03.1998 00:00:00   ;   575,83 ;     
01.04.1998 00:00:00   ;   575,94 ;     
01.05.1998 00:00:00   ;   576,40 ;     
01.06.1998 00:00:00   ;   577,05 ;     
01.07.1998 00:00:00   ;   576,97 ;     
01.08.1998 00:00:00   ;   576,77 ;     
01.09.1998 00:00:00   ;   576,42 ;     
01.10.1998 00:00:00   ;   576,40 ;     
01.11.1998 00:00:00   ;   576,26 ;     
01.12.1998 00:00:00   ;   575,99 ;     
01.01.1999 00:00:00   ;   575,84 ;     
01.02.1999 00:00:00   ;   575,87 ;     
01.03.1999 00:00:00   ;   575,99 ;     
01.04.1999 00:00:00   ;   576,13 ;     
01.05.1999 00:00:00   ;   577,39 ;     
01.06.1999 00:00:00   ;   577,61 ;     
01.07.1999 00:00:00   ;   577,37 ;     
01.08.1999 00:00:00   ;   577,08 ;     
