Messstelle:                ;Ansfelden, Bl 8.4
HZB-Nummer:                ;376913
HD-Nummer:                 ;W8.4
DBMS-Nummer:               ;4002730
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2000
 Geländehöhe:              ;263,13
 Messpunkthöhe:            ;263,98
 Sohllage:                 ;259,05
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2000               ;14 17 19                 ;48 14 03
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2000 00:00:00   ;   261,77 ;     
01.02.2000 00:00:00   ;   261,81 ;     
01.03.2000 00:00:00   ;   261,78 ;     
01.04.2000 00:00:00   ;   261,85 ;     
01.05.2000 00:00:00   ;   261,88 ;     
01.06.2000 00:00:00   ;   261,83 ;     
01.07.2000 00:00:00   ;   261,81 ;     
01.08.2000 00:00:00   ;   261,81 ;     
01.09.2000 00:00:00   ;   261,75 ;     
01.10.2000 00:00:00   ;   261,78 ;     
01.11.2000 00:00:00   ;   261,66 ;     
01.12.2000 00:00:00   ;   261,72 ;     
01.01.2001 00:00:00   ;   261,70 ;     
01.02.2001 00:00:00   ;   261,71 ;     
01.03.2001 00:00:00   ;   261,76 ;     
01.04.2001 00:00:00   ;   261,84 ;     
01.05.2001 00:00:00   ;   261,76 ;     
01.06.2001 00:00:00   ;   261,71 ;     
01.07.2001 00:00:00   ;   261,71 ;     
01.08.2001 00:00:00   ;   261,74 ;     
01.09.2001 00:00:00   ;   261,77 ;     
01.10.2001 00:00:00   ;   261,81 ;     
01.11.2001 00:00:00   ;   261,74 ;     
01.12.2001 00:00:00   ;   261,75 ;     
01.01.2002 00:00:00   ;   261,65 ;     
01.02.2002 00:00:00   ;   261,74 ;     
01.03.2002 00:00:00   ;   261,75 ;     
01.04.2002 00:00:00   ;   261,74 ;     
01.05.2002 00:00:00   ;   261,67 ;     
01.06.2002 00:00:00   ;   261,65 ;     
01.07.2002 00:00:00   ;   261,67 ;     
01.08.2002 00:00:00   ;   262,20 ;     
01.09.2002 00:00:00   ;   261,85 ;     
01.10.2002 00:00:00   ;   261,94 ;     
01.11.2002 00:00:00   ;   262,02 ;     
01.12.2002 00:00:00   ;   261,90 ;     
01.01.2003 00:00:00   ;   261,95 ;     
01.02.2003 00:00:00   ;   261,83 ;     
01.03.2003 00:00:00   ;   261,79 ;     
01.04.2003 00:00:00   ;   261,84 ;     
01.05.2003 00:00:00   ;   261,88 ;     
01.06.2003 00:00:00   ;   261,82 ;     
01.07.2003 00:00:00   ;   261,82 ;     
01.08.2003 00:00:00   ;   261,80 ;     
01.09.2003 00:00:00   ;   261,84 ;     
01.10.2003 00:00:00   ;   261,83 ;     
01.11.2003 00:00:00   ;   261,78 ;     
01.12.2003 00:00:00   ;   261,78 ;     
01.01.2004 00:00:00   ;   261,78 ;     
01.02.2004 00:00:00   ;   261,79 ;     
01.03.2004 00:00:00   ;   261,82 ;     
01.04.2004 00:00:00   ;   261,79 ;     
01.05.2004 00:00:00   ;   261,83 ;     
01.06.2004 00:00:00   ;   261,88 ;     
01.07.2004 00:00:00   ;   261,89 ;     
01.08.2004 00:00:00   ;   261,85 ;     
01.09.2004 00:00:00   ;   261,74 ;     
01.10.2004 00:00:00   ;   261,74 ;     
01.11.2004 00:00:00   ;   261,71 ;     
01.12.2004 00:00:00   ;   261,62 ;     
01.01.2005 00:00:00   ;   261,57 ;     
01.02.2005 00:00:00   ;   261,59 ;     
01.03.2005 00:00:00   ;   261,60 ;     
01.04.2005 00:00:00   ;   261,85 ;     
