Messstelle:                ;Puchberg i.Ml., Bl 2092.023
HZB-Nummer:                ;316646
HD-Nummer:                 ;2092.023
DBMS-Nummer:               ;4002381
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Wasserverband Naarn
Höhenangaben [m ü.A.]:     ;gültig seit: ;27.02.2014
 Geländehöhe:              ;239,69
 Messpunkthöhe:            ;240,44
 Sohllage:                 ;233,51
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 43 14                 ;48 12 59
  01.01.2003               ;14 43 26                 ;48 13 01
  15.02.1972               ;14 43 26                 ;48 13 01
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1985 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1998 00:00:00   ;   235,69 ;     
01.02.1998 00:00:00   ;   235,65 ;     
01.03.1998 00:00:00   ;   235,69 ;     
01.04.1998 00:00:00   ;   235,71 ;     
01.05.1998 00:00:00   ;   235,53 ;     
01.06.1998 00:00:00   ;   235,39 ;     
01.07.1998 00:00:00   ;   235,43 ;     
01.08.1998 00:00:00   ;   235,47 ;     
01.09.1998 00:00:00   ;   235,51 ;     
01.10.1998 00:00:00   ;   235,68 ;     
01.11.1998 00:00:00   ;   236,04 ;     
01.12.1998 00:00:00   ;   236,06 ;     
01.01.1999 00:00:00   ;   235,99 ;     
01.02.1999 00:00:00   ;   236,27 ;     
01.03.1999 00:00:00   ;   236,15 ;     
01.04.1999 00:00:00   ;   235,88 ;     
01.05.1999 00:00:00   ;   235,78 ;     
01.06.1999 00:00:00   ;   235,63 ;     
01.07.1999 00:00:00   ;   235,54 ;     
01.08.1999 00:00:00   ;   235,41 ;     
01.09.1999 00:00:00   ;   235,30 ;     
01.10.1999 00:00:00   ;   235,19 ;     
01.11.1999 00:00:00   ;   235,12 ;     
01.12.1999 00:00:00   ;   235,17 ;     
01.01.2000 00:00:00   ;   235,39 ;     
01.02.2000 00:00:00   ;   235,94 ;     
01.03.2000 00:00:00   ;   236,17 ;     
01.04.2000 00:00:00   ;   235,98 ;     
01.05.2000 00:00:00   ;   235,71 ;     
01.06.2000 00:00:00   ;   235,50 ;     
01.07.2000 00:00:00   ;   235,33 ;     
01.08.2000 00:00:00   ;   235,30 ;     
01.09.2000 00:00:00   ;   235,18 ;     
01.10.2000 00:00:00   ;   235,14 ;     
01.11.2000 00:00:00   ;   235,08 ;     
01.12.2000 00:00:00   ;   235,15 ;     
01.01.2001 00:00:00   ;   235,31 ;     
01.02.2001 00:00:00   ;   235,56 ;     
01.03.2001 00:00:00   ;   235,93 ;     
01.04.2001 00:00:00   ;   236,14 ;     
01.05.2001 00:00:00   ;   235,93 ;     
01.06.2001 00:00:00   ;   235,69 ;     
01.07.2001 00:00:00   ;   235,48 ;     
01.08.2001 00:00:00   ;   235,40 ;     
01.09.2001 00:00:00   ;   235,64 ;     
01.10.2001 00:00:00   ;   235,60 ;     
01.11.2001 00:00:00   ;   235,59 ;     
01.12.2001 00:00:00   ;   235,89 ;     
01.01.2002 00:00:00   ;   236,13 ;     
01.02.2002 00:00:00   ;   236,17 ;     
01.03.2002 00:00:00   ;   236,23 ;     
01.04.2002 00:00:00   ;   236,06 ;     
01.05.2002 00:00:00   ;   235,81 ;     
01.06.2002 00:00:00   ;   235,60 ;     
01.07.2002 00:00:00   ;   235,36 ;     
01.08.2002 00:00:00   ;   236,31 ;     
01.09.2002 00:00:00   ;   236,07 ;     
01.10.2002 00:00:00   ;   236,28 ;     
01.11.2002 00:00:00   ;   236,50 ;     
01.12.2002 00:00:00   ;   236,13 ;     
01.01.2003 00:00:00   ;   236,37 ;     
01.02.2003 00:00:00   ;   236,11 ;     
01.03.2003 00:00:00   ;   236,00 ;     
01.04.2003 00:00:00   ;   235,81 ;     
01.05.2003 00:00:00   ;   235,69 ;     
01.06.2003 00:00:00   ;   235,57 ;     
01.07.2003 00:00:00   ;   235,36 ;     
01.08.2003 00:00:00   ;   235,19 ;     
01.09.2003 00:00:00   ;   235,04 ;     
01.10.2003 00:00:00   ;   235,00 ;     
01.11.2003 00:00:00   ;   234,96 ;     
01.12.2003 00:00:00   ;   234,92 ;     
01.01.2004 00:00:00   ;   235,10 ;     
01.02.2004 00:00:00   ;   235,54 ;     
01.03.2004 00:00:00   ;   235,74 ;     
01.04.2004 00:00:00   ;   235,85 ;     
01.05.2004 00:00:00   ;   235,61 ;     
01.06.2004 00:00:00   ;   235,53 ;     
01.07.2004 00:00:00   ;   235,55 ;     
01.08.2004 00:00:00   ;   235,38 ;     
01.09.2004 00:00:00   ;   235,19 ;     
01.10.2004 00:00:00   ;   235,10 ;     
01.11.2004 00:00:00   ;   235,15 ;     
01.12.2004 00:00:00   ;   235,21 ;     
01.01.2005 00:00:00   ;   235,29 ;     
01.02.2005 00:00:00   ;   235,78 ;     
01.03.2005 00:00:00   ;   235,91 ;     
01.04.2005 00:00:00   ;   235,90 ;     
01.05.2005 00:00:00   ;   235,98 ;     
01.06.2005 00:00:00   ;   235,75 ;     
01.07.2005 00:00:00   ;   235,95 ;     
01.08.2005 00:00:00   ;   235,81 ;     
01.09.2005 00:00:00   ;   235,58 ;     
01.10.2005 00:00:00   ;   235,44 ;     
01.11.2005 00:00:00   ;   235,27 ;     
01.12.2005 00:00:00   ;   235,23 ;     
01.01.2006 00:00:00   ;   235,24 ;     
01.02.2006 00:00:00   ;   235,25 ;     
01.03.2006 00:00:00   ;   235,72 ;     
01.04.2006 00:00:00   ;   236,29 ;     
01.05.2006 00:00:00   ;   235,97 ;     
