Messstelle:                ;Goldwörth, Br 2151.005
HZB-Nummer:                ;306944
HD-Nummer:                 ;2151.005
DBMS-Nummer:               ;4002037
Fremdnummer:               ;O 106
PorenGW-Gebiet:            ;095 Nördliches Eferdinger Becken
Grundwasserkörper:         ;Eferdinger Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;18.10.2006
 Geländehöhe:              ;261,12
 Messpunkthöhe:            ;261,62
 Sohllage:                 ;255,27
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 05 42                 ;48 19 39
  01.01.2003               ;14 05 45                 ;48 19 40
  01.01.1963               ;14 05 45                 ;48 19 40
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1979 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1979 00:00:00   ;   258,22 ;     
01.02.1979 00:00:00   ;   258,38 ;     
01.03.1979 00:00:00   ;   258,59 ;     
01.04.1979 00:00:00   ;   258,81 ;     
01.05.1979 00:00:00   ;   258,64 ;     
01.06.1979 00:00:00   ;   258,47 ;     
01.07.1979 00:00:00   ;   258,45 ;     
01.08.1979 00:00:00   ;   258,43 ;     
01.09.1979 00:00:00   ;   258,42 ;     
01.10.1979 00:00:00   ;   258,38 ;     
01.11.1979 00:00:00   ;   258,36 ;     
01.12.1979 00:00:00   ;   258,59 ;     
01.01.1980 00:00:00   ;   258,46 ;     
01.02.1980 00:00:00   ;   258,65 ;     
01.03.1980 00:00:00   ;   258,47 ;     
01.04.1980 00:00:00   ;   258,42 ;     
01.05.1980 00:00:00   ;   258,39 ;     
01.06.1980 00:00:00   ;   258,26 ;     
01.07.1980 00:00:00   ;   258,45 ;     
01.08.1980 00:00:00   ;   258,40 ;     
01.09.1980 00:00:00   ;   258,30 ;     
01.10.1980 00:00:00   ;   258,35 ;     
01.11.1980 00:00:00   ;   258,31 ;     
01.12.1980 00:00:00   ;   258,28 ;     
01.01.1981 00:00:00   ;   258,60 ;     
01.02.1981 00:00:00   ;   258,71 ;     
01.03.1981 00:00:00   ;   258,79 ;     
01.04.1981 00:00:00   ;   258,54 ;     
01.05.1981 00:00:00   ;   258,37 ;     
01.06.1981 00:00:00   ;   258,21 ;     
01.07.1981 00:00:00   ;   258,48 ;     
01.08.1981 00:00:00   ;   258,44 ;     
01.09.1981 00:00:00   ;   258,26 ;     
01.10.1981 00:00:00   ;   258,35 ;     
01.11.1981 00:00:00   ;   258,45 ;     
01.12.1981 00:00:00   ;   258,66 ;     
01.01.1982 00:00:00   ;   258,83 ;     
01.02.1982 00:00:00   ;   258,82 ;     
01.03.1982 00:00:00   ;   258,56 ;     
01.04.1982 00:00:00   ;   258,40 ;     
01.05.1982 00:00:00   ;   258,22 ;     
01.06.1982 00:00:00   ;   258,12 ;     
01.07.1982 00:00:00   ;   258,12 ;     
01.08.1982 00:00:00   ;   258,09 ;     
01.09.1982 00:00:00   ;   258,10 ;     
01.10.1982 00:00:00   ;   258,07 ;     
01.11.1982 00:00:00   ;   258,04 ;     
01.12.1982 00:00:00   ;   258,03 ;     
01.01.1983 00:00:00   ;   258,15 ;     
01.02.1983 00:00:00   ;   258,23 ;     
01.03.1983 00:00:00   ;   258,21 ;     
01.04.1983 00:00:00   ;   258,20 ;     
01.05.1983 00:00:00   ;   258,19 ;     
01.06.1983 00:00:00   ;   258,11 ;     
01.07.1983 00:00:00   ;   258,10 ;     
01.08.1983 00:00:00   ;   258,04 ;     
01.09.1983 00:00:00   ;   257,98 ;     
01.10.1983 00:00:00   ;   257,94 ;     
01.11.1983 00:00:00   ;   257,93 ;     
01.12.1983 00:00:00   ;   257,92 ;     
01.01.1984 00:00:00   ;   258,06 ;     
01.02.1984 00:00:00   ;   258,28 ;     
01.03.1984 00:00:00   ;   258,21 ;     
01.04.1984 00:00:00   ;   258,14 ;     
01.05.1984 00:00:00   ;   258,08 ;     
01.06.1984 00:00:00   ;   258,02 ;     
01.07.1984 00:00:00   ;   258,02 ;     
01.08.1984 00:00:00   ;   258,01 ;     
01.09.1984 00:00:00   ;   258,08 ;     
01.10.1984 00:00:00   ;   258,14 ;     
01.11.1984 00:00:00   ;   258,02 ;     
01.12.1984 00:00:00   ;   257,97 ;     
01.01.1985 00:00:00   ;   257,93 ;     
01.02.1985 00:00:00   ;   258,27 ;     
01.03.1985 00:00:00   ;   258,29 ;     
01.04.1985 00:00:00   ;   258,24 ;     
01.05.1985 00:00:00   ;   258,13 ;     
01.06.1985 00:00:00   ;   258,17 ;     
01.07.1985 00:00:00   ;   258,11 ;     
01.08.1985 00:00:00   ;   258,49 ;     
01.09.1985 00:00:00   ;   258,49 ;     
01.10.1985 00:00:00   ;   258,26 ;     
01.11.1985 00:00:00   ;   258,13 ;     
01.12.1985 00:00:00   ;   258,13 ;     
01.01.1986 00:00:00   ;   258,49 ;     
01.02.1986 00:00:00   ;   258,52 ;     
01.03.1986 00:00:00   ;   258,34 ;     
01.04.1986 00:00:00   ;   258,28 ;     
01.05.1986 00:00:00   ;   258,18 ;     
01.06.1986 00:00:00   ;   258,17 ;     
01.07.1986 00:00:00   ;   258,12 ;     
01.08.1986 00:00:00   ;   258,07 ;     
01.09.1986 00:00:00   ;   258,00 ;     
01.10.1986 00:00:00   ;   257,97 ;     
01.11.1986 00:00:00   ;   257,99 ;     
01.12.1986 00:00:00   ;   258,00 ;     
01.01.1987 00:00:00   ;   258,42 ;     
