Messstelle:                ;Lambach, Bl 49.13
HZB-Nummer:                ;374603
HD-Nummer:                 ;V49.13
DBMS-Nummer:               ;4003015
PorenGW-Gebiet:            ;110 Traun-Agergebiet
Grundwasserkörper:         ;Gruppe Traun und Zubringertäler [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;06.11.2008
 Geländehöhe:              ;349,12
 Messpunkthöhe:            ;350,37
 Sohllage:                 ;346,66
 T-Messtiefe u.GOK:        ;2,35
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;13 51 15                 ;48 05 17
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2000 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2000 00:00:00   ;   347,33 ;     
01.02.2000 00:00:00   ;   347,44 ;     
01.03.2000 00:00:00   ;   347,48 ;     
01.04.2000 00:00:00   ;   347,41 ;     
01.05.2000 00:00:00   ;   347,34 ;     
01.06.2000 00:00:00   ;   347,23 ;     
01.07.2000 00:00:00   ;   347,21 ;     
01.08.2000 00:00:00   ;   347,23 ;     
01.09.2000 00:00:00   ;   347,20 ;     
01.10.2000 00:00:00   ;   347,23 ;     
01.11.2000 00:00:00   ;   347,18 ;     
01.12.2000 00:00:00   ;   347,19 ;     
01.01.2001 00:00:00   ;   347,21 ;     
01.02.2001 00:00:00   ;   347,30 ;     
01.03.2001 00:00:00   ;   347,39 ;     
01.04.2001 00:00:00   ;   347,34 ;     
01.05.2001 00:00:00   ;   347,29 ;     
01.06.2001 00:00:00   ;   347,26 ;     
01.07.2001 00:00:00   ;   347,23 ;     
01.08.2001 00:00:00   ;   347,23 ;     
01.09.2001 00:00:00   ;   347,33 ;     
01.10.2001 00:00:00   ;   347,21 ;     
01.11.2001 00:00:00   ;   347,23 ;     
01.12.2001 00:00:00   ;   347,31 ;     
01.01.2002 00:00:00   ;   347,32 ;     
01.02.2002 00:00:00   ;   347,29 ;     
01.03.2002 00:00:00   ;   347,31 ;     
01.04.2002 00:00:00   ;   347,25 ;     
01.05.2002 00:00:00   ;   347,27 ;     
01.06.2002 00:00:00   ;   347,24 ;     
01.07.2002 00:00:00   ;   347,18 ;     
01.08.2002 00:00:00   ;   347,35 ;     
01.09.2002 00:00:00   ;   347,24 ;     
01.10.2002 00:00:00   ;   347,32 ;     
01.11.2002 00:00:00   ;   347,41 ;     
01.12.2002 00:00:00   ;   347,38 ;     
01.01.2003 00:00:00   ;   347,44 ;     
01.02.2003 00:00:00   ;   347,29 ;     
01.03.2003 00:00:00   ;   347,26 ;     
01.04.2003 00:00:00   ;   347,22 ;     
01.05.2003 00:00:00   ;   347,22 ;     
01.06.2003 00:00:00   ;   347,17 ;     
01.07.2003 00:00:00   ;   347,14 ;     
01.08.2003 00:00:00   ;   347,14 ;     
01.09.2003 00:00:00   ;   347,16 ;     
01.10.2003 00:00:00   ;   347,21 ;     
01.11.2003 00:00:00   ;   347,15 ;     
01.12.2003 00:00:00   ;   347,15 ;     
01.01.2004 00:00:00   ;   347,23 ;     
01.02.2004 00:00:00   ;   347,25 ;     
01.03.2004 00:00:00   ;   347,28 ;     
01.04.2004 00:00:00   ;   347,28 ;     
01.05.2004 00:00:00   ;   347,29 ;     
01.06.2004 00:00:00   ;   347,33 ;     
01.07.2004 00:00:00   ;   347,24 ;     
01.08.2004 00:00:00   ;   347,18 ;     
01.09.2004 00:00:00   ;   347,19 ;     
01.10.2004 00:00:00   ;   347,22 ;     
01.11.2004 00:00:00   ;   347,20 ;     
01.12.2004 00:00:00   ;   347,18 ;     
01.01.2005 00:00:00   ;   347,22 ;     
01.02.2005 00:00:00   ;   347,36 ;     
01.03.2005 00:00:00   ;   347,43 ;     
01.04.2005 00:00:00   ;   347,35 ;     
